CHILDCODE	EDCHSTR5	ATSCR5	GRDER5	CMPGRDR5	SAMESCR5	TYSCR5	PROVR5	SCHNMER5
20055	1	1	7	1	1	3	1	136
20055	2	1	8	1	1	 	 	 
20055	3	1	9	1	1	 	 	 
20055	4	0	 	 	 	 	 	 
20056	1	1	6	1	0	3	1	136
20056	2	1	7	1	1	 	 	 
20056	3	1	8	1	1	 	 	 
20056	4	1	9	4	1	 	 	 
20057	1	1	6	1	0	3	1	136
20057	2	1	7	1	1	 	 	 
20057	3	1	8	1	1	 	 	 
20057	4	1	9	4	1	 	 	 
20060	1	1	7	1	1	3	1	136
20060	2	1	8	1	1	 	 	 
20060	3	1	9	1	1	 	 	 
20060	4	0	 	 	 	 	 	 
20061	1	1	7	1	1	3	1	136
20061	2	0	 	 	 	 	 	 
20061	3	0	 	 	 	 	 	 
20061	4	0	 	 	 	 	 	 
20062	1	1	7	1	1	3	1	418
20062	2	1	8	1	1	 	 	 
20062	3	1	9	1	1	 	 	 
20062	4	1	10	4	0	3	1	358
20063	1	1	6	1	1	3	1	136
20063	2	1	7	1	1	 	 	 
20063	3	1	8	1	1	 	 	 
20063	4	1	9	4	1	 	 	 
20064	1	1	7	1	1	3	1	90
20064	2	1	8	1	1	 	 	 
20064	3	1	9	1	1	 	 	 
20064	4	0	 	 	 	 	 	 
20065	1	1	7	1	1	3	1	136
20065	2	1	8	1	1	 	 	 
20065	3	1	9	1	1	 	 	 
20065	4	0	 	 	 	 	 	 
20066	1	1	7	1	1	3	1	136
20066	2	1	8	1	1	 	 	 
20066	3	1	9	1	1	 	 	 
20066	4	0	 	 	 	 	 	 
20067	1	1	7	1	1	3	1	136
20067	2	1	8	1	1	 	 	 
20067	3	1	9	1	1	 	 	 
20067	4	0	 	 	 	 	 	 
20068	1	1	6	1	1	3	1	136
20068	2	1	7	1	1	 	 	 
20068	3	1	8	1	1	 	 	 
20068	4	1	9	4	1	 	 	 
20069	1	1	7	1	1	3	1	90
20069	2	1	8	1	1	 	 	 
20069	3	1	9	1	1	 	 	 
20069	4	1	10	4	0	3	1	358
20070	1	1	7	1	1	3	1	136
20070	2	1	8	1	1	 	 	 
20070	3	1	9	1	1	 	 	 
20070	4	0	 	 	 	 	 	 
20073	1	1	7	1	1	3	1	136
20073	2	1	8	1	1	 	 	 
20073	3	1	9	1	1	 	 	 
20073	4	1	14	4	0	8	1	200
20075	1	1	7	1	1	3	1	136
20075	2	1	8	1	1	 	 	 
20075	3	1	9	1	1	 	 	 
20075	4	1	10	4	0	3	1	358
20077	1	1	7	1	1	3	1	136
20077	2	0	 	 	 	 	 	 
20077	3	0	 	 	 	 	 	 
20077	4	0	 	 	 	 	 	 
20078	1	1	6	1	0	3	1	137
20078	2	1	7	1	1	 	 	 
20078	3	1	8	1	1	 	 	 
20078	4	1	9	4	1	 	 	 
20079	1	1	7	1	1	3	1	137
20079	2	1	8	1	1	 	 	 
20079	3	1	9	1	1	 	 	 
20079	4	1	10	4	0	3	1	358
20080	1	1	7	1	1	3	1	137
20080	2	1	8	1	1	 	 	 
20080	3	1	9	1	1	 	 	 
20080	4	1	10	4	0	3	1	358
20081	1	1	6	1	1	3	1	137
20081	2	1	7	1	1	 	 	 
20081	3	1	8	1	1	 	 	 
20081	4	1	9	4	1	 	 	 
20083	1	1	7	1	1	3	1	137
20083	2	1	8	1	1	 	 	 
20083	3	1	9	1	1	 	 	 
20083	4	1	10	4	0	3	1	358
20084	1	1	6	1	1	3	1	136
20084	2	1	7	1	1	 	 	 
20084	3	1	8	2	1	 	 	 
20084	4	0	 	 	 	 	 	 
20086	1	1	7	1	1	3	1	136
20086	2	1	8	1	1	 	 	 
20086	3	1	9	1	1	 	 	 
20086	4	1	10	4	0	3	1	358
20087	1	1	7	1	1	3	1	136
20087	2	1	8	1	1	 	 	 
20087	3	1	9	2	1	 	 	 
20087	4	0	 	 	 	 	 	 
20088	1	1	7	1	1	3	1	136
20088	2	1	8	1	1	 	 	 
20088	3	1	9	1	1	 	 	 
20088	4	1	10	4	0	3	1	358
20089	1	1	7	1	1	3	1	136
20089	2	1	8	1	1	 	 	 
20089	3	1	9	1	1	 	 	 
20089	4	1	10	4	0	3	1	358
20090	1	1	7	1	1	3	1	137
20090	2	1	8	1	1	 	 	 
20090	3	1	9	1	1	 	 	 
20090	4	0	 	 	 	 	 	 
20091	1	1	7	1	1	3	1	137
20091	2	1	8	1	1	 	 	 
20091	3	1	9	1	1	 	 	 
20091	4	0	 	 	 	 	 	 
20092	1	1	7	1	1	3	1	137
20092	2	1	8	1	1	 	 	 
20092	3	1	9	1	1	 	 	 
20092	4	1	10	4	0	7	1	1063
20094	1	1	6	1	1	3	1	137
20094	2	1	7	3	1	 	 	 
20094	3	0	 	 	 	 	 	 
20094	4	0	 	 	 	 	 	 
20095	1	1	6	1	1	3	1	137
20095	2	1	7	1	1	 	 	 
20095	3	1	8	1	1	 	 	 
20095	4	1	9	4	1	 	 	 
20096	1	1	6	1	1	3	1	137
20096	2	1	8	1	1	 	 	 
20096	3	1	9	1	1	 	 	 
20096	4	0	 	 	 	 	 	 
20097	1	1	7	1	1	3	1	137
20097	2	1	8	1	1	 	 	 
20097	3	1	9	1	1	 	 	 
20097	4	0	 	 	 	 	 	 
20098	1	1	6	1	1	3	1	137
20098	2	1	7	1	1	 	 	 
20098	3	1	8	1	1	 	 	 
20098	4	1	9	4	1	 	 	 
20099	1	1	7	1	1	3	1	137
20099	2	1	8	1	1	 	 	 
20099	3	0	 	 	 	 	 	 
20099	4	0	 	 	 	 	 	 
20100	1	1	6	1	1	3	1	137
20100	2	1	7	1	1	 	 	 
20100	3	1	8	1	1	 	 	 
20100	4	1	9	4	1	 	 	 
20105	1	1	7	1	1	3	1	136
20105	2	1	8	1	1	 	 	 
