CHILDCODE	EDCHSTR4	EDGRADER4	TYSCR4	STATER4	DSSCR4	SCHNMER4
41028	13	15	1	1	4	2884
41029	10	11	1	1	3	2881
41029	11	12	1	1	3	2881
41029	12	15	1	1	1	2934
41029	13	15	1	1	1	2934
41030	10	10	3	1	1	2935
41030	11	11	11	1	1	2936
41030	12	12	11	1	1	2936
41030	13	14	4	1	1	2937
41031	10	10	3	1	1	924
41031	11	11	1	1	1	2938
41031	12	12	1	1	1	2938
41031	13	0	 	 	 	 
41032	10	11	1	1	1	2939
41032	11	12	1	1	1	2939
41032	12	13	1	1	1	2939
41032	13	15	1	1	1	2939
41033	10	10	3	1	1	925
41033	11	11	3	1	1	2919
41033	12	12	3	1	1	2919
41033	13	15	1	1	1	2914
41034	10	12	1	1	1	2938
41034	11	15	2	1	7	2940
41034	12	15	2	1	7	2940
41034	13	15	2	1	7	2940
41035	10	12	1	1	1	2917
41035	11	15	1	1	1	2939
41035	12	15	1	1	1	2939
41035	13	15	1	1	1	2939
41036	10	11	1	1	1	2917
41036	11	12	1	1	1	2917
41036	12	0	 	 	 	 
41036	13	0	 	 	 	 
41037	10	9	3	1	1	2180
41037	11	10	3	1	1	2180
41037	12	0	 	 	 	 
41037	13	0	 	 	 	 
41039	10	10	3	1	1	2180
41039	11	11	1	1	1	2939
41039	12	12	1	1	1	2939
41039	13	15	1	1	1	2939
41040	10	11	1	1	1	2938
41040	11	12	1	1	1	2938
41040	12	15	1	1	3	2941
41040	13	15	1	1	3	2941
41041	10	10	3	1	1	920
41041	11	11	1	1	1	2917
41041	12	12	1	1	1	2917
41041	13	15	1	1	5	2942
41042	10	10	2	1	1	935
41042	11	11	1	1	2	2949
41042	12	11	1	1	1	2917
41042	13	12	1	1	1	2917
41043	10	11	1	1	1	2938
41043	11	0	 	 	 	 
41043	12	0	 	 	 	 
41043	13	0	 	 	 	 
41044	10	9	1	1	1	941
41044	11	10	1	1	1	941
41044	12	11	1	1	3	2943
41044	13	12	1	1	3	2943
41045	10	10	3	1	1	922
41045	11	11	1	1	1	2917
41045	12	12	1	1	1	2917
41045	13	15	3	1	1	2924
41046	10	12	1	1	3	2879
41046	11	14	1	1	1	2903
41046	12	14	1	1	1	2903
41046	13	14	1	1	1	2903
41047	10	11	3	1	1	2929
41047	11	12	3	1	1	2929
41047	12	0	 	 	 	 
41047	13	0	 	 	 	 
41048	10	8	3	1	1	939
41048	11	9	3	1	1	939
41048	12	10	3	1	1	939
41048	13	11	3	1	1	2919
41049	10	12	1	1	1	2917
41049	11	14	1	1	1	2944
41049	12	15	1	1	1	2914
41049	13	15	1	1	1	2914
41050	10	11	1	1	1	2879
41050	11	12	1	1	1	2879
41050	12	15	1	1	1	2945
41050	13	15	1	1	1	2945
51001	10	11	1	1	1	2917
51001	11	12	1	1	1	2917
51001	12	14	1	1	1	2939
51001	13	14	1	1	1	2939
51002	10	10	3	1	1	943
51002	11	11	1	1	1	2917
51002	12	12	1	1	1	2917
51002	13	15	1	1	1	2939
51003	10	11	1	1	1	2946
51003	11	12	1	1	1	2946
51003	12	14	1	1	1	2947
51003	13	14	1	1	7	2947
51004	10	11	3	1	1	2948
51004	11	12	3	1	1	2653
51004	12	0	 	 	 	 
51004	13	15	1	1	2	2949
51005	10	10	3	1	1	945
51005	11	11	1	1	1	2950
51005	12	12	1	1	1	2950
51005	13	0	 	 	 	 
51006	10	12	1	1	1	2950
51006	11	14	1	1	1	2951
51006	12	14	1	1	1	2951
51006	13	0	 	 	 	 
51007	10	9	3	1	1	946
51007	11	10	3	1	1	946
51007	12	11	3	1	1	2952
51007	13	12	3	1	1	2952
51008	10	12	1	1	1	2917
51008	11	15	1	1	3	2905
51008	12	15	1	1	3	2905
51008	13	15	1	1	3	2905
51009	10	11	1	1	6	2953
51009	11	12	1	1	6	2953
51009	12	14	1	3	98	2954
