childid	country	round	yc	math	group
ET131001	1	2	0	380.244842529297	1
ET131004	1	2	0	474.281433105469	1
ET131005	1	2	0	598.038269042969	1
ET131007	1	2	0	436.900299072266	1
ET131008	1	2	0	516.129638671875	1
ET131009	1	2	0	305.333404541016	1
ET131010	1	2	0	360.819213867188	1
ET131011	1	2	0	421.675354003906	1
ET131012	1	2	0	426.357849121094	1
ET131013	1	2	0	461.189514160156	1
ET131014	1	2	0	295.683624267578	1
ET131015	1	2	0	351.158966064453	1
ET131016	1	2	0	494.877807617188	1
ET131017	1	2	0	634.921142578125	1
ET131020	1	2	0	521.289306640625	1
ET131021	1	2	0	351.154266357422	1
ET131022	1	2	0	380.928375244141	1
ET131023	1	2	0	387.0986328125	1
ET131024	1	2	0	516.913635253906	1
ET131025	1	2	0	460.864990234375	1
ET131026	1	2	0	531.720947265625	1
ET131027	1	2	0	400.193420410156	1
ET131028	1	2	0	526.599670410156	1
ET131029	1	2	0	524.465209960938	1
ET131030	1	2	0	558.247985839844	1
ET131031	1	2	0	290.728179931641	1
ET131032	1	2	0	526.208190917969	1
ET131033	1	2	0	426.549652099609	1
ET131034	1	2	0	474.958862304688	1
ET131035	1	2	0	480.563110351563	1
ET131036	1	2	0	287.857574462891	1
ET131037	1	2	0	549.384643554688	1
ET131038	1	2	0	348.580780029297	1
ET131039	1	2	0	302.373626708984	1
ET131040	1	2	0	319.430480957031	1
ET131041	1	2	0	498.533325195313	1
ET131042	1	2	0	415.969940185547	1
ET131043	1	2	0	358.056060791016	1
ET131044	1	2	0	532.46240234375	1
ET131045	1	2	0	455.051086425781	1
ET131046	1	2	0	558.888977050781	1
ET131047	1	2	0	331.303863525391	1
ET131048	1	2	0	314.928405761719	1
ET131049	1	2	0	382.627166748047	1
ET131050	1	2	0	506.827514648438	1
ET141001	1	2	0	471.164093017578	1
ET141002	1	2	0	504.266632080078	1
ET141004	1	2	0	365.320983886719	1
ET141005	1	2	0	463.494964599609	1
ET141006	1	2	0	375.801513671875	1
ET141007	1	2	0	474.537475585938	1
ET141008	1	2	0	531.832153320313	1
ET141009	1	2	0	563.729370117188	1
ET141010	1	2	0	514.708557128906	1
ET141011	1	2	0	508.922790527344	1
ET141012	1	2	0	439.317504882813	1
ET141013	1	2	0	565.68212890625	1
ET141014	1	2	0	652.09765625	1
ET141015	1	2	0	508.064910888672	1
ET141016	1	2	0	655.634338378906	1
ET141017	1	2	0	501.290313720703	1
ET141018	1	2	0	439.161499023438	1
ET141019	1	2	0	518.381896972656	1
ET141020	1	2	0	442.914672851563	1
ET141021	1	2	0	442.30859375	1
ET141022	1	2	0	277.083221435547	1
ET141023	1	2	0	521.280151367188	1
ET141024	1	2	0	390.199127197266	1
ET141025	1	2	0	456.232971191406	1
ET141026	1	2	0	437.118438720703	1
ET141028	1	2	0	549.602905273438	1
ET141029	1	2	0	563.019226074219	1
ET141030	1	2	0	456.160614013672	1
ET141031	1	2	0	610.000061035156	1
ET141032	1	2	0	609.055114746094	1
ET141033	1	2	0	537.629028320313	1
ET141034	1	2	0	392.293762207031	1
ET141035	1	2	0	518.425354003906	1
ET141036	1	2	0	576.580139160156	1
ET141037	1	2	0	538.713562011719	1
ET141038	1	2	0	455.481811523438	1
ET141039	1	2	0	517.216369628906	1
ET141040	1	2	0	381.481231689453	1
ET141041	1	2	0	499.070892333984	1
ET141042	1	2	0	340.78173828125	1
ET141043	1	2	0	484.965545654297	1
ET141044	1	2	0	432.174224853516	1
ET141045	1	2	0	431.422576904297	1
ET141046	1	2	0	405.600952148438	1
ET141047	1	2	0	500.847900390625	1
ET141048	1	2	0	424.909698486328	1
