commid	rsid	module	section	module2	section2	module3	section3	ageres	sexres	capac	livres
VN016	7	2	2	 	 	 	 	50	2	4	24
VN016	8	2	4	 	 	 	 	47	2	3	44
VN016	9	2	5	 	 	 	 	48	1	2	27
VN029	8	2	2	 	 	 	 	48	2	4	0
VN029	9	2	2	 	 	 	 	29	2	4	4
VN029	10	1	6	1	1	2	2	39	2	8	11
VN029	11	1	5	2	 	 	 	37	2	3	15
VN029	12	 	 	 	 	 	 	42	2	10	42
VN018	1	1	 	2	 	 	 	41	1	1	27
VN018	2	2	1	 	 	 	 	27	1	8	27
VN018	3	1	3	1	4	2	5	45	2	6	33
VN018	4	1	4	 	 	 	 	49	1	2	28
VN018	5	2	2	2	3	 	 	41	2	4	5
VN018	6	2	1	2	3	 	 	49	1	4	2
VN018	7	2	3	 	 	 	 	48	1	3	10
VN018	8	1	 	2	 	 	 	27	2	8	8
VN018	9	1	 	2	 	 	 	31	1	8	31
VN018	10	1	5	 	 	 	 	46	2	10	26
VN018	11	1	5	 	 	 	 	45	2	10	20
VN017	1	1	 	2	 	 	 	44	1	1	38
VN017	2	2	4	 	 	 	 	48	1	3	30
VN017	3	2	2	 	 	 	 	49	2	4	14
VN017	4	2	3	 	 	 	 	42	2	4	30
VN017	5	1	3	1	4	2	5	50	2	6	30
VN017	6	2	3	 	 	 	 	56	1	4	46
VN017	7	2	1	 	 	 	 	28	1	8	28
VN017	8	1	 	2	 	 	 	29	1	8	29
VN017	9	1	 	2	 	 	 	30	2	8	9
VN017	10	1	5	 	 	 	 	23	1	10	2
VN017	11	1	5	 	 	 	 	40	2	10	26
VN017	12	1	5	 	 	 	 	43	2	10	30
VN017	13	1	5	 	 	 	 	45	2	10	20
VN017	14	1	5	 	 	 	 	44	2	10	24
VN015	1	2	1	 	2	 	 	36	1	1	36
VN015	2	 	1	 	2	 	 	38	1	8	38
VN015	3	 	1	 	2	 	 	28	1	8	28
VN015	4	 	3	 	4	 	6	37	1	2	10
VN015	5	 	3	 	6	2	4	30	1	8	30
VN015	6	 	3	 	4	2	4	40	2	8	24
VN015	7	2	1	 	3	 	5	30	1	1	3
VN015	8	 	1	 	 	 	 	28	2	4	2
VN015	9	 	1	 	 	 	 	23	1	1	23
VN016	10	2	1	 	2	 	3	25	2	8	20
VN016	11	2	1	 	2	 	3	37	1	8	37
VN016	12	2	4	 	5	 	 	56	2	8	20
VN016	13	 	4	 	5	 	 	75	1	8	36
VN025	1	1	1	 	6	 	 	53	1	1	32
VN025	2	1	1	 	3	 	4	31	1	2	28
VN025	3	1	1	 	2	 	3	51	2	1	51
VN025	4	1	3	 	 	 	 	50	1	2	41
VN025	5	1	2	 	 	 	 	40	1	2	40
VN022	9	2	3	 	 	 	 	35	2	2	35
VN022	10	2	4	 	 	 	 	42	2	1	42
VN022	11	2	4	 	 	 	 	50	2	1	48
VN022	12	2	4	 	 	 	 	42	1	8	42
VN022	13	2	4	 	 	 	 	30	2	8	30
VN022	14	2	4	 	 	 	 	31	1	8	31
VN011	1	1	1	 	2	2	3	50	1	1	50
VN011	2	1	5	2	3	 	 	37	2	2	37
VN011	3	1	1	 	2	 	4	53	1	8	53
VN011	4	1	2	 	3	 	4	34	2	8	34
VN011	5	1	3	 	4	2	6	38	1	8	38
VN011	6	2	3	 	 	 	 	48	1	4	18
VN011	7	1	3	2	6	 	5	41	2	6	20
VN011	8	1	1	 	3	 	 	44	1	2	44
VN011	9	1	3	 	5	 	 	48	2	8	48
VN011	10	2	4	 	 	 	 	40	1	3	40
VN011	11	1	5	 	 	 	 	35	1	10	35
VN011	12	2	1	 	 	 	 	26	1	1	26
VN011	13	2	3	 	 	 	 	38	2	4	2
VN011	14	2	1	 	5	 	3	47	1	8	47
VN011	15	2	1	 	5	 	 	24	2	8	7
VN011	16	1	5	 	4	 	 	41	2	8	17
VN011	17	1	5	 	4	 	 	37	1	10	37
VN011	18	2	5	 	 	 	 	50	2	10	50
VN006	3	2	1	 	 	 	 	55	2	4	51
VN006	4	1	1	 	3	 	 	55	2	6	23
VN006	5	1	6	 	 	 	 	37	2	8	32
VN006	6	2	4	1	2	 	 	31	2	3	20
VN006	7	1	3	 	 	 	 	51	2	2	39
