PLACEID	RSID	AGERES	SEXRES	CASTE	CAPAC	LIVRES
26	11	70	1	3	8	70
26	12	75	2	1	8	5
26	13	35	2	1	8	3
26	14	32	1	4	8	3
26	15	48	1	4	8	9
26	16	30	1	4	8	30
26	17	42	1	4	8	20
26	18	52	1	3	8	12
26	19	26	1	3	8	26
26	20	53	1	3	8	40
26	21	28	1	3	8	28
26	22	45	1	4	8	45
26	23	36	1	4	8	36
26	24	26	1	3	8	26
26	25	38	1	4	8	38
26	26	38	1	3	8	38
26	27	50	1	3	8	50
26	28	32	1	4	8	32
26	29	42	1	3	8	38
26	30	48	1	3	8	40
26	31	52	1	4	8	35
26	32	23	1	4	8	23
26	33	31	1	3	8	31
27	1	36	1	2	1	36
27	2	60	1	2	8	60
27	3	40	2	2	4	40
27	4	53	1	4	8	5
27	5	47	1	4	8	10
27	6	50	1	4	8	10
27	7	40	1	4	8	40
27	8	34	1	4	8	2
27	9	55	1	4	8	45
27	10	35	1	4	8	15
27	11	50	1	4	8	20
27	12	45	1	4	8	15
27	13	34	1	4	8	5
27	14	28	1	4	3	3
27	15	27	2	2	3	3
27	16	28	2	2	3	3
28	1	40	2	2	1	40
28	2	55	1	2	1	30
28	3	45	2	1	4	30
28	4	45	1	4	8	30
28	5	60	1	4	8	30
28	6	39	1	4	8	15
28	7	40	1	4	8	40
28	8	54	1	4	8	54
28	9	54	1	4	8	24
28	10	40	1	4	8	40
28	11	45	1	4	8	45
28	12	35	1	3	8	35
28	13	25	1	4	8	25
28	14	35	1	4	3	1
28	15	27	2	2	3	3
29	1	30	2	2	1	10
29	2	38	2	3	1	38
29	3	45	2	3	4	15
29	4	55	1	4	8	40
29	5	40	1	4	8	20
29	6	45	1	4	8	25
29	7	40	1	4	8	40
29	8	55	1	4	8	55
29	9	28	2	2	3	5
29	10	25	2	2	3	4
29	11	35	1	4	8	15
29	12	50	1	4	8	20
29	13	50	1	4	8	15
29	14	38	1	4	8	20
29	15	55	1	4	8	30
30	1	45	2	2	1	45
30	2	33	2	2	4	35
30	3	50	1	1	7	50
30	4	55	1	4	8	40
30	5	40	1	4	8	20
30	6	45	1	4	8	25
30	7	40	1	4	8	40
30	8	55	1	4	8	55
30	9	50	1	4	8	25
30	10	50	1	4	8	20
30	11	35	1	4	8	15
30	12	38	1	4	8	20
30	13	55	1	4	8	30
30	14	30	2	2	3	1
30	15	35	2	2	3	1
31	1	45	2	2	1	45
31	2	29	2	2	4	13
31	3	38	1	2	7	38
31	4	34	1	4	8	15
31	5	45	1	4	8	45
31	6	39	1	4	8	15
31	7	40	1	4	8	40
31	8	54	1	4	8	54
31	9	54	1	4	8	24
31	10	40	1	4	8	40
31	11	45	1	4	8	45
31	12	35	1	3	8	35
31	13	25	1	4	8	25
31	14	28	2	2	3	1
31	15	30	2	2	3	5
32	1	35	1	2	1	35
32	2	36	2	2	6	36
32	3	30	2	2	4	30
32	4	55	1	4	8	40
32	5	40	1	4	8	40
32	6	45	1	4	8	25
32	7	38	1	4	8	38
32	8	39	1	3	8	20
32	9	50	1	3	8	30
32	10	35	1	4	8	15
32	11	50	1	4	8	20
32	12	38	1	4	8	20
32	13	55	1	4	8	30
32	14	26	2	2	3	3
32	15	31	2	2	3	6
32	16	35	2	2	3	3
33	1	38	1	4	1	38
33	2	40	2	4	4	23
33	3	39	2	4	4	19
33	4	56	1	4	8	40
33	5	52	1	4	8	52
33	6	54	1	4	8	54
33	7	42	1	4	8	42
33	8	53	1	4	8	30
33	9	48	1	4	8	28
33	10	42	1	3	8	20
33	11	46	1	3	8	20
33	12	39	1	4	8	39
33	13	40	1	4	8	40
33	14	35	2	1	3	35
33	15	55	1	1	3	30
34	1	45	1	4	1	45
34	2	38	2	3	4	38
34	3	32	2	3	6	32
34	4	45	1	3	8	45
34	5	48	1	4	8	48
34	6	58	1	4	8	40
34	7	37	1	3	8	37
34	8	49	1	4	8	49
34	9	48	1	4	8	48
34	10	40	1	3	8	40
34	11	35	1	3	8	35
34	12	55	1	4	8	40
34	13	43	1	4	8	43
34	14	30	2	1	3	10
34	15	42	1	4	3	15
35	1	70	1	3	7	70
35	2	62	1	3	8	62
35	3	50	1	3	7	50
35	4	47	1	4	1	47
35	5	70	1	3	7	70
35	6	60	1	1	7	60
35	7	35	2	1	8	10
35	8	35	1	1	8	10
35	9	45	1	4	8	45
35	10	60	1	3	8	60
35	11	35	1	4	8	35
35	12	42	1	3	8	20
35	13	39	1	4	8	39
35	14	50	1	4	8	35
35	15	34	1	3	8	34
35	16	39	1	3	8	39
35	17	48	1	3	8	48
35	18	36	1	3	8	36
35	19	45	1	4	8	45
35	20	55	1	1	8	55
35	21	46	1	4	8	46
35	22	28	1	4	8	8
35	23	32	2	3	8	12
35	24	39	1	3	8	19
35	25	40	1	4	8	10
36	1	65	1	3	7	60
36	2	70	1	3	5	40
36	3	56	1	4	2	54
36	4	60	1	3	7	30
36	5	62	1	3	7	62
36	6	34	1	1	7	10
36	7	45	1	4	3	1
36	8	35	1	1	8	10
36	9	45	1	4	8	45
36	10	60	1	4	8	60
36	11	35	1	4	8	35
36	12	42	1	3	8	20
36	13	39	1	4	8	39
36	14	50	1	4	8	35
36	15	34	1	3	8	34
36	16	39	1	3	8	39
36	17	48	1	3	8	48
36	18	36	1	3	8	36
36	19	45	1	4	8	45
36	20	55	1	1	8	55
36	21	46	1	4	8	46
36	22	28	1	4	8	8
36	23	32	1	3	8	12
36	24	39	1	3	8	19
36	25	40	1	4	8	10
37	1	53	1	1	7	53
37	2	57	1	3	8	57
37	3	45	1	4	3	1
37	4	60	1	3	2	60
37	5	45	1	3	2	45
37	6	55	1	4	2	55
37	7	50	1	3	4	50
37	8	60	2	1	6	40
37	9	39	1	3	8	39
37	10	45	1	4	8	45
37	11	60	2	3	8	60
37	12	55	1	3	8	55
