PLACEID	PRGIDR4	CURRPROG	PROGSTOP
27	40	1	 
27	44	0	88
27	45	0	88
27	46	0	88
27	47	1	 
27	50	1	 
27	51	1	 
27	52	1	 
27	53	1	 
27	55	1	 
27	62	0	88
27	63	0	88
27	65	0	88
27	66	0	88
27	67	0	88
27	68	1	 
28	10	1	 
28	11	1	 
28	12	0	88
28	13	1	 
28	15	1	 
28	16	0	88
28	17	1	 
28	18	0	88
28	21	1	 
28	24	1	 
28	25	1	 
28	26	1	 
28	27	0	88
28	29	0	88
28	34	0	88
28	35	1	 
28	37	0	88
28	38	0	88
28	39	0	88
28	40	1	 
28	44	0	88
28	45	0	88
28	46	0	88
28	47	1	 
28	50	1	 
28	51	1	 
28	52	1	 
28	53	1	 
28	55	1	 
28	62	1	 
28	63	0	88
28	65	0	88
28	66	0	88
28	67	0	88
28	68	1	 
29	10	0	88
29	11	1	 
29	12	0	88
29	13	0	88
29	15	0	88
29	16	0	88
29	17	1	 
29	18	0	88
29	21	1	 
29	24	1	 
29	25	1	 
29	26	1	 
29	27	1	 
29	29	1	 
29	34	0	88
29	35	1	 
29	37	1	 
29	38	0	88
29	39	0	88
29	40	1	 
29	44	0	88
29	45	0	88
29	46	0	88
29	47	0	88
29	50	0	88
29	51	1	 
29	52	1	 
29	53	1	 
29	55	1	 
29	62	1	 
29	63	0	88
29	65	0	88
29	66	0	88
29	67	0	88
29	68	1	 
30	10	1	 
30	11	1	 
30	12	0	88
30	13	1	 
30	15	0	88
30	16	0	88
30	17	1	 
30	18	0	88
30	21	1	 
30	24	1	 
30	25	1	 
30	26	1	 
30	27	1	 
30	29	1	 
30	34	0	88
30	35	1	 
30	37	1	 
30	38	0	88
30	39	0	88
30	40	1	 
30	44	0	88
30	45	0	88
30	46	0	88
30	47	1	 
30	50	0	88
30	51	1	 
30	52	1	 
30	53	1	 
30	55	1	 
30	62	1	 
30	63	0	88
30	65	0	88
30	66	0	88
30	67	1	 
30	68	1	 
31	10	1	 
31	11	1	 
31	12	0	88
31	13	1	 
31	15	1	 
31	16	0	88
31	17	1	 
31	18	0	88
31	21	1	 
31	24	1	 
31	25	1	 
31	26	1	 
31	27	1	 
31	29	0	88
31	34	0	88
31	35	1	 
31	37	1	 
31	38	0	88
31	39	0	88
31	40	1	 
31	44	0	88
31	45	0	88
31	46	0	88
31	47	1	 
31	50	1	 
31	51	1	 
31	52	1	 
31	53	1	 
31	55	1	 
31	62	1	 
31	63	0	88
31	65	0	88
31	66	0	88
31	67	0	88
31	68	1	 
32	10	1	 
32	11	1	 
32	12	0	88
32	13	1	 
32	15	0	88
32	16	0	88
32	17	1	 
32	18	0	88
32	21	1	 
32	24	1	 
32	25	1	 
32	26	1	 
32	27	1	 
32	29	1	 
32	34	0	88
32	35	1	 
32	37	0	88
32	38	0	88
32	39	0	88
32	40	1	 
32	44	0	88
32	45	0	88
32	46	0	88
32	47	1	 
32	50	1	 
32	51	1	 
32	52	1	 
32	53	1	 
32	55	1	 
32	62	1	 
32	63	0	88
32	65	0	88
32	66	0	88
32	67	1	 
32	68	1	 
33	10	1	 
33	11	1	 
33	12	0	88
33	13	1	 
33	15	0	88
33	16	0	88
33	17	1	 
33	18	0	88
33	21	1	 
33	24	1	 
33	25	1	 
33	26	1	 
33	27	1	 
33	29	1	 
33	34	0	88
33	35	1	 
33	37	1	 
33	38	1	 
33	39	0	88
33	40	1	 
33	44	0	88
33	45	0	88
33	46	0	88
33	47	0	88
33	50	0	88
33	51	0	88
33	52	1	 
33	53	0	88
33	55	1	 
33	62	1	 
33	63	0	88
33	65	1	 
33	66	0	88
33	67	1	 
33	68	1	 
34	10	1	 
34	11	1	 
34	12	0	88
34	13	1	 
34	15	1	 
34	16	0	77
34	17	1	 
34	18	1	 
34	21	1	 
34	24	1	 
34	25	1	 
34	26	1	 
34	27	1	 
34	29	1	 
34	34	0	88
34	35	1	 
34	37	1	 
34	38	1	 
34	39	0	88
34	40	1	 
34	44	0	77
34	45	1	 
34	46	1	 
34	47	1	 
34	50	0	77
34	51	1	 
34	52	1	 
34	53	1	 
34	55	1	 
34	62	1	 
34	63	0	88
34	65	1	 
34	66	1	 
34	67	1	 
34	68	1	 
35	10	1	 
35	11	1	 
35	12	1	 
35	13	1	 
35	15	1	 
35	16	1	 
35	17	1	 
35	18	1	 
35	21	1	 
35	24	1	 
35	25	1	 
35	26	1	 
35	27	1	 
35	29	1	 
35	34	0	88
35	35	1	 
35	37	0	88
35	38	0	88
35	39	0	88
35	40	1	 
35	44	0	88
35	45	1	 
35	46	1	 
35	47	1	 
35	50	0	88
35	51	1	 
35	52	1	 
35	53	1	 
35	55	1	 
35	62	1	 
35	63	0	88
35	65	1	 
35	66	1	 
35	67	1	 
35	68	1	 
36	10	1	 
36	11	1	 
36	12	1	 
36	13	1	 
36	15	1	 
36	16	1	 
36	17	1	 
36	18	1	 
36	21	1	 
36	24	1	 
36	25	1	 
36	26	1	 
36	27	1	 
36	29	1	 
36	34	0	88
36	35	1	 
36	37	1	 
36	38	1	 
36	39	1	 
36	40	1	 
