CHILDID	PASSID	PASSET	NUMPASS	VALPASS	DECPASS
VN111111	2	30	4	400	80
VN111119	1	30	2	5000	1
VN111119	2	1	3	100	1
VN121001	1	8	6	5000	80
VN121001	2	1	20	1000	80
VN121002	1	1	10	300	80
VN121002	2	8	1	200	80
VN121003	1	1	8	400	80
VN121003	2	8	6	400	80
VN121004	1	1	10	50	80
VN121005	1	8	5	3000	80
VN121005	2	1	15	100	80
VN121006	1	1	7	50	1
VN121006	2	8	3	100	1
VN121007	1	8	4	2000	80
VN121007	2	1	5	50	80
VN121008	1	1	20	500	1
VN121008	2	8	1	200	1
VN121009	1	1	12	150	80
VN121009	2	8	1	200	88
VN121011	1	1	4	100	4
VN121011	2	8	1	2500	4
VN121012	1	30	15	2000	80
VN121013	1	1	10	200	80
VN121013	2	8	2	300	80
VN121014	1	1	10	200	80
VN121019	1	1	12	300	80
VN121019	2	8	3	600	80
VN121020	1	8	3	2000	80
VN121020	2	1	10	50	80
VN121021	1	23	1	300	80
VN121022	1	1	30	300	80
VN121023	1	25	1	100000	1
VN121025	1	1	9	150	80
VN121025	2	8	5	300	80
VN121028	1	8	1	200	80
VN121028	2	1	6	30	80
VN121030	1	8	1	100	80
VN121030	2	1	10	60	80
VN121031	1	8	4	2000	80
VN121031	2	1	10	50	80
VN121032	1	1	3	120	80
VN121032	2	8	-99	-99	99
VN121033	1	1	10	50	80
VN121033	2	8	2	1000	80
VN121034	1	1	6	120	80
VN121034	2	8	2	400	80
VN121035	1	1	9	200	80
VN121035	2	8	4	100	80
VN121036	1	8	3	1000	80
VN121036	2	1	4	30	80
VN121037	1	1	9	140	80
VN121037	2	8	1	100	80
VN121038	1	1	7	140	80
VN121038	2	8	2	300	80
VN121039	1	1	12	200	80
VN121039	2	8	6	400	80
VN121040	1	8	2	500	80
VN121040	2	1	5	20	80
VN121041	1	1	5	100	80
VN121042	1	1	7	140	80
VN121042	2	8	1	200	80
VN121043	1	8	1	400	1
VN121043	2	1	10	50	80
VN121044	1	1	6	200	80
VN121044	2	8	4	1500	80
VN121047	1	1	8	200	80
VN121047	2	8	1	300	80
VN121048	1	1	6	150	80
VN121048	2	8	8	1000	80
VN121049	1	8	2	3000	1
