CHILDID	ACTID	ACTYEST	ACTSUPER	ACTCARE	CHOICE
VN031021	2	2	0	0	1
VN031021	3	12	0	0	1
VN031021	4	17	0	1	1
VN031023	1	5	0	0	0
VN031023	2	10	0	0	1
VN031023	3	12	1	0	1
VN031023	4	7	0	0	0
VN031024	1	1	1	0	1
VN031024	2	5	0	0	1
VN031024	3	2	1	0	1
VN031024	4	12	0	0	1
VN031024	5	10	0	0	1
VN031025	1	1	1	0	0
VN031025	2	2	1	0	1
VN031025	3	8	0	0	1
VN031025	4	7	0	0	1
VN031025	5	10	0	1	1
VN031027	1	3	0	1	1
VN031027	2	5	0	1	0
VN031027	3	7	1	0	1
VN031027	4	8	1	0	1
VN031027	5	17	0	1	1
VN031027	6	12	0	1	1
VN031028	1	5	1	0	1
VN031028	2	7	1	0	1
VN031028	3	10	0	0	1
VN031029	1	1	1	0	0
VN031029	2	2	1	0	1
VN031029	3	5	1	0	1
VN031029	4	10	0	0	1
VN031029	5	12	0	0	1
VN031031	1	5	1	0	0
VN031031	2	7	1	0	0
VN031031	3	8	1	0	0
VN031031	4	10	0	0	1
VN031031	5	12	0	0	1
VN031032	1	1	1	0	0
VN031032	2	2	0	1	1
VN031032	3	3	0	1	1
VN031032	4	5	1	0	0
VN031032	5	10	0	1	1
VN031032	6	12	0	1	1
VN031033	1	1	1	0	0
VN031033	2	2	0	1	1
VN031033	3	3	0	1	1
VN031033	4	5	1	1	1
VN031033	5	10	0	1	1
VN031033	6	12	0	1	1
VN031034	1	5	0	0	1
VN031034	2	2	1	0	1
VN031034	3	7	0	0	0
VN031034	4	1	1	0	0
VN031034	5	12	0	0	1
VN031035	1	7	0	0	0
VN031035	2	8	0	0	0
VN031035	3	5	0	0	0
VN031035	4	6	0	0	0
VN031036	1	23	0	0	1
VN031036	2	1	1	0	1
VN031036	3	2	0	0	1
VN031036	4	12	0	1	1
VN031037	1	1	1	0	0
VN031037	2	2	1	0	1
VN031037	3	10	0	0	1
VN031037	4	12	0	0	1
VN031037	5	5	0	0	1
VN031038	1	5	0	0	1
VN031038	2	1	1	0	1
VN031038	3	2	1	0	1
VN031038	4	3	1	1	1
VN031039	1	1	1	0	0
VN031039	2	2	1	0	0
VN031039	3	5	1	0	0
VN031039	4	10	0	0	1
VN031039	5	12	0	0	1
VN031040	1	1	1	0	0
VN031040	2	2	0	0	0
VN031040	3	5	0	0	1
VN031040	4	12	0	0	1
VN031040	5	10	0	0	1
VN031041	1	1	1	0	0
VN031041	2	2	1	0	1
VN031041	3	10	0	0	1
VN031041	4	12	1	0	0
VN031041	5	5	0	0	0
VN031043	1	1	1	0	1
VN031043	2	2	0	0	1
VN031043	3	5	0	0	1
VN031043	4	10	0	0	1
VN031043	5	12	0	0	1
VN031044	1	1	1	0	0
VN031044	2	2	0	1	1
VN031044	3	3	0	1	0
VN031044	4	5	1	1	0
VN031044	5	10	0	1	1
VN031044	6	12	0	1	1
VN031045	1	1	1	0	1
VN031045	2	10	0	1	1
VN031045	3	5	0	0	1
VN031045	4	2	0	0	1
VN031045	5	12	1	1	0
VN031046	1	2	0	0	1
VN031046	2	12	0	0	1
VN031046	3	1	1	0	1
VN031046	4	5	0	0	1
VN031046	5	17	0	1	1
VN031047	1	1	1	0	0
VN031047	2	5	0	0	1
VN031047	3	7	0	0	0
VN031047	4	2	1	0	1
VN031047	5	10	0	0	1
VN031048	1	1	1	0	0
VN031048	2	2	1	0	0
VN031048	3	5	0	0	1
VN031048	4	12	0	0	1
VN031048	5	10	0	0	1
VN031049	1	1	1	0	0
VN031049	2	1	1	0	1
VN031049	3	5	1	0	1
VN031049	4	10	0	0	1
VN031049	5	12	1	0	1
VN031050	1	1	1	0	1
VN031050	2	5	0	0	1
VN031050	3	2	0	0	1
VN031050	4	12	0	0	1
VN031050	5	23	0	0	1
VN031050	6	17	0	1	1
VN031052	1	1	1	0	0
VN031052	2	2	1	0	0
VN031052	3	10	1	0	0
VN031052	4	5	1	0	0
VN031052	5	12	0	0	1
VN031058	1	5	0	0	1
VN031058	2	2	0	0	1
VN031058	3	10	0	0	1
VN031059	1	3	1	1	0
VN031059	2	5	1	1	0
VN031059	3	10	0	0	1
VN031059	4	12	0	0	1
VN031060	1	1	1	0	0
VN031060	2	2	1	0	1
VN031060	3	5	1	0	0
VN031060	4	10	0	0	1
VN031060	5	12	0	0	1
VN031079	1	2	0	0	1
VN031079	2	10	0	0	1
VN031079	3	5	0	0	1
VN031079	4	4	1	0	1
VN031096	1	1	1	0	0
VN031096	2	2	1	1	0
VN031096	3	3	0	1	0
VN031096	4	5	1	1	0
VN031096	5	10	0	1	1
VN031096	6	12	0	1	1
VN031098	1	1	1	0	1
VN031098	2	2	1	0	1
VN031098	3	12	0	0	1
VN031098	4	10	0	0	1
VN031098	5	8	0	0	1
VN031108	1	1	1	0	0
VN031108	2	2	0	1	0
VN031108	3	10	0	0	1
VN031108	4	12	0	1	1
VN031108	5	5	0	0	0
VN031134	1	1	1	0	0
VN031134	2	2	0	1	0
VN031134	3	3	0	1	0
VN031134	4	5	1	1	0
VN031134	5	10	0	1	1
VN031134	6	12	0	1	1
VN041001	1	1	0	0	1
VN041001	2	2	0	0	1
VN041001	3	5	0	0	1
VN041001	4	20	1	0	0
VN041002	1	1	0	0	1
VN041002	2	5	0	0	1
VN041002	3	17	0	0	1
VN041002	4	2	0	0	1
VN041003	1	1	0	0	0
VN041003	2	2	0	0	1
VN041003	3	5	0	0	1
VN041003	4	10	0	0	1
VN041003	5	12	0	0	1
VN041004	1	1	1	0	1
VN041004	2	5	0	0	1
VN041004	3	2	0	0	1
VN041004	4	12	0	0	1
VN041005	1	1	1	0	1
VN041005	2	2	1	0	1
VN041005	3	5	0	0	1
VN041005	4	10	1	0	1
VN041006	1	1	0	0	0
VN041006	2	2	0	0	1
VN041006	3	5	0	0	1
VN041006	4	10	0	0	1
VN041006	5	12	0	0	1
VN041006	6	23	0	0	1
VN041007	1	1	1	0	1
VN041007	2	2	0	0	1
VN041007	3	5	0	0	1
VN041007	4	12	0	0	1
VN041008	1	2	0	0	1
VN041008	2	10	0	0	1
VN041008	3	1	0	0	1
VN041008	4	12	0	0	1
VN041009	1	1	0	0	1
VN041009	2	2	0	0	1
VN041009	3	12	0	0	1
VN041009	4	5	0	0	1
VN041010	1	1	0	0	0
VN041010	2	2	0	0	1
VN041010	3	5	0	0	1
VN041010	4	10	0	0	1
VN041010	5	11	0	0	1
VN041011	1	1	0	0	0
VN041011	2	5	0	0	1
VN041011	3	10	0	0	1
VN041011	4	12	0	0	1
VN041011	5	2	0	0	1
VN041012	1	1	1	0	1
VN041012	2	5	99	0	1
VN041012	3	2	99	0	1
VN041012	4	12	1	0	1
VN041013	1	2	0	0	1
VN041013	2	1	1	0	1
VN041013	3	12	1	0	1
VN041014	1	1	0	0	1
VN041014	2	5	0	0	1
VN041014	3	2	0	0	1
VN041014	4	10	0	0	1
VN041015	1	10	0	0	1
VN041015	2	5	0	0	1
VN041015	3	2	0	0	1
VN041015	4	1	0	0	1
VN041016	1	1	0	0	1
VN041016	2	10	0	0	1
VN041016	3	2	0	0	1
VN041016	4	23	0	0	1
VN041017	1	2	0	0	1
VN041017	2	5	0	0	1
VN041017	3	1	1	0	1
VN041017	4	12	0	0	1
VN041019	1	1	0	0	1
VN041019	2	2	0	0	1
VN041019	3	5	0	0	1
VN041019	4	10	0	0	1
VN041019	5	11	0	0	1
VN041019	6	12	0	0	1
VN041020	1	1	0	0	1
VN041020	2	2	0	0	1
VN041020	3	10	0	0	1
VN041020	4	5	0	0	1
VN041020	5	12	0	0	1
VN041021	1	1	1	0	1
VN041021	2	5	0	0	1
VN041021	3	2	0	0	1
VN041021	4	12	1	0	1
VN041022	1	1	0	0	1
VN041022	2	10	0	0	1
VN041022	3	5	0	0	1
VN041022	4	2	0	0	1
VN041023	1	1	1	0	0
VN041023	2	12	1	1	1
VN041023	3	3	0	1	1
VN041023	4	2	0	0	1
VN041024	1	1	0	0	1
VN041024	2	23	0	0	1
VN041024	3	2	0	0	1
VN041025	1	1	1	0	1
VN041025	2	5	0	0	1
VN041025	3	2	0	0	1
VN041025	4	12	1	0	1
VN041025	5	10	1	0	1
VN041026	1	1	1	0	1
VN041026	2	2	0	0	1
VN041026	3	10	1	0	1
VN041026	4	12	1	0	1
VN041027	1	2	0	0	1
VN041027	2	5	0	0	1
VN041027	3	1	1	0	1
VN041027	4	12	1	0	1
VN041028	1	5	1	0	1
VN041028	2	12	0	0	1
VN041028	3	10	0	0	1
VN041030	1	1	0	0	0
VN041030	2	2	0	0	1
VN041030	3	5	0	0	0
VN041030	4	10	0	0	1
VN041031	1	1	0	0	1
VN041031	2	3	0	0	1
VN041031	3	5	0	0	1
VN041031	4	10	0	0	1
VN041032	1	1	0	0	1
VN041032	2	2	0	0	1
VN041032	3	10	0	0	1
VN041032	4	8	1	0	1
VN041034	1	1	0	0	0
VN041034	2	2	1	0	1
VN041034	3	12	0	0	1
VN041034	4	10	1	0	1
VN041036	1	2	1	0	1
VN041036	2	1	0	0	1
VN041036	3	10	0	0	1
VN041036	4	5	0	0	1
VN041037	1	1	0	0	0
VN041037	2	2	0	0	1
VN041037	3	5	0	0	1
VN041037	4	10	0	0	1
VN041037	5	12	0	0	1
VN041038	1	1	0	0	1
VN041038	2	5	0	0	1
VN041038	3	2	1	0	1
VN041038	4	12	0	0	1
VN041039	1	21	1	1	1
VN041039	2	10	0	0	1
VN041040	1	1	1	0	1
VN041040	2	12	0	0	1
VN041040	3	2	0	0	1
VN041040	4	5	0	0	1
VN041041	1	1	0	0	0
VN041041	2	2	1	0	1
