PLACEID	HLEQIDR4	HAVEEQ	EQPWRK
910	8	0	 
910	9	0	 
910	10	0	 
910	11	0	 
910	12	0	 
910	13	0	 
910	14	1	2
910	15	0	 
910	16	0	 
910	17	0	 
910	18	0	 
910	19	1	1
910	20	1	1
911	1	0	 
911	2	0	 
911	3	0	 
911	4	1	1
911	5	0	 
911	6	0	 
911	7	0	 
911	8	1	1
911	9	0	 
911	10	0	 
911	11	0	 
911	12	0	 
911	13	0	 
911	14	1	1
911	15	0	 
911	16	1	1
911	17	0	 
911	18	0	 
911	19	0	 
911	20	0	 
912	1	0	 
912	2	0	 
912	3	0	 
912	4	1	1
912	5	0	 
912	6	0	 
912	7	0	 
912	8	0	 
912	9	0	 
912	10	0	 
912	11	0	 
912	12	0	 
912	13	0	 
912	14	1	2
912	15	0	 
912	16	0	 
912	17	0	 
912	18	0	 
912	19	1	1
912	20	1	1
1001	1	0	 
1001	2	0	 
1001	3	1	1
1001	4	1	1
1001	5	0	 
1001	6	0	 
1001	7	0	 
1001	8	0	 
1001	9	0	 
1001	10	1	1
1001	11	0	 
1001	12	0	 
1001	13	0	 
1001	14	0	 
1001	15	0	 
1001	16	1	1
1001	17	0	 
1001	18	1	1
1001	19	1	1
1001	20	1	1
1003	1	0	 
1003	2	1	3
1003	3	0	 
1003	4	1	1
1003	5	1	4
1003	6	0	 
1003	7	0	 
1003	8	0	 
1003	9	1	2
1003	10	1	2
1003	11	1	2
1003	12	1	2
1003	13	1	2
1003	14	1	2
1003	15	1	2
1003	16	1	3
1003	17	1	3
1003	18	1	1
1003	19	1	1
1003	20	1	1
1004	1	0	 
1004	2	1	3
1004	3	0	 
1004	4	1	1
1004	5	1	4
1004	6	0	 
1004	7	0	 
1004	8	0	 
1004	9	1	2
1004	10	1	2
1004	11	1	2
1004	12	1	2
1004	13	1	2
1004	14	1	2
1004	15	1	2
1004	16	1	3
1004	17	1	3
1004	18	1	1
1004	19	1	1
1004	20	1	1
1005	1	0	 
1005	2	1	3
1005	3	0	 
1005	4	1	1
1005	5	1	4
1005	6	0	 
1005	7	0	 
1005	8	0	 
1005	9	1	2
1005	10	1	2
1005	11	1	2
1005	12	1	2
1005	13	1	2
1005	14	1	2
1005	15	1	2
1005	16	1	3
1005	17	1	3
1005	18	1	1
1005	19	1	1
1005	20	1	1
1006	1	0	 
1006	2	0	 
1006	3	1	1
1006	4	1	1
1006	5	0	 
1006	6	0	 
1006	7	0	 
1006	8	0	 
1006	9	0	 
1006	10	1	1
1006	11	0	 
1006	12	0	 
1006	13	0	 
1006	14	0	 
1006	15	0	 
1006	16	1	1
1006	17	0	 
1006	18	1	1
1006	19	1	1
1006	20	1	1
1101	1	0	 
1101	2	0	 
1101	3	0	 
1101	4	1	2
1101	5	0	 
1101	6	0	 
1101	7	0	 
1101	8	1	1
1101	9	0	 
1101	10	0	 
1101	11	0	 
1101	12	0	 
1101	13	0	 
1101	14	1	1
1101	15	0	 
1101	16	1	1
1101	17	0	 
1101	18	1	3
1101	19	1	1
1101	20	1	1
1102	1	0	 
1102	2	0	 
1102	3	0	 
1102	4	1	1
1102	5	0	 
1102	6	0	 
1102	7	0	 
1102	8	0	 
1102	9	0	 
1102	10	0	 
1102	11	0	 
1102	12	0	 
1102	13	0	 
1102	14	1	1
1102	15	0	 
1102	16	1	4
1102	17	0	 
1102	18	0	 
1102	19	1	1
1102	20	1	1
1103	1	0	 
1103	2	0	 
1103	3	0	 
1103	4	1	2
1103	5	0	 
1103	6	0	 
1103	7	0	 
1103	8	0	 
1103	9	0	 
1103	10	0	 
1103	11	0	 
1103	12	0	 
1103	13	0	 
1103	14	0	 
1103	15	0	 
1103	16	0	 
1103	17	0	 
1103	18	0	 
1103	19	1	1
1103	20	1	1
1104	1	0	 
1104	2	0	 
1104	3	0	 
1104	4	0	 
1104	5	0	 
1104	6	0	 
1104	7	0	 
1104	8	0	 
1104	9	0	 
1104	10	0	 
1104	11	0	 
1104	12	0	 
1104	13	0	 
1104	14	0	 
1104	15	0	 
1104	16	0	 
1104	17	0	 
1104	18	0	 
1104	19	0	 
1104	20	0	 
1105	1	0	 
1105	2	0	 
1105	3	0	 
1105	4	1	1
1105	5	0	 
1105	6	0	 
1105	7	0	 
1105	8	0	 
1105	9	0	 
1105	10	1	2
1105	11	0	 
1105	12	1	1
1105	13	0	 
1105	14	1	2
1105	15	0	 
1105	16	1	1
1105	17	0	 
1105	18	1	1
1105	19	0	 
1105	20	0	 
1106	1	0	 
1106	2	0	 
1106	3	0	 
1106	4	0	 
1106	5	0	 
1106	6	0	 
1106	7	0	 
1106	8	0	 
1106	9	0	 
1106	10	0	 
1106	11	0	 
1106	12	0	 
1106	13	0	 
1106	14	0	 
1106	15	0	 
1106	16	0	 
1106	17	0	 
1106	18	0	 
1106	19	1	1
1106	20	1	1
1107	1	0	 
1107	2	0	 
1107	3	0	 
1107	4	0	 
1107	5	0	 
1107	6	0	 
1107	7	0	 
1107	8	0	 
1107	9	0	 
1107	10	0	 
1107	11	0	 
1107	12	0	 
1107	13	0	 
1107	14	0	 
1107	15	0	 
1107	16	0	 
1107	17	0	 
1107	18	0	 
1107	19	1	1
1107	20	1	1
1108	1	0	 
1108	2	0	 
1108	3	0	 
1108	4	1	2
1108	5	0	 
1108	6	0	 
1108	7	0	 
1108	8	1	1
1108	9	0	 
1108	10	0	 
1108	11	0	 
1108	12	0	 
1108	13	0	 
1108	14	1	1
1108	15	0	 
1108	16	1	1
1108	17	0	 
1108	18	1	3
1108	19	1	1
1108	20	1	1
1202	1	0	 
1202	2	0	 
1202	3	0	 
1202	4	0	 
1202	5	0	 
1202	6	0	 
1202	7	0	 
1202	8	0	 
1202	9	0	 
1202	10	0	 
1202	11	0	 
1202	12	0	 
1202	13	0	 
1202	14	0	 
1202	15	0	 
1202	16	0	 
1202	17	0	 
1202	18	0	 
1202	19	1	1
1202	20	0	 
1203	1	1	1
1203	2	1	1
1203	3	1	1
1203	4	1	1
1203	5	0	 
1203	6	0	 
1203	7	0	 
1203	8	1	1
1203	9	1	1
1203	10	1	1
1203	11	1	1
1203	12	1	1
