PLACEID	TYWKIDR4	TYPEMALE	TYPEFMLE	TYPECHLD
903	11	 	 	-88
903	12	 	 	-88
904	1	-11	25	-11
904	2	25	-11	-11
904	3	40	-11	-11
904	4	-11	-11	-11
904	5	 	 	-11
904	6	 	 	-11
904	7	 	 	-11
904	8	 	 	-11
904	9	-88	-88	-88
904	10	-88	-88	-88
904	11	 	 	-88
904	12	 	 	-88
905	1	-11	-11	-11
905	2	-11	-11	-11
905	3	30	-11	-11
905	4	-11	-11	-11
905	5	 	 	-11
905	6	 	 	-11
905	7	 	 	-11
905	8	 	 	-11
905	9	-88	-88	-88
905	10	-88	-88	-88
905	11	 	 	-88
905	12	 	 	-88
906	1	-11	-11	-11
906	2	-11	-11	-11
906	3	35	-11	-11
906	4	-11	-11	-11
906	5	 	 	-11
906	6	 	 	-11
906	7	 	 	-11
906	8	 	 	-11
906	9	-88	-88	-88
906	10	-88	-88	-88
906	11	 	 	-88
906	12	 	 	-88
907	1	-11	-11	-11
907	2	-11	-11	-11
907	3	40	-11	-11
907	4	-11	-11	-11
907	5	 	 	-11
907	6	 	 	-11
907	7	 	 	-11
907	8	 	 	-11
907	9	-88	-88	-88
907	10	-88	-88	-88
907	11	 	 	-88
907	12	 	 	-88
908	1	-11	-11	-11
908	2	25	-11	-11
908	3	30	-11	-11
908	4	-11	-11	-11
908	5	 	 	-11
908	6	 	 	-11
908	7	 	 	-11
908	8	 	 	-11
908	9	-88	-88	-88
908	10	-88	-88	-88
908	11	 	 	-88
908	12	 	 	-88
909	1	-11	-11	-11
909	2	-11	-11	-11
909	3	30	-11	-11
909	4	-11	-11	-11
909	5	 	 	-11
909	6	 	 	-11
909	7	 	 	-11
909	8	 	 	-11
909	9	30	-11	-11
909	10	-88	-88	-88
909	11	 	 	-88
909	12	 	 	-88
910	1	-11	-11	-11
910	2	-11	-11	-11
910	3	20	-11	-11
910	4	-11	-11	-11
910	5	 	 	-11
910	6	 	 	-11
910	7	 	 	-11
910	8	 	 	-11
910	9	-88	-88	-88
910	10	-88	-88	-88
910	11	 	 	-88
910	12	 	 	-88
911	1	-11	-11	-11
911	2	20	-11	-11
911	3	25	-11	-11
911	4	-11	-11	-11
911	5	 	 	-11
911	6	 	 	-11
