PLACEID	HSTFIDR4	STAFFLL	STFFLNG1	STFFLNG2
904	8	0	 	 
904	9	0	 	 
904	10	0	 	 
904	11	0	 	 
904	12	1	1	88
904	13	0	 	 
904	14	3	1	2
904	15	0	 	 
904	16	0	 	 
904	17	0	 	 
905	1	0	 	 
905	2	0	 	 
905	3	0	 	 
905	4	0	 	 
905	5	0	 	 
905	6	1	1	88
905	7	2	2	2
905	8	0	 	 
905	9	0	 	 
905	10	0	 	 
905	11	0	 	 
905	12	0	 	 
905	13	0	 	 
905	14	0	 	 
905	15	0	 	 
905	16	0	 	 
905	17	0	 	 
906	1	0	 	 
906	2	0	 	 
906	3	0	 	 
906	4	0	 	 
906	5	0	 	 
906	6	2	2	1
906	7	0	 	 
906	8	0	 	 
906	9	0	 	 
906	10	0	 	 
906	11	0	 	 
906	12	0	 	 
906	13	0	 	 
906	14	0	 	 
906	15	0	 	 
906	16	0	 	 
906	17	0	 	 
907	1	0	 	 
907	2	0	 	 
907	3	0	 	 
907	4	0	 	 
907	5	0	 	 
907	6	1	2	88
907	7	2	1	2
907	8	0	 	 
907	9	0	 	 
907	10	0	 	 
907	11	0	 	 
907	12	0	 	 
907	13	0	 	 
907	14	0	 	 
907	15	0	 	 
907	16	0	 	 
907	17	0	 	 
908	1	0	 	 
908	2	0	 	 
908	3	0	 	 
908	4	0	 	 
908	5	0	 	 
908	6	0	 	 
908	7	1	1	2
908	8	0	 	 
908	9	0	 	 
908	10	0	 	 
908	11	0	 	 
908	12	0	 	 
908	13	0	 	 
908	14	1	1	88
908	15	0	 	 
908	16	0	 	 
908	17	0	 	 
909	1	1	1	88
909	2	0	 	 
909	3	1	1	88
909	4	0	 	 
909	5	0	 	 
909	6	2	1	2
909	7	4	1	2
909	8	0	 	 
909	9	0	 	 
909	10	0	 	 
909	11	0	 	 
909	12	1	1	88
909	13	0	 	 
909	14	3	1	2
909	15	0	 	 
909	16	0	 	 
909	17	0	 	 
910	1	0	 	 
910	2	0	 	 
910	3	0	 	 
910	4	0	 	 
910	5	0	 	 
910	6	1	1	88
910	7	2	1	2
910	8	0	 	 
910	9	0	 	 
910	10	0	 	 
910	11	0	 	 
910	12	0	 	 
910	13	0	 	 
910	14	0	 	 
910	15	0	 	 
910	16	0	 	 
910	17	0	 	 
911	1	0	 	 
911	2	0	 	 
911	3	0	 	 
911	4	0	 	 
911	5	0	 	 
911	6	0	 	 
911	7	1	1	2
911	8	0	 	 
911	9	0	 	 
911	10	0	 	 
911	11	0	 	 
911	12	0	 	 
911	13	0	 	 
911	14	1	1	2
911	15	0	 	 
911	16	0	 	 
911	17	0	 	 
912	1	0	 	 
912	2	0	 	 
912	3	0	 	 
912	4	0	 	 
912	5	0	 	 
912	6	1	1	88
912	7	2	1	2
912	8	0	 	 
912	9	0	 	 
912	10	0	 	 
912	11	0	 	 
912	12	0	 	 
912	13	0	 	 
912	14	0	 	 
912	15	0	 	 
912	16	0	 	 
912	17	0	 	 
1001	1	2	1	88
1001	2	1	1	88
1001	3	2	1	88
1001	4	0	 	 
1001	5	0	 	 
1001	6	5	1	2
1001	7	9	1	2
1001	8	2	1	2
1001	9	0	 	 
1001	10	2	1	88
1001	11	3	1	2
1001	12	0	 	 
1001	13	0	 	 
1001	14	3	1	2
1001	15	0	 	 
1001	16	0	 	 
1001	17	0	 	 
1003	1	47	1	2
1003	2	2	1	88
1003	3	3	1	88
1003	4	0	 	 
1003	5	3	1	88
1003	6	134	1	2
1003	7	117	1	2
1003	8	4	1	2
1003	9	5	1	2
1003	10	4	1	88
1003	11	10	1	2
1003	12	2	1	2
1003	13	6	1	2
1003	14	32	1	2
1003	15	1	1	2
1003	16	8	1	2
1003	17	1	1	88
1004	1	47	1	2
1004	2	2	1	88
1004	3	3	1	88
1004	4	0	 	 
1004	5	3	1	88
1004	6	134	1	2
1004	7	117	1	2
1004	8	4	1	2
1004	9	5	1	2
1004	10	4	1	88
1004	11	10	1	2
1004	12	2	1	2
1004	13	6	1	2
1004	14	32	1	2
1004	15	1	1	2
1004	16	8	1	2
1004	17	1	1	88
1005	1	47	1	2
1005	2	2	1	88
1005	3	3	1	88
1005	4	0	 	 
1005	5	3	1	88
1005	6	134	1	2
1005	7	117	1	2
1005	8	4	1	2
1005	9	5	1	2
1005	10	4	1	88
1005	11	10	1	2
1005	12	2	1	2
1005	13	6	1	2
1005	14	32	1	2
1005	15	1	1	2
1005	16	8	1	2
1005	17	1	1	88
1006	1	2	1	88
1006	2	1	1	88
1006	3	2	1	88
1006	4	0	 	 
1006	5	0	 	 
1006	6	5	1	2
1006	7	9	1	2
1006	8	2	1	2
1006	9	0	 	 
1006	10	2	1	88
1006	11	3	1	2
1006	12	0	 	 
1006	13	0	 	 
1006	14	3	1	2
1006	15	0	 	 
1006	16	0	 	 
1006	17	0	 	 
1101	1	1	1	88
1101	2	0	 	 
1101	3	1	1	88
1101	4	0	 	 
1101	5	0	 	 
1101	6	4	1	2
1101	7	4	1	2
1101	8	0	 	 
1101	9	0	 	 
1101	10	0	 	 
1101	11	0	 	 
1101	12	0	 	 
1101	13	0	 	 
1101	14	2	1	2
1101	15	0	 	 
1101	16	0	 	 
1101	17	0	 	 
1102	1	1	1	88
1102	2	0	 	 
1102	3	0	 	 
1102	4	0	 	 
1102	5	0	 	 
1102	6	1	1	88
1102	7	1	1	88
1102	8	0	 	 
1102	9	0	 	 
1102	10	0	 	 
1102	11	0	 	 
1102	12	0	 	 
1102	13	0	 	 
1102	14	1	1	88
1102	15	0	 	 
1102	16	0	 	 
1102	17	0	 	 
1103	1	0	 	 
1103	2	0	 	 
1103	3	0	 	 
1103	4	0	 	 
1103	5	0	 	 
1103	6	1	1	88
1103	7	1	1	88
1103	8	0	 	 
1103	9	0	 	 
1103	10	0	 	 
1103	11	0	 	 
1103	12	0	 	 
1103	13	0	 	 
1103	14	1	1	2
1103	15	0	 	 
1103	16	0	 	 
1103	17	0	 	 
1104	1	0	 	 
1104	2	0	 	 
1104	3	0	 	 
1104	4	0	 	 
1104	5	0	 	 
1104	6	0	 	 
1104	7	1	1	2
1104	8	0	 	 
1104	9	0	 	 
1104	10	0	 	 
1104	11	0	 	 
1104	12	0	 	 
1104	13	0	 	 
1104	14	0	 	 
1104	15	0	 	 
1104	16	0	 	 
1104	17	0	 	 
1105	1	2	1	88
1105	2	0	 	 
1105	3	2	1	2
1105	4	0	 	 
1105	5	0	 	 
1105	6	3	1	88
1105	7	4	1	2
1105	8	0	 	 
1105	9	0	 	 
1105	10	1	1	88
1105	11	0	 	 
1105	12	1	1	88
1105	13	0	 	 
1105	14	2	1	88
1105	15	0	 	 
1105	16	0	 	 
1105	17	0	 	 
1106	1	0	 	 
1106	2	0	 	 
1106	3	0	 	 
1106	4	0	 	 
1106	5	0	 	 
1106	6	0	 	 
1106	7	1	1	2
1106	8	0	 	 
1106	9	0	 	 
1106	10	0	 	 
1106	11	0	 	 
1106	12	0	 	 
1106	13	0	 	 
1106	14	0	 	 
1106	15	0	 	 
1106	16	0	 	 
1106	17	0	 	 
1107	1	0	 	 
1107	2	0	 	 
1107	3	0	 	 
1107	4	0	 	 
1107	5	0	 	 
1107	6	1	1	2
1107	7	1	1	2
1107	8	0	 	 
1107	9	0	 	 
1107	10	0	 	 
1107	11	0	 	 
1107	12	0	 	 
1107	13	0	 	 
1107	14	1	1	88
1107	15	0	 	 
1107	16	0	 	 
1107	17	0	 	 
1108	1	1	1	88
1108	2	0	 	 
1108	3	1	1	88
1108	4	0	 	 
1108	5	0	 	 
1108	6	4	1	2
1108	7	4	1	2
1108	8	0	 	 
1108	9	0	 	 
1108	10	0	 	 
1108	11	0	 	 
1108	12	0	 	 
1108	13	0	 	 
1108	14	2	1	2
1108	15	0	 	 
1108	16	0	 	 
1108	17	0	 	 
1202	1	5	1	88
1202	2	0	 	 
1202	3	4	1	88
1202	4	4	1	88
1202	5	4	1	88
1202	6	4	1	88
1202	7	0	 	 
1202	8	3	1	88
1202	9	1	1	88
1202	10	1	1	88
1202	11	1	1	88
1202	12	0	 	 
1202	13	0	 	 
1202	14	3	1	88
1202	15	0	 	 
1202	16	0	 	 
1202	17	0	 	 
1203	1	25	1	88
1203	2	21	1	88
1203	3	4	1	88
1203	4	0	 	 
1203	5	3	1	88
1203	6	107	1	88
1203	7	176	1	88
1203	8	8	1	88
1203	9	0	 	 
1203	10	6	1	88
1203	11	2	1	88
1203	12	19	1	88
1203	13	1	1	88
1203	14	40	1	88
1203	15	9	1	88
1203	16	12	1	88
1203	17	6	1	88
1302	1	17	1	88
1302	2	8	1	88
1302	3	2	1	88
1302	4	0	 	 
1302	5	1	1	88
1302	6	40	1	88
1302	7	62	1	88
1302	8	3	1	88
1302	9	2	1	88
1302	10	2	1	88
1302	11	2	1	88
1302	12	18	1	88
1302	13	2	1	88
1302	14	17	1	88
1302	15	2	1	88
1302	16	6	1	88
1302	17	12	1	88
1303	1	3	1	88
1303	2	0	 	 
1303	3	2	1	88
1303	4	0	 	 
1303	5	0	 	 
1303	6	4	1	88
1303	7	10	1	88
1303	8	1	1	88
1303	9	0	 	 
1303	10	0	 	 
1303	11	1	1	88
1303	12	0	 	 
1303	13	0	 	 
1303	14	3	1	88
1303	15	0	 	 
1303	16	0	 	 
1303	17	0	 	 
