CHILDCODE	FOODIDR5	HHCONSR5	VLRPR5	OWNVR5	GFTVR5	GFSRR5
10026	18	0	 	 	 	 
10026	19	0	 	 	 	 
10026	20	0	 	 	 	 
10026	21	1	200	0	0	 
10026	24	0	 	 	 	 
10027	0	0	 	 	 	 
10027	1	0	 	 	 	 
10027	2	1	0	360	0	 
10027	3	1	100	0	0	 
10027	4	0	 	 	 	 
10027	5	1	80	0	0	 
10027	6	1	500	0	0	 
10027	7	0	 	 	 	 
10027	8	1	150	0	0	 
10027	9	1	300	0	0	 
10027	10	0	 	 	 	 
10027	11	1	0	50	0	 
10027	12	1	30	0	0	 
10027	13	1	30	0	0	 
10027	14	1	20	0	0	 
10027	15	1	40	0	0	 
10027	16	1	20	0	0	 
10027	17	0	 	 	 	 
10027	18	1	20	0	0	 
10027	19	1	30	0	0	 
10027	20	1	15	0	0	 
10027	21	1	110	0	0	 
10027	24	0	 	 	 	 
10029	0	0	 	 	 	 
10029	1	0	 	 	 	 
10029	2	1	0	150	0	 
10029	3	1	225	0	0	 
10029	4	0	 	 	 	 
10029	5	0	 	 	 	 
10029	6	1	300	0	0	 
10029	7	0	 	 	 	 
10029	8	1	100	0	0	 
10029	9	1	225	0	0	 
10029	10	0	 	 	 	 
10029	11	1	30	0	0	 
10029	12	1	30	0	0	 
10029	13	1	30	0	0	 
10029	14	1	30	0	0	 
10029	15	1	45	0	0	 
10029	16	1	12	0	0	 
10029	17	0	 	 	 	 
10029	18	0	 	 	 	 
10029	19	0	 	 	 	 
10029	20	0	 	 	 	 
10029	21	0	 	 	 	 
10029	24	0	 	 	 	 
10030	0	1	25	0	0	 
10030	1	0	 	 	 	 
10030	2	1	0	120	0	 
10030	3	0	 	 	 	 
10030	4	0	 	 	 	 
10030	5	1	20	0	0	 
10030	6	1	200	0	0	 
10030	7	0	 	 	 	 
10030	8	1	40	0	0	 
10030	9	0	 	 	 	 
10030	10	0	 	 	 	 
10030	11	0	 	 	 	 
10030	12	1	50	0	0	 
10030	13	0	 	 	 	 
10030	14	1	15	0	0	 
10030	15	0	 	 	 	 
10030	16	1	10	0	0	 
10030	17	0	 	 	 	 
10030	18	0	 	 	 	 
10030	19	1	30	0	0	 
10030	20	1	25	0	0	 
10030	21	1	20	0	0	 
10030	24	0	 	 	 	 
10031	0	1	50	0	0	 
10031	1	1	20	0	0	 
10031	2	1	0	120	0	 
10031	3	1	250	0	0	 
10031	4	0	 	 	 	 
10031	5	1	80	0	0	 
10031	6	1	150	0	0	 
10031	7	0	 	 	 	 
10031	8	1	150	0	0	 
10031	9	1	100	0	0	 
10031	10	0	 	 	 	 
10031	11	1	50	0	0	 
10031	12	1	20	50	0	 
10031	13	1	0	50	0	 
10031	14	1	30	0	0	 
