CHILDCODE	LVSKIDR5	AYANR5	NMAMR5
10100	13	0	 
10100	14	0	 
10100	15	0	 
10100	16	0	 
10100	17	0	 
10100	58	1	4
10104	1	0	 
10104	2	0	 
10104	3	1	1
10104	4	0	 
10104	7	0	 
10104	8	0	 
10104	9	0	 
10104	13	0	 
10104	14	0	 
10104	15	0	 
10104	16	0	 
10104	17	0	 
10104	58	0	 
10109	1	 	 
10109	2	 	 
10109	3	 	 
10109	4	 	 
10109	7	 	 
10109	8	 	 
10109	9	 	 
10109	13	 	 
10109	14	 	 
10109	15	 	 
10109	16	 	 
10109	17	 	 
10109	58	 	 
10118	1	0	 
10118	2	0	 
10118	3	0	 
10118	4	0	 
10118	7	0	 
10118	8	0	 
10118	9	0	 
10118	13	0	 
10118	14	0	 
10118	15	0	 
10118	16	0	 
10118	17	0	 
10118	58	1	2
10121	1	0	 
10121	2	0	 
10121	3	0	 
10121	4	0	 
10121	7	0	 
10121	8	0	 
10121	9	0	 
10121	13	0	 
10121	14	0	 
10121	15	0	 
10121	16	1	5
10121	17	0	 
10121	58	0	 
10122	1	 	 
10122	2	 	 
10122	3	 	 
10122	4	 	 
10122	7	 	 
10122	8	 	 
10122	9	 	 
10122	13	 	 
10122	14	 	 
10122	15	 	 
10122	16	 	 
10122	17	 	 
10122	58	 	 
10124	1	 	 
10124	2	 	 
10124	3	 	 
10124	4	 	 
10124	7	 	 
10124	8	 	 
10124	9	 	 
10124	13	 	 
10124	14	 	 
10124	15	 	 
10124	16	 	 
10124	17	 	 
10124	58	 	 
10140	1	 	 
10140	2	 	 
10140	3	 	 
10140	4	 	 
10140	7	 	 
10140	8	 	 
10140	9	 	 
10140	13	 	 
10140	14	 	 
10140	15	 	 
10140	16	 	 
10140	17	 	 
10140	58	 	 
20001	1	1	4
20001	2	0	 
20001	3	0	 
20001	4	0	 
20001	7	1	1
20001	8	0	 
20001	9	0	 
20001	13	0	 
20001	14	0	 
20001	15	0	 
20001	16	1	25
20001	17	0	 
20001	58	0	 
20002	1	1	4
20002	2	0	 
20002	3	0	 
20002	4	0	 
20002	7	0	 
20002	8	0	 
20002	9	0	 
20002	13	0	 
20002	14	0	 
20002	15	0	 
20002	16	1	5
20002	17	0	 
20002	58	0	 
20003	1	1	3
20003	2	0	 
20003	3	0	 
20003	4	0	 
20003	7	0	 
20003	8	0	 
20003	9	0	 
20003	13	0	 
20003	14	0	 
20003	15	0	 
20003	16	0	 
20003	17	0	 
20003	58	0	 
20004	1	 	 
20004	2	 	 
20004	3	 	 
20004	4	 	 
20004	7	 	 
20004	8	 	 
20004	9	 	 
20004	13	 	 
20004	14	 	 
20004	15	 	 
20004	16	 	 
20004	17	 	 
20004	58	 	 
20005	1	0	 
20005	2	0	 
20005	3	0	 
20005	4	0	 
20005	7	0	 
20005	8	0	 
20005	9	0	 
20005	13	0	 
20005	14	0	 
20005	15	0	 
20005	16	1	2
20005	17	0	 
20005	58	1	2
20007	1	 	 
20007	2	 	 
20007	3	 	 
20007	4	 	 
20007	7	 	 
20007	8	 	 
20007	9	 	 
20007	13	 	 
20007	14	 	 
20007	15	 	 
20007	16	 	 
20007	17	 	 
20007	58	 	 
20008	1	 	 
20008	2	 	 
20008	3	 	 
20008	4	 	 
20008	7	 	 
20008	8	 	 
20008	9	 	 
20008	13	 	 
20008	14	 	 
20008	15	 	 
20008	16	 	 
20008	17	 	 
20008	58	 	 
20009	1	 	 
20009	2	 	 
20009	3	 	 
20009	4	 	 
20009	7	 	 
20009	8	 	 
20009	9	 	 
20009	13	 	 
20009	14	 	 
20009	15	 	 
20009	16	 	 
20009	17	 	 
20009	58	 	 
20010	1	0	 
20010	2	0	 
20010	3	0	 
20010	4	0	 
20010	7	0	 
20010	8	0	 
20010	9	0	 
20010	13	0	 
20010	14	0	 
20010	15	0	 
20010	16	1	4
20010	17	0	 
20010	58	0	 
20011	1	 	 
20011	2	 	 
20011	3	 	 
20011	4	 	 
20011	7	 	 
20011	8	 	 
20011	9	 	 
20011	13	 	 
20011	14	 	 
20011	15	 	 
20011	16	 	 
20011	17	 	 
20011	58	 	 
20012	1	 	 
20012	2	 	 
20012	3	 	 
20012	4	 	 
20012	7	 	 
20012	8	 	 
20012	9	 	 
20012	13	 	 
20012	14	 	 
20012	15	 	 
20012	16	 	 
20012	17	 	 
20012	58	 	 
20013	1	 	 
20013	2	 	 
20013	3	 	 
20013	4	 	 
20013	7	 	 
20013	8	 	 
20013	9	 	 
20013	13	 	 
20013	14	 	 
20013	15	 	 
20013	16	 	 
20013	17	 	 
20013	58	 	 
20016	1	 	 
20016	2	 	 
20016	3	 	 
20016	4	 	 
20016	7	 	 
20016	8	 	 
20016	9	 	 
20016	13	 	 
20016	14	 	 
20016	15	 	 
20016	16	 	 
20016	17	 	 
20016	58	 	 
20017	1	1	1
20017	2	0	 
20017	3	0	 
20017	4	0	 
20017	7	0	 
20017	8	0	 
20017	9	0	 
20017	13	0	 
20017	14	0	 
20017	15	0	 
20017	16	0	 
20017	17	0	 
20017	58	0	 
20018	1	 	 
20018	2	 	 
20018	3	 	 
20018	4	 	 
20018	7	 	 
20018	8	 	 
20018	9	 	 
20018	13	 	 
20018	14	 	 
20018	15	 	 
20018	16	 	 
20018	17	 	 
20018	58	 	 
20019	1	0	 
20019	2	0	 
20019	3	0	 
20019	4	0	 
20019	7	0	 
20019	8	0	 
20019	9	0	 
20019	13	0	 
20019	14	0	 
20019	15	0	 
20019	16	0	 
20019	17	0	 
20019	58	1	1
20020	1	0	 
20020	2	0	 
20020	3	0	 
20020	4	0	 
20020	7	0	 
20020	8	0	 
20020	9	0	 
20020	13	0	 
20020	14	0	 
20020	15	0	 
20020	16	1	2
20020	17	0	 
20020	58	0	 
20021	1	 	 
20021	2	 	 
20021	3	 	 
20021	4	 	 
20021	7	 	 
20021	8	 	 
20021	9	 	 
20021	13	 	 
20021	14	 	 
20021	15	 	 
20021	16	 	 
20021	17	 	 
20021	58	 	 
20022	1	 	 
20022	2	 	 
20022	3	 	 
20022	4	 	 
