CHILDID	PLANID	PLAN
IN060092	1	10
IN060093	1	10
IN060094	1	10
IN060094	2	8
IN060095	1	8
IN060095	2	10
IN060096	1	10
IN060096	2	7
IN060097	1	10
IN060097	2	7
IN060098	1	10
IN060098	2	8
IN060099	1	8
IN060099	2	1
IN060100	1	8
IN060100	2	10
IN070001	1	10
IN070002	1	8
IN070003	1	10
IN070003	2	8
IN070004	1	3
IN070005	1	10
IN070005	2	8
IN070006	1	8
IN070006	2	10
IN070007	1	10
IN070007	2	10
IN070008	1	1
IN070009	1	8
IN070009	2	10
IN070010	1	3
IN070010	2	8
IN070011	1	2
IN070011	2	8
IN070012	1	10
IN070012	2	10
IN070013	1	10
IN070013	2	8
IN070014	1	10
IN070014	2	8
IN070015	1	10
IN070016	1	8
IN070016	2	10
IN070017	1	8
IN070017	2	10
IN070018	1	10
IN070018	2	10
IN070019	1	2
IN070019	2	3
IN070020	1	10
IN070020	2	8
IN070021	1	3
IN070021	2	10
IN070022	1	10
IN070022	2	8
IN070023	1	10
IN070023	2	8
IN070024	1	8
IN070024	2	10
IN070025	1	10
IN070025	2	10
IN070026	1	8
IN070027	1	3
IN070027	2	8
IN070028	1	10
IN070028	2	10
IN070029	1	8
IN070030	1	8
IN070030	2	10
IN070031	1	10
IN070031	2	1
IN070032	1	8
IN070032	2	1
IN070033	1	10
IN070033	2	8
IN070034	1	10
IN070034	2	10
IN070035	1	10
IN070035	2	10
IN070036	1	10
IN070036	2	10
IN070037	1	8
IN070037	2	10
IN070038	1	10
IN070038	2	1
IN070039	1	10
IN070039	2	10
IN070040	1	10
IN070040	2	8
IN070041	1	3
IN070042	1	10
IN070042	2	10
IN070043	1	2
IN070043	2	8
IN070044	1	3
IN070044	2	10
IN070045	1	10
IN070046	1	8
IN070046	2	10
IN070047	1	10
IN070047	2	10
IN070048	1	8
IN070048	2	10
IN070049	1	8
IN070049	2	10
IN070050	1	8
IN070050	2	10
IN070051	1	8
IN070051	2	10
IN070052	1	10
IN070053	1	2
IN070053	2	10
IN070054	1	9
IN070055	1	5
IN070055	2	8
IN070056	1	8
IN070056	2	10
IN070057	1	8
IN070057	2	10
IN070058	1	10
IN070058	2	8
IN070059	1	8
IN070059	2	10
IN070060	1	8
IN070060	2	10
IN070061	1	10
IN070061	2	8
IN070062	1	8
IN070062	2	10
IN070063	1	8
IN070063	2	1
IN070064	1	8
IN070064	2	10
IN070065	1	2
IN070065	2	1
IN070066	1	3
IN070066	2	10
IN070067	1	8
IN070067	2	10
IN070068	1	8
IN070069	1	10
IN070069	2	8
IN070070	1	8
IN070070	2	10
IN070071	1	8
IN070071	2	10
IN070072	1	8
IN070072	2	10
IN070073	1	10
IN070073	2	10
IN070074	1	8
IN070074	2	10
IN070075	1	8
IN070075	2	10
IN070076	1	2
IN070076	2	5
IN070077	1	8
IN070077	2	2
IN070078	1	8
IN070078	2	10
IN070079	1	2
IN070080	1	10
IN070080	2	3
IN070081	1	8
IN070081	2	10
IN070082	1	2
IN070082	2	3
IN070083	1	8
IN070083	2	10
IN070084	1	8
IN070084	2	3
IN070085	1	8
IN070085	2	10
IN070086	1	8
IN070086	2	10
IN070087	1	8
IN070087	2	2
IN070088	1	2
IN070088	2	1
IN070089	1	8
IN070089	2	1
IN070090	1	8
IN070091	1	2
IN070091	2	3
IN070092	1	8
IN070092	2	1
IN070093	1	8
IN070094	1	8
IN070095	1	1
IN070096	1	99
IN070097	1	8
IN070098	1	10
IN070098	2	10
IN070099	1	10
IN070099	2	8
IN070100	1	10
IN070100	2	10
IN080001	1	10
IN080001	2	3
IN080002	1	8
IN080002	2	3
IN080003	1	1
