comnro	services	seraval	serchng	serdis	sertme
57	10	2	8	88	88
57	11	1	1	88	88
57	12	2	8	88	88
57	13	2	8	88	88
57	14	2	8	88	88
57	15	2	8	88	88
57	16	2	8	88	88
58	1	2	8	88	88
58	2	2	8	88	88
58	3	2	8	88	88
58	4	1	1	0	5
58	5	2	8	88	88
58	6	1	1	0	5
58	7	1	1	0	5
58	8	2	8	88	88
58	9	1	1	8	30
58	10	1	1	5	30
58	11	1	2	0	10
58	12	2	8	88	88
58	13	2	8	88	88
58	14	2	8	88	88
58	15	1	1	0	5
58	16	1	1	0	5
59	1	2	8	88	88
59	2	1	1	120	10
59	3	2	8	88	88
59	4	1	1	0	0
59	5	2	8	88	88
59	6	1	1	0	0
59	7	2	8	88	88
59	8	2	7	88	88
59	9	1	1	9	88
59	10	1	3	20	7
59	11	1	3	2	30
59	12	2	8	88	88
59	13	2	8	88	88
59	14	2	8	88	88
59	15	1	1	0	2
59	16	2	8	88	88
60	1	2	8	88	88
60	2	2	8	88	88
60	3	2	8	88	88
60	4	2	8	88	88
60	5	2	8	88	88
60	6	1	1	0	2
60	7	1	1	0	2
60	8	2	8	88	88
60	9	2	8	88	88
60	10	1	1	0	2
60	11	1	3	0	5
60	12	2	8	88	88
60	13	2	8	88	88
60	14	2	8	88	88
60	15	2	8	88	88
60	16	2	8	88	88
61	1	2	8	88	88
61	2	2	8	88	88
61	3	2	8	88	88
61	4	2	8	88	88
61	5	2	8	88	88
61	6	1	2	0	2
61	7	2	8	88	88
61	8	2	8	88	88
61	9	2	8	88	88
61	10	1	3	0	5
61	11	1	2	0	5
61	12	2	8	88	88
61	13	2	8	88	88
61	14	2	0	88	88
61	15	2	0	88	88
61	16	2	0	88	88
62	1	2	8	88	88
62	2	2	8	88	88
62	3	2	8	88	88
62	4	1	1	0	2
62	5	2	8	88	88
62	6	1	1	0	2
62	7	2	8	88	88
62	8	2	8	88	88
62	9	2	8	88	88
62	10	1	1	2	10
62	11	2	8	88	88
62	12	2	8	88	88
62	13	2	8	88	88
62	14	2	8	88	88
62	15	2	8	88	88
62	16	2	8	88	88
63	1	2	8	88	88
63	2	2	8	88	88
63	3	2	8	88	88
63	4	1	1	0	2
63	5	2	8	88	88
63	6	1	1	0	2
63	7	2	8	88	88
63	8	2	8	88	88
63	9	1	1	0	5
63	10	1	1	0	5
63	11	1	1	0	5
63	12	2	8	88	88
63	13	2	8	88	88
63	14	2	8	88	88
63	15	2	8	88	88
63	16	2	8	88	88
64	1	2	8	88	88
64	2	2	8	88	88
