CHILDCODE	GFMRIDR5	GFTOFDR5	OFNTYUR5	VLNTYUR5	OFNTSPR5	VLNTSPR5	OFSPYUR5	VLSPYUR5	OFSPNTR5	VLSPNTR5
11045	1	 	 	 	 	 	 	 	 	 
11045	2	 	 	 	 	 	 	 	 	 
11045	3	 	 	 	 	 	 	 	 	 
11045	4	 	 	 	 	 	 	 	 	 
11045	5	 	 	 	 	 	 	 	 	 
11045	6	 	 	 	 	 	 	 	 	 
11045	7	 	 	 	 	 	 	 	 	 
11045	8	 	 	 	 	 	 	 	 	 
11045	9	 	 	 	 	 	 	 	 	 
11045	10	 	 	 	 	 	 	 	 	 
11045	11	 	 	 	 	 	 	 	 	 
11045	12	 	 	 	 	 	 	 	 	 
11045	13	 	 	 	 	 	 	 	 	 
11046	1	 	 	 	 	 	 	 	 	 
11046	2	 	 	 	 	 	 	 	 	 
11046	3	 	 	 	 	 	 	 	 	 
11046	4	 	 	 	 	 	 	 	 	 
11046	5	 	 	 	 	 	 	 	 	 
11046	6	 	 	 	 	 	 	 	 	 
11046	7	 	 	 	 	 	 	 	 	 
11046	8	 	 	 	 	 	 	 	 	 
11046	9	 	 	 	 	 	 	 	 	 
11046	10	 	 	 	 	 	 	 	 	 
11046	11	 	 	 	 	 	 	 	 	 
11046	12	 	 	 	 	 	 	 	 	 
11046	13	 	 	 	 	 	 	 	 	 
11048	1	 	 	 	 	 	 	 	 	 
11048	2	 	 	 	 	 	 	 	 	 
11048	3	 	 	 	 	 	 	 	 	 
11048	4	 	 	 	 	 	 	 	 	 
11048	5	 	 	 	 	 	 	 	 	 
11048	6	 	 	 	 	 	 	 	 	 
11048	7	 	 	 	 	 	 	 	 	 
11048	8	 	 	 	 	 	 	 	 	 
11048	9	 	 	 	 	 	 	 	 	 
11048	10	 	 	 	 	 	 	 	 	 
11048	11	 	 	 	 	 	 	 	 	 
11048	12	 	 	 	 	 	 	 	 	 
11048	13	 	 	 	 	 	 	 	 	 
21002	1	 	 	 	 	 	 	 	 	 
21002	2	 	 	 	 	 	 	 	 	 
21002	3	 	 	 	 	 	 	 	 	 
21002	4	 	 	 	 	 	 	 	 	 
21002	5	 	 	 	 	 	 	 	 	 
21002	6	 	 	 	 	 	 	 	 	 
21002	7	 	 	 	 	 	 	 	 	 
21002	8	 	 	 	 	 	 	 	 	 
21002	9	 	 	 	 	 	 	 	 	 
21002	10	 	 	 	 	 	 	 	 	 
21002	11	 	 	 	 	 	 	 	 	 
21002	12	 	 	 	 	 	 	 	 	 
21002	13	 	 	 	 	 	 	 	 	 
21003	1	 	 	 	 	 	 	 	 	 
21003	2	 	 	 	 	 	 	 	 	 
21003	3	 	 	 	 	 	 	 	 	 
21003	4	 	 	 	 	 	 	 	 	 
21003	5	 	 	 	 	 	 	 	 	 
21003	6	 	 	 	 	 	 	 	 	 
21003	7	 	 	 	 	 	 	 	 	 
21003	8	 	 	 	 	 	 	 	 	 
21003	9	 	 	 	 	 	 	 	 	 
21003	10	 	 	 	 	 	 	 	 	 
21003	11	 	 	 	 	 	 	 	 	 
21003	12	 	 	 	 	 	 	 	 	 
21003	13	 	 	 	 	 	 	 	 	 
21004	1	 	 	 	 	 	 	 	 	 
21004	2	 	 	 	 	 	 	 	 	 
21004	3	 	 	 	 	 	 	 	 	 
21004	4	 	 	 	 	 	 	 	 	 
21004	5	 	 	 	 	 	 	 	 	 
21004	6	 	 	 	 	 	 	 	 	 
21004	7	 	 	 	 	 	 	 	 	 
21004	8	 	 	 	 	 	 	 	 	 
21004	9	 	 	 	 	 	 	 	 	 
21004	10	 	 	 	 	 	 	 	 	 
21004	11	 	 	 	 	 	 	 	 	 
21004	12	 	 	 	 	 	 	 	 	 
21004	13	 	 	 	 	 	 	 	 	 
21005	1	 	 	 	 	 	 	 	 	 
21005	2	 	 	 	 	 	 	 	 	 
21005	3	 	 	 	 	 	 	 	 	 
21005	4	 	 	 	 	 	 	 	 	 
21005	5	 	 	 	 	 	 	 	 	 
21005	6	 	 	 	 	 	 	 	 	 
21005	7	 	 	 	 	 	 	 	 	 
21005	8	 	 	 	 	 	 	 	 	 
21005	9	 	 	 	 	 	 	 	 	 
21005	10	 	 	 	 	 	 	 	 	 
21005	11	 	 	 	 	 	 	 	 	 
21005	12	 	 	 	 	 	 	 	 	 
21005	13	 	 	 	 	 	 	 	 	 
21006	1	 	 	 	 	 	 	 	 	 
21006	2	 	 	 	 	 	 	 	 	 
21006	3	 	 	 	 	 	 	 	 	 
21006	4	 	 	 	 	 	 	 	 	 
21006	5	 	 	 	 	 	 	 	 	 
21006	6	 	 	 	 	 	 	 	 	 
21006	7	 	 	 	 	 	 	 	 	 
21006	8	 	 	 	 	 	 	 	 	 
21006	9	 	 	 	 	 	 	 	 	 
21006	10	 	 	 	 	 	 	 	 	 
21006	11	 	 	 	 	 	 	 	 	 
21006	12	 	 	 	 	 	 	 	 	 
21006	13	 	 	 	 	 	 	 	 	 
21007	1	 	 	 	 	 	 	 	 	 
21007	2	 	 	 	 	 	 	 	 	 
21007	3	 	 	 	 	 	 	 	 	 
21007	4	 	 	 	 	 	 	 	 	 
21007	5	 	 	 	 	 	 	 	 	 
21007	6	 	 	 	 	 	 	 	 	 
21007	7	 	 	 	 	 	 	 	 	 
21007	8	 	 	 	 	 	 	 	 	 
21007	9	 	 	 	 	 	 	 	 	 
21007	10	 	 	 	 	 	 	 	 	 
21007	11	 	 	 	 	 	 	 	 	 
21007	12	 	 	 	 	 	 	 	 	 
21007	13	 	 	 	 	 	 	 	 	 
21008	1	 	 	 	 	 	 	 	 	 
21008	2	 	 	 	 	 	 	 	 	 
21008	3	 	 	 	 	 	 	 	 	 
21008	4	 	 	 	 	 	 	 	 	 
21008	5	 	 	 	 	 	 	 	 	 
21008	6	 	 	 	 	 	 	 	 	 
21008	7	 	 	 	 	 	 	 	 	 
21008	8	 	 	 	 	 	 	 	 	 
21008	9	 	 	 	 	 	 	 	 	 
21008	10	 	 	 	 	 	 	 	 	 
21008	11	 	 	 	 	 	 	 	 	 
21008	12	 	 	 	 	 	 	 	 	 
21008	13	 	 	 	 	 	 	 	 	 
21010	1	 	 	 	 	 	 	 	 	 
21010	2	 	 	 	 	 	 	 	 	 
21010	3	 	 	 	 	 	 	 	 	 
21010	4	 	 	 	 	 	 	 	 	 
21010	5	 	 	 	 	 	 	 	 	 
21010	6	 	 	 	 	 	 	 	 	 
21010	7	 	 	 	 	 	 	 	 	 
21010	8	 	 	 	 	 	 	 	 	 
21010	9	 	 	 	 	 	 	 	 	 
21010	10	 	 	 	 	 	 	 	 	 
21010	11	 	 	 	 	 	 	 	 	 
21010	12	 	 	 	 	 	 	 	 	 
21010	13	 	 	 	 	 	 	 	 	 
21011	1	 	 	 	 	 	 	 	 	 
21011	2	 	 	 	 	 	 	 	 	 
