CHILDCODE	HHDCIDR5	HVEMDER5	MADDECR5	WHOPRVR5
41010	1	1	1	1
41010	2	1	1	1
41010	3	1	1	1
41010	4	1	1	1
41010	5	0	1	1
41010	6	0	1	1
41010	7	0	1	1
41010	8	0	1	1
41010	9	1	1	1
41010	10	0	1	1
41011	1	1	1	7
41011	2	1	1	1
41011	3	1	1	1
41011	4	1	1	1
41011	5	1	1	1
41011	6	1	1	1
41011	7	1	1	1
41011	8	1	1	3
41011	9	1	1	3
41011	10	1	1	3
41012	1	0	1	1
41012	2	1	0	3
41012	3	1	1	7
41012	4	1	1	8
41012	5	1	1	7
41012	6	0	1	1
41012	7	0	1	1
41012	8	0	1	1
41012	9	0	1	1
41012	10	1	1	8
41013	1	1	1	1
41013	2	1	1	7
41013	3	1	1	1
41013	4	1	1	7
41013	5	1	1	1
41013	6	0	1	1
41013	7	0	1	1
41013	8	1	1	3
41013	9	1	1	3
41013	10	0	1	3
41014	1	1	1	1
41014	2	1	1	7
41014	3	1	1	1
41014	4	1	1	7
41014	5	1	1	7
41014	6	0	0	7
41014	7	1	1	1
41014	8	1	1	7
41014	9	1	1	7
41014	10	0	0	88
41015	1	1	1	7
41015	2	1	1	1
41015	3	0	1	1
41015	4	1	1	7
41015	5	1	1	7
41015	6	0	1	1
41015	7	0	1	1
41015	8	1	0	3
41015	9	1	0	3
41015	10	0	0	88
41016	1	1	1	1
41016	2	1	1	1
41016	3	1	1	1
41016	4	1	1	1
41016	5	1	1	1
41016	6	0	1	8
41016	7	0	1	1
41016	8	1	1	8
41016	9	1	1	8
41016	10	0	1	88
41017	1	1	1	1
41017	2	1	1	1
41017	3	0	1	7
41017	4	1	1	7
41017	5	1	1	7
41017	6	0	1	1
41017	7	0	1	1
41017	8	1	1	3
41017	9	1	1	3
41017	10	0	1	88
41018	1	1	1	1
41018	2	1	1	1
41018	3	1	1	1
41018	4	1	1	1
