CHILDCODE	SCSTIDR4	FEESR4	PAYPERR4	NUMPERR4
38024	5	0	88	0
38024	6	3	1	600
38024	7	0	88	0
38024	8	200	3	1
38025	1	76	3	2
38025	2	0	88	-88
38025	3	-88	88	-88
38025	4	0	88	-88
38025	5	-88	88	-88
38025	6	20	1	8
38025	7	150	3	1
38025	8	70	3	1
48001	1	 	 	 
48001	2	 	 	 
48001	3	 	 	 
48001	4	 	 	 
48001	5	 	 	 
48001	6	 	 	 
48001	7	 	 	 
48001	8	 	 	 
48002	1	 	 	 
48002	2	 	 	 
48002	3	 	 	 
48002	4	 	 	 
48002	5	 	 	 
48002	6	 	 	 
48002	7	 	 	 
48002	8	 	 	 
48003	1	 	 	 
48003	2	 	 	 
48003	3	 	 	 
48003	4	 	 	 
48003	5	 	 	 
48003	6	 	 	 
48003	7	 	 	 
48003	8	 	 	 
48004	1	200	6	2
48004	2	0	88	88
48004	3	0	88	88
48004	4	0	88	88
48004	5	88	88	88
48004	6	88	88	88
48004	7	88	88	88
48004	8	20	1	48
48005	1	500	6	2
48005	2	500	2	8
48005	3	300	6	2
48005	4	0	88	0
48005	5	0	88	0
48005	6	0	88	0
48005	7	0	88	0
48005	8	200	3	1
48006	1	250	3	1
48006	2	0	88	88
48006	3	0	88	0
48006	4	0	88	0
48006	5	50	2	12
48006	6	60	1	12
48006	7	1860	3	1
48006	8	150	3	1
48007	1	 	 	 
48007	2	 	 	 
48007	3	 	 	 
48007	4	 	 	 
48007	5	 	 	 
48007	6	 	 	 
48007	7	 	 	 
48007	8	 	 	 
48008	1	 	 	 
48008	2	 	 	 
48008	3	 	 	 
48008	4	 	 	 
48008	5	 	 	 
48008	6	 	 	 
48008	7	 	 	 
48008	8	 	 	 
48009	1	 	 	 
48009	2	 	 	 
48009	3	 	 	 
48009	4	 	 	 
48009	5	 	 	 
48009	6	 	 	 
48009	7	 	 	 
48009	8	 	 	 
48010	1	 	 	 
48010	2	 	 	 
48010	3	 	 	 
48010	4	 	 	 
48010	5	 	 	 
