CHILDCODE	EDCHSTR4	ATDSCHR4	GRDER4	TYSCR4	SMESCHR4	DEPTR4
38024	13	1	21	1	0	15
38025	9	1	9	4	1	 
38025	10	1	10	4	1	 
38025	11	1	11	4	1	 
38025	12	0	 	 	 	 
38025	13	1	15	4	0	20
48001	9	1	8	4	1	 
48001	10	1	9	4	1	 
48001	11	1	10	4	1	 
48001	12	1	11	4	1	 
48001	13	0	 	 	 	 
48002	9	1	7	4	1	 
48002	10	0	 	 	 	 
48002	11	0	 	 	 	 
48002	12	0	 	 	 	 
48002	13	0	 	 	 	 
48003	9	0	 	 	 	 
48003	10	0	 	 	 	 
48003	11	0	 	 	 	 
48003	12	0	 	 	 	 
48003	13	0	 	 	 	 
48004	9	1	9	4	1	 
48004	10	1	10	4	1	 
48004	11	1	11	4	1	 
48004	12	0	 	 	 	 
48004	13	1	21	4	0	1
48005	9	1	10	4	1	 
48005	10	1	11	4	1	 
48005	11	0	 	 	 	 
48005	12	1	15	1	0	15
48005	13	1	15	1	1	 
48006	9	1	9	4	1	 
48006	10	1	10	4	1	 
48006	11	1	11	4	1	 
48006	12	1	15	4	0	1
48006	13	1	15	4	1	 
48007	9	1	6	4	1	 
48007	10	0	 	 	 	 
48007	11	0	 	 	 	 
48007	12	0	 	 	 	 
48007	13	0	 	 	 	 
48008	9	1	10	4	1	 
48008	10	1	11	4	1	 
48008	11	0	 	 	 	 
48008	12	0	 	 	 	 
48008	13	0	 	 	 	 
48009	9	1	8	4	1	 
48009	10	1	9	4	1	 
48009	11	1	10	4	1	 
48009	12	1	11	4	1	 
48009	13	0	 	 	 	 
48010	9	1	9	4	1	 
48010	10	1	10	4	1	 
48010	11	1	11	4	1	 
48010	12	0	 	 	 	 
48010	13	0	 	 	 	 
48011	9	 	 	 	 	 
48011	10	 	 	 	 	 
48011	11	 	 	 	 	 
48011	12	 	 	 	 	 
48011	13	 	 	 	 	 
48013	9	 	 	 	 	 
48013	10	 	 	 	 	 
48013	11	 	 	 	 	 
