CHILDID	REMID	REMREL	REMQNT	REMTYPE	V2070403
VN141073	4	5	3	1	2
VN141076	1	2	2	2	2
VN141076	2	5	2	2	2
VN151002	1	3	2	1	1
VN151002	2	2	10	1	1
VN151005	1	3	8	3	2
VN151005	2	2	20	1	1
VN151006	1	2	15	1	1
VN151008	1	1	1	2	1
VN151008	2	2	5	3	2
VN151008	3	3	2	1	2
VN151013	1	3	5	3	1
VN151013	2	2	20	3	1
VN151016	1	3	1	2	1
VN151016	2	1	2	3	1
VN151016	3	2	2	2	2
VN151019	1	3	24	1	1
VN151019	2	2	31	3	2
VN151028	1	2	2	2	1
VN151028	2	3	1	2	1
VN151029	1	2	3	2	2
VN151030	1	2	10	2	2
VN151032	1	2	2	1	1
VN151034	1	2	39	3	2
VN151034	2	6	3	1	1
VN151036	1	5	1	2	1
VN151036	2	6	1	3	1
VN151037	1	3	50	3	2
VN151039	1	3	20	3	2
VN151039	2	2	25	3	2
VN151039	3	5	5	2	1
VN151046	1	2	15	2	2
VN161003	1	6	3	2	2
VN161006	1	2	5	1	2
VN161012	1	3	1	2	2
VN161012	2	3	2	3	1
VN161012	3	2	3	3	1
VN161012	4	5	5	2	1
VN161013	1	2	1	1	2
VN161014	1	2	26	3	1
VN161014	2	3	5	3	1
VN161015	1	6	2	3	2
VN161015	2	2	2	1	2
VN161017	1	2	1	2	2
VN161020	1	3	10	3	2
VN161020	2	2	6	2	2
VN161021	1	2	2	3	2
VN161025	1	1	36	3	1
VN161025	2	2	15	3	1
VN161025	3	3	24	3	1
VN161026	1	2	3	1	2
VN161026	2	5	6	2	2
VN161027	1	2	3	2	1
VN161028	1	3	1	1	1
VN161028	2	2	6	2	1
VN161028	3	5	4	2	2
VN161032	1	3	2	1	1
VN161032	2	2	2	1	1
VN161037	1	3	2	3	1
VN161038	1	2	10	3	2
VN161038	2	3	10	3	2
VN161039	1	2	1	1	1
VN161039	2	2	1	2	1
VN161041	1	3	2	3	1
VN161041	2	2	3	3	1
VN161042	1	3	6	3	2
VN161042	2	2	10	3	2
VN161042	3	5	20	2	2
VN161043	1	3	1	1	2
VN161044	1	4	1	1	1
VN171001	1	3	360	2	2
VN171003	1	2	5	3	2
VN171006	1	3	50	3	1
VN171006	2	2	20	3	1
VN171007	1	2	10	3	2
VN171007	2	3	5	2	2
VN171007	3	5	5	3	2
VN171008	1	2	5	2	1
VN171013	1	2	20	3	1
VN171013	2	3	1	2	2
VN171013	3	5	10	3	1
VN171013	4	6	2	3	2
VN171014	1	3	12	3	1
VN171014	2	2	10	3	1
VN171015	1	3	1	2	1
VN171015	2	2	8	3	2
VN171018	1	2	40	3	2
VN171018	2	3	20	3	2
VN171018	3	5	30	3	2
VN171019	1	3	3	3	1
VN171019	2	2	5	1	1
VN171019	3	5	4	1	1
VN171023	1	2	5	3	1
VN171023	2	5	3	2	1
VN171023	3	4	2	2	1
VN171024	1	3	2	1	2
VN171024	2	2	2	1	2
VN171026	1	2	20	3	1
VN171034	1	3	3	3	1
VN171034	2	2	3	1	1
VN171037	1	2	12	3	1
VN171037	2	3	12	3	2
VN171037	3	5	2	3	2
VN171038	1	3	1	1	2
VN171040	1	2	7	1	1
VN171040	2	3	12	3	1
VN171040	3	5	12	1	1
VN171041	1	2	4	2	1
VN171046	1	3	6	2	1
VN171046	2	2	15	2	2
VN171046	3	5	3	2	2
VN171048	1	2	3	3	1
VN171048	2	3	2	3	1
VN171048	3	5	1	1	1
VN171049	1	3	5	2	1
VN171049	2	5	1	1	1
VN171051	1	2	5	3	1
VN171051	2	3	6	3	1
VN171059	1	2	3	2	1
VN171059	2	5	12	2	1
VN171061	1	3	160	3	1
VN171061	2	2	2	2	1
VN171063	1	5	1	2	1
VN181001	1	2	10	2	1
VN181001	2	3	12	2	1
VN181002	1	2	3	3	2
VN181005	1	2	2	3	1
VN181005	2	3	5	3	2
VN181005	3	5	3	3	2
VN181008	1	2	1	1	1
VN181010	1	5	4	1	1
VN181010	2	3	10	3	1
VN181010	3	2	3	2	1
VN181011	1	2	1	1	1
VN181012	1	2	2	2	1
VN181013	1	2	2	1	1
VN181013	2	3	2	1	1
VN181014	1	2	2	2	1
VN181015	1	5	3	2	2
VN181015	2	2	20	3	2
VN181015	3	6	12	2	2
VN181017	1	2	6	3	2
VN181017	2	3	3	3	1
VN181017	3	5	10	3	1
VN181017	4	6	1	2	2
VN181018	1	2	3	3	1
VN181018	2	1	12	3	1
VN181019	1	2	2	2	1
VN181019	2	4	4	2	1
VN181019	3	6	20	2	2
VN181020	1	2	3	3	1
VN181020	2	3	2	3	1
VN181020	3	5	2	3	1
VN181021	1	2	3	1	1
VN181021	2	3	2	3	1
VN181021	3	5	7	1	1
VN181022	1	3	280	2	1
VN181023	1	2	22	3	2
VN181023	2	5	1	1	1
VN181024	1	2	4	3	2
VN181024	2	3	1	1	1
VN181024	3	5	1	1	1
VN181026	1	2	1	2	2
VN181026	2	5	10	2	2
VN181027	1	5	2	2	1
VN181027	2	2	5	2	1
VN181029	1	5	2	3	1
VN181029	2	2	7	3	1
VN181029	3	3	4	2	1
VN181033	1	3	2	3	1
VN181033	2	5	1	1	1
VN181034	1	3	2	3	1
VN181034	2	2	3	3	1
VN181034	3	5	1	2	1
VN181036	1	3	5	1	1
VN181036	2	5	10	1	1
VN181036	3	2	2	1	1
VN181039	1	2	8	3	2
VN181039	2	3	2	3	1
VN181039	3	5	1	1	1
VN181041	1	2	5	2	1
VN181041	2	3	4	3	1
VN181041	3	5	3	3	1
VN181042	1	2	3	3	1
VN181042	2	5	2	2	1
VN181043	1	3	10	2	2
VN181043	2	2	5	1	2
VN181043	3	6	1	3	2
VN181044	1	2	12	1	2
VN181045	1	1	5	3	2
VN181045	2	6	1	1	2
VN181046	1	2	10	3	2
VN181046	2	5	6	2	2
VN181047	1	2	4	3	2
VN181049	1	3	13	3	2
VN181050	1	2	2	1	1
VN181052	1	2	4	1	2
VN181054	1	2	10	3	1
VN181054	2	3	5	3	1
VN181054	3	5	7	2	1
VN181058	1	2	2	3	1
VN181058	2	3	2	3	1
VN181058	3	5	3	2	1
VN181076	1	2	6	2	2
VN181076	2	3	14	3	2
VN181076	3	5	1	1	1
VN181078	1	2	1	1	2
VN191001	1	3	2	3	2
VN191001	2	2	2	1	2
VN191003	1	3	3	3	1
VN191003	2	5	5	1	1
VN191003	3	2	2	1	1
VN191004	1	3	15	3	1
VN191004	2	2	20	3	1
VN191008	1	2	2	3	1
VN191012	1	2	1	1	1
VN191013	1	2	20	3	2
VN191013	2	3	12	3	2
VN191013	3	5	10	3	2
VN191014	1	3	1	1	1
VN191014	2	2	3	3	1
VN191016	1	5	2	1	1
VN191018	1	2	10	3	1
VN191018	2	1	2	2	1
VN191020	1	3	50	3	1
VN191020	2	2	15	3	1
VN191021	1	3	24	2	2
VN191021	2	2	1	1	2
VN191022	1	2	10	3	1
VN191022	2	3	2	2	1
VN191022	3	5	1	3	1
VN191023	1	2	4	3	1
VN191023	2	3	6	3	1
VN191023	3	5	12	3	1
VN191024	1	2	5	3	1
VN191024	2	3	8	3	1
VN191025	1	6	3	2	2
VN191026	1	3	10	3	1
VN191026	2	2	8	3	1
VN191026	3	6	3	3	1
VN191026	4	4	15	3	1
VN191028	1	3	20	3	1
VN191028	2	2	20	3	1
VN191029	1	2	10	3	1
VN191029	2	3	6	3	1
VN191029	3	5	3	3	1
VN191033	1	2	3	3	1
VN191035	1	2	10	3	1
VN191035	2	3	5	2	2
VN191035	3	5	7	3	2
