PLACEID	RSID	MODULE	SECTION	SECTION2	SECTION3	AGERES	SEXRES	INFCASTE	CAPAC	LIVRES
IN019	14	2	2	 	 	34	2	4	4	7
IN019	15	2	3	 	 	30	2	4	4	4
IN019	16	2	3	 	 	34	2	4	4	7
IN019	17	2	3	 	 	47	1	4	4	3
IN019	18	2	5	4	2	45	2	4	6	25
IN019	19	2	4	 	 	27	1	3	3	2
IN019	20	2	1	5	 	22	1	3	4	22
IN019	21	2	1	 	 	38	2	3	1	20
IN019	22	2	1	 	 	42	1	3	7	42
IN019	23	2	4	 	 	28	2	3	3	4
IN019	24	1	5	 	 	36	1	4	8	5
IN019	25	2	2	 	 	25	2	3	8	5
IN019	26	2	2	 	 	28	2	3	8	9
IN019	27	2	4	 	 	42	2	4	3	20
IN020	1	1	2	1	 	35	2	3	1	40
IN020	2	1	2	1	3	42	1	3	8	42
IN020	3	1	2	3	 	30	1	1	8	30
IN020	4	2	5	1	 	32	2	1	8	24
IN020	5	2	5	 	 	24	2	1	8	7
IN020	6	2	5	4	 	32	2	1	8	12
IN020	7	2	2	 	 	35	2	3	8	17
IN020	8	2	2	 	 	40	2	1	8	40
IN020	9	2	4	 	 	32	2	3	8	13
IN020	10	2	2	1	 	29	2	3	8	19
IN020	11	2	3	1	 	42	1	1	4	6
IN020	12	2	3	 	 	31	2	1	4	1
IN020	13	1	1	2	3	78	1	1	1	78
IN020	14	1	1	 	 	35	1	3	9	2
IN020	15	1	5	 	 	40	1	4	8	40
IN020	16	1	5	 	 	27	1	4	8	27
IN020	17	2	4	 	 	35	1	3	8	3
IN020	18	1	2	3	 	60	1	3	8	60
IN020	19	1	5	 	 	27	1	4	8	27
IN020	20	2	3	 	 	22	2	1	8	23
IN020	21	2	3	 	 	42	1	3	8	42
IN020	22	1	4	5	 	56	1	3	8	56
IN020	23	1	4	5	 	75	1	3	8	75
IN020	24	1	4	5	3	60	1	3	8	60
IN020	25	1	4	 	 	23	1	3	8	23
IN020	26	1	3	5	 	21	2	3	8	2
IN020	27	1	5	 	 	36	1	4	8	36
IN020	28	2	4	 	 	27	1	3	1	2
IN020	29	2	4	 	 	28	2	3	3	4
IN020	30	2	3	 	 	39	1	4	4	10
