CHILDID	LINECODE	ID	PAYMT	MONTHS	DAYS	actcode
ET050017	3	2	2	8	3	52
ET050017	4	1	2	6	3	52
ET050018	1	1	1	8	1	20
ET050018	2	1	2	6	3	1
ET050018	3	2	2	6	3	1
ET050018	4	2	2	12	1	97
ET050019	1	1	1	4	1	1
ET050019	2	1	1	12	2	1
ET050019	3	1	2	2	2	52
ET050019	4	2	1	2	2	1
ET050019	5	2	2	12	1	97
ET050020	1	2	2	12	2	1
ET050020	2	3	2	12	2	1
ET050020	3	3	2	12	1	97
ET050020	4	4	2	12	1	1
ET050020	5	4	2	12	3	97
ET050020	6	5	2	12	4	97
ET050021	1	1	2	12	2	1
ET050021	2	2	2	4	3	1
ET050021	3	3	2	12	3	1
ET050021	4	3	2	4	2	1
ET050021	5	3	2	12	2	97
ET050022	1	1	2	4	1	1
ET050022	2	2	2	4	1	1
ET050022	3	3	2	1	2	1
ET050022	4	3	2	12	1	1
ET050022	5	3	2	12	1	97
ET050023	1	1	2	10	1	1
ET050023	2	2	2	3	2	1
ET050023	3	3	2	4	4	97
ET050024	1	1	2	12	2	1
ET050024	2	1	2	12	3	1
ET050024	3	1	1	1	2	93
ET050024	4	2	2	6	3	1
ET050024	5	2	1	12	3	93
ET050024	6	2	2	12	1	97
ET050024	7	3	2	12	1	1
ET050025	1	1	2	1	3	15
ET050025	2	1	1	11	2	15
ET050026	1	1	2	9	1	1
ET050026	2	2	2	9	1	1
ET050026	3	3	2	12	3	97
ET050027	1	1	2	10	2	1
ET050027	2	1	2	8	3	52
ET050027	3	2	2	2	2	1
ET050027	4	2	2	3	2	1
ET050027	5	3	2	12	1	1
ET050027	6	4	2	12	2	97
ET050027	7	4	2	12	1	96
ET050028	1	1	2	12	1	1
ET050028	2	1	1	2	3	74
ET050028	3	2	2	3	2	1
ET050028	4	3	2	3	2	1
ET050028	5	4	2	12	1	93
ET050028	6	5	2	3	3	93
ET050029	1	1	2	9	2	1
ET050029	2	1	2	12	3	74
ET050029	3	2	2	12	3	97
ET050029	4	2	2	6	3	97
ET050030	1	1	2	12	3	52
ET050030	2	2	2	7	3	52
ET050030	3	2	2	1	3	52
ET050030	4	3	2	12	1	97
ET050031	1	1	2	12	4	93
ET050031	2	1	1	3	3	1
ET050031	3	1	1	6	2	97
ET050032	1	1	2	12	3	52
ET050032	2	1	2	12	3	52
ET050032	3	2	2	12	3	52
ET050032	7	2	2	12	3	52
ET050033	1	1	2	12	4	15
ET050033	2	1	2	12	1	97
ET050033	3	1	2	12	2	97
ET050034	1	1	2	12	1	52
ET050034	2	2	2	6	2	52
ET050034	3	3	2	12	4	70
ET050034	4	1	2	3	2	52
ET050034	5	2	2	12	1	97
ET050035	1	1	2	6	2	97
ET050035	2	2	2	12	3	15
ET050035	3	2	2	12	1	97
