CHILDID	PLOT	LAREA	LOWN	LUSE
ET070074	3	1250	4	1
ET070074	4	3750	3	1
ET070075	1	5000	3	1
ET070075	2	3750	3	1
ET070075	3	2500	3	1
ET070075	4	2500	3	1
ET070076	1	5000	4	1
ET070076	2	2500	4	1
ET070076	3	2500	4	1
ET070076	4	1250	3	1
ET070077	1	2500	3	1
ET070079	1	5000	4	1
ET070079	2	2500	4	1
ET070079	3	1250	4	1
ET070080	1	2500	4	1
ET070080	2	2500	4	1
ET070080	3	2500	1	1
ET070081	1	7500	4	1
ET070081	2	2500	4	1
ET070081	3	2500	4	1
ET070081	4	2500	4	1
ET070082	1	5000	4	1
ET070083	1	5000	4	1
ET070083	2	2500	4	1
ET070083	3	2500	4	1
ET070083	4	1250	4	2
ET070084	1	5000	4	1
ET070084	2	5000	4	1
ET070084	3	2500	4	1
ET070084	4	2500	4	1
ET070084	5	2500	4	1
ET070084	6	2500	4	1
ET070085	1	2500	4	1
ET070085	2	2500	4	1
ET070086	1	5000	4	1
ET070086	2	2500	4	1
ET070086	3	2500	4	1
ET070086	4	2500	4	1
ET070086	5	1250	4	2
ET070086	6	1250	4	2
ET070087	1	2500	3	1
ET070087	2	2500	3	1
ET070088	1	7500	4	1
ET070088	2	2500	4	2
ET070088	3	2500	4	2
ET070088	4	2500	4	1
ET070088	5	2500	1	1
ET070088	6	2500	1	1
ET070089	1	5000	4	1
ET070089	2	2500	4	1
ET070089	3	2500	4	1
ET070089	4	2500	4	1
ET070090	1	2500	4	1
ET070090	2	2500	4	1
ET070090	3	2500	1	1
ET070090	4	2500	1	1
ET070091	1	2500	4	1
ET070091	2	2500	4	1
ET070091	3	2500	4	1
ET070091	4	2500	4	1
ET070093	1	5000	4	1
ET070093	2	5000	4	1
ET070093	3	2500	4	1
ET070094	1	3750	4	1
ET070094	2	2500	4	1
ET070096	1	5000	2	1
ET070096	2	5000	3	1
ET070096	3	1250	2	1
ET070097	1	5000	4	1
ET070097	2	2500	4	1
ET070097	3	3750	4	1
ET070097	4	2500	4	2
ET070097	5	1250	4	2
ET070098	1	3750	4	1
ET070098	2	3750	4	1
ET070098	3	1250	4	1
ET070098	4	1250	4	1
ET070098	5	1250	4	3
ET070099	1	5000	4	1
ET070099	2	5000	4	1
ET070099	3	2500	1	1
ET070099	4	2500	1	1
ET070100	1	6250	4	1
ET070100	2	5000	4	1
ET070100	3	2500	1	1
ET070100	4	2500	1	1
ET070100	5	2500	4	1
ET080001	1	10000	4	1
ET080002	1	10000	4	1
ET080003	1	5000	4	1
ET080003	2	2500	4	1
ET080005	1	10000	4	1
ET080006	1	10000	4	1
ET080006	2	10000	4	1
ET080007	1	20000	4	1
ET080008	1	2500	1	1
ET080008	2	2500	4	1
ET080008	3	2500	4	1
ET080009	1	2500	4	1
ET080009	2	2500	4	1
ET080009	3	2500	4	1
ET080009	4	2500	4	1
ET080010	1	5000	3	1
ET080011	1	10000	4	1
ET080012	1	5000	4	1
ET080014	1	5000	4	1
ET080016	1	2500	4	1
ET080017	1	10000	4	1
ET080018	1	10000	4	1
ET080019	1	10000	4	1
ET080019	2	5000	4	1
ET080019	3	5000	4	1
ET080020	1	17500	4	1
ET080020	2	2500	4	1
ET080020	3	7500	4	1
ET080021	1	5000	4	1
ET080022	1	10000	4	1
ET080024	1	2500	4	1
ET080024	2	2500	4	1
ET080024	3	2500	4	1
ET080026	1	7500	4	1
ET080027	1	5000	4	1
ET080027	2	5000	4	1
ET080027	3	2500	4	1
ET080027	4	2500	4	1
ET080028	1	5000	4	1
ET080031	1	2500	4	1
