CHILDCODE	ASSTIDR5	ASSETR5	NUMASTR5	ASACTR5	NMOWNR5
151003	4	25	1	24	1
151005	1	1	4	11	4
151005	2	3	1	11	1
151006	1	1	5	11	2
151006	2	4	2	11	0
151006	3	3	1	11	0
151008	1	7	1	11	1
151008	2	30	8	26	8
151008	3	1	5	5	5
151009	1	4	2	13	2
151009	2	2	1	11	1
151009	3	4	2	11	2
151009	4	3	1	11	0
151010	1	2	1	11	1
151010	2	5	1	11	1
151010	3	4	3	11	3
151011	1	1	3	11	3
151011	2	8	3	5	3
151012	1	4	1	11	1
151012	2	2	1	11	1
151012	3	4	3	11	3
151012	4	3	1	11	1
151012	5	1	10	11	10
151015	1	1	5	11	5
151015	2	4	3	11	3
151015	3	3	1	11	1
151016	1	1	3	11	3
151016	2	21	1	21	1
151017	1	2	1	11	1
151017	2	4	3	11	3
151017	3	3	1	11	1
151017	4	1	6	5	6
151018	1	1	2	11	2
151018	2	2	1	11	1
151018	3	3	1	11	1
151018	4	7	1	11	0
151019	1	1	5	11	5
151019	2	2	1	11	1
151019	3	4	1	11	1
151019	4	3	1	11	0
151020	1	 	 	 	 
151022	1	1	3	11	3
151022	2	8	4	11	4
151023	1	1	3	11	3
151023	2	2	1	11	1
151023	3	3	1	11	1
151023	4	4	3	11	3
151023	5	7	1	11	1
151023	6	8	5	11	5
151024	1	1	3	11	3
151024	2	2	1	11	1
151024	3	8	6	11	6
151025	1	1	6	11	6
151025	2	4	3	11	3
151025	3	2	1	11	1
151025	4	3	1	11	1
151026	1	1	6	11	6
151028	1	30	3	26	3
151028	2	4	3	11	3
151028	3	1	5	11	5
151029	1	1	2	11	2
151029	2	2	1	11	1
151029	3	3	1	11	0
151029	4	4	2	11	2
151029	5	7	1	11	0
151030	1	7	1	6	0
151030	2	21	1	21	1
151030	3	1	4	5	4
151032	1	1	3	5	3
151032	2	8	2	5	2
151032	3	21	1	21	1
151034	1	7	1	11	0
151034	2	3	1	11	1
151034	3	5	1	11	1
151034	4	1	5	11	5
151036	1	1	6	11	6
151037	1	1	5	11	5
151037	2	4	3	11	0
151037	3	3	1	11	0
