CHILDCODE	LANDIDR5	TOTINDR5	TOTLNDR5	PRIRRR5
81035	1	.0799999982118607	 	 
81035	2	0	 	 
81036	1	.0299999993294477	2	5
81036	2	0	0	 
81037	1	.0299999993294477	2	2
81037	2	0	0	 
81038	1	.0399999991059303	4	4
81038	2	0	0	 
81039	1	.0500000007450581	0	 
81039	2	0	0	 
81040	1	.0199999995529652	0	 
81040	2	0	1.5	5
81042	1	.0199999995529652	0	 
81042	2	0	0	 
81043	1	.0399999991059303	2	4
81043	2	0	3	4
81044	1	.0299999993294477	.100000001490116	2
81044	2	0	0	 
81045	1	0	 	 
81045	2	.0299999993294477	 	 
81046	1	.0299999993294477	0	 
81046	2	0	0	 
81047	1	.0199999995529652	3	4
81047	2	0	0	 
81048	1	.00999999977648258	0	 
81048	2	0	0	 
81049	1	.0299999993294477	2	5
81049	2	0	3	5
81050	1	0	 	 
81050	2	.0299999993294477	 	 
91001	1	0	 	 
91001	2	0	 	 
91002	1	.0299999993294477	2	5
91002	2	0	0	 
91003	1	.0299999993294477	3	4
91003	2	0	0	 
91005	1	.0299999993294477	0	 
91005	2	0	10	2
91006	1	.0299999993294477	0	 
91006	2	0	3	4
91007	1	.0500000007450581	.300000011920929	5
91007	2	0	0	 
91008	1	 	 	 
91008	2	 	 	 
91009	1	.0299999993294477	0	 
91009	2	0	2	4
91010	1	.0299999993294477	4	4
91010	2	0	0	 
91012	1	.0299999993294477	0	 
91012	2	0	0	 
91013	1	.0500000007450581	2.5	5
91013	2	0	0	 
91014	1	.0599999986588955	3	5
91014	2	0	0	 
91015	1	.0500000007450581	3	5
91015	2	0	0	 
91016	1	.0199999995529652	2	5
91016	2	0	0	 
91017	1	.0299999993294477	3	5
91017	2	0	0	 
91018	1	.0299999993294477	.829999983310699	4
91018	2	0	1	4
91019	1	.0700000002980232	0	 
91019	2	0	1	4
91021	1	.0199999995529652	.300000011920929	5
91021	2	.0299999993294477	0	 
91022	1	.0500000007450581	3	5
91022	2	0	0	 
91023	1	 	 	 
91023	2	 	 	 
91025	1	0	 	 
91025	2	0	 	 
91026	1	.0199999995529652	1	3
91026	2	0	0	 
91027	1	.0299999993294477	1	4
91027	2	0	0	 
91030	1	.0599999986588955	0	 
91030	2	0	0	 
91033	1	.0299999993294477	0	 
91033	2	0	0	 
91034	1	.0399999991059303	0	 
91034	2	0	0	 
91037	1	.0299999993294477	0	 
91037	2	0	0	 
91039	1	.0399999991059303	1	5
91039	2	0	0	 
91040	1	.0299999993294477	0	 
91040	2	0	0	 
91041	1	.0599999986588955	2	4
91041	2	0	2	4
91042	1	.0500000007450581	1	5
91042	2	0	0	 
91043	1	.0299999993294477	1.75	5
91043	2	0	0	 
91044	1	.0500000007450581	0	 
91044	2	0	0	 
91045	1	.0399999991059303	0	 
91045	2	0	0	 
91046	1	.0199999995529652	13	5
91046	2	0	0	 
91047	1	.0500000007450581	2	5
91047	2	0	0	 
91049	1	.0399999991059303	0	 
91049	2	0	0	 
101001	1	0	 	 
101001	2	0	 	 
101003	1	0	0	 
101003	2	.0199999995529652	0	 
101004	1	.0399999991059303	3	2
101004	2	0	0	 
101005	1	.0299999993294477	0	 
101005	2	.0299999993294477	0	 
101006	1	.0199999995529652	 	 
101006	2	0	 	 
101008	1	.0299999993294477	0	 
101008	2	0	0	 
101009	1	0	 	 
101009	2	0	 	 
101011	1	.0299999993294477	1	5
101011	2	0	0	 
101012	1	.0500000007450581	 	 
101012	2	0	 	 
101013	1	0	 	 
101013	2	0	 	 
101014	1	.00999999977648258	0	 
101014	2	0	0	 
101017	1	0	 	 
101017	2	0	 	 
101018	1	.0199999995529652	0	 
101018	2	0	0	 
101019	1	0	 	 
101019	2	0	 	 
101020	1	0	 	 
101020	2	0	 	 
101021	1	0	0	 
101021	2	.00999999977648258	0	 
101023	1	0	 	 
101023	2	0	 	 
101024	1	.0900000035762787	0	 
101024	2	0	0	 
101025	1	.0199999995529652	0	 
101025	2	0	0	 
101026	1	0	1	5
101026	2	.00999999977648258	0	 
101027	1	0	 	 
101027	2	0	 	 
101028	1	0	 	 
101028	2	0	 	 
101030	1	.0399999991059303	0	 
101030	2	0	0	 
101031	1	.200000002980232	0	 
101031	2	0	0	 
101032	1	0	 	 
101032	2	0	 	 
101033	1	.0299999993294477	 	 
101033	2	0	 	 
101034	1	.0199999995529652	 	 
101034	2	0	 	 
101035	1	0	0	 
101035	2	.200000002980232	0	 
101038	1	.00999999977648258	0	 
101038	2	0	0	 
101039	1	0	 	 
101039	2	0	 	 
101040	1	.0199999995529652	0	 
101040	2	0	0	 
101041	1	.75	 	 
101041	2	0	 	 
101042	1	.00999999977648258	0	 
101042	2	0	0	 
101043	1	.00999999977648258	0	 
101043	2	0	0	 
101044	1	.00999999977648258	0	 
101044	2	0	0	 
101045	1	.00999999977648258	1	5
101045	2	0	0	 
101047	1	.00999999977648258	0	 
101047	2	0	0	 
101048	1	.0299999993294477	0	 
101048	2	0	0	 
101049	1	.0199999995529652	 	 
101049	2	0	 	 
101050	1	.0199999995529652	 	 
101050	2	0	 	 
111001	1	.0299999993294477	3	5
111001	2	0	0	 
111002	1	0	0	 
111002	2	.0199999995529652	0	 
111003	1	.0299999993294477	8	5
111003	2	0	0	 
111004	1	.0199999995529652	4	5
111004	2	0	0	 
111005	1	.0199999995529652	7	5
111005	2	.00999999977648258	0	 
111006	1	.0299999993294477	0	 
111006	2	0	0	 
111007	1	.0199999995529652	0	 
111007	2	0	0	 
111008	1	.0299999993294477	2	5
111008	2	0	10	5
111009	1	.0500000007450581	3	4
111009	2	0	0	 
111010	1	.0199999995529652	10	5
111010	2	0	0	 
111011	1	.0500000007450581	5	5
111011	2	0	5	5
111012	1	.0299999993294477	0	 
111012	2	0	1	5
111013	1	0	0	 
111013	2	.0299999993294477	0	 
111014	1	.0299999993294477	15	1
111014	2	0	0	 
111015	1	.0500000007450581	2	5
111015	2	0	0	 
111016	1	.0199999995529652	 	 
111016	2	.00999999977648258	 	 
111017	1	.0500000007450581	1.5	5
111017	2	0	0	 
111018	1	.0399999991059303	7	5
111018	2	0	0	 
111019	1	.0399999991059303	2	5
111019	2	0	6	5
111020	1	.0399999991059303	2.5	5
111020	2	0	3	5
111021	1	.0199999995529652	0	 
111021	2	0	2.5	5
111022	1	.100000001490116	0	 
111022	2	.0299999993294477	2	5
111023	1	.0299999993294477	8	5
111023	2	0	0	 
111024	1	.0199999995529652	6	2
111024	2	0	1	5
111025	1	.0199999995529652	7	5
111025	2	0	0	 
111026	1	.0500000007450581	5	5
111026	2	0	0	 
111027	1	.0399999991059303	10	3
111027	2	0	0	 
111028	1	.0599999986588955	2	3
111028	2	0	1	5
111029	1	.0299999993294477	4	5
111029	2	0	0	 
111030	1	.0299999993294477	3	5
111030	2	0	4	5
111031	1	.0299999993294477	4	5
111031	2	0	2	4
111032	1	.0299999993294477	2	5
111032	2	0	0	 
111033	1	.0599999986588955	4	2
111033	2	0	0	 
111034	1	.0199999995529652	5	5
111034	2	0	0	 
111035	1	.0599999986588955	12	1
111035	2	0	11	5
111036	1	.0299999993294477	5.5	5
111036	2	0	0	 
111038	1	.0299999993294477	8	5
111038	2	0	15	5
111039	1	.0299999993294477	10	88
111039	2	0	0	 
111040	1	.0399999991059303	45	5
111040	2	.0199999995529652	0	 
111041	1	.0199999995529652	4.5	5
111041	2	0	0	 
111044	1	.0299999993294477	6	4
111044	2	0	0	 
111045	1	.0500000007450581	0	 
111045	2	0	0	 
111046	1	.0299999993294477	10	5
111046	2	.0399999991059303	0	 
111047	1	.0299999993294477	10	88
111047	2	0	0	 
111048	1	.0700000002980232	25	5
111048	2	0	0	 
111049	1	.0199999995529652	0	 
111049	2	.0199999995529652	0	 
111050	1	.0399999991059303	5	5
111050	2	0	6	5
111051	1	.00999999977648258	0	 
