CHILDCODE	MOVEIDR5	YRMOVER5	MTHSTYR5	WHMOVER5	TYPKEBR5	MVALNER5	MVFTHRR5	MVMTHRR5	MVSIBLR5	MVSPSER5	MVSPPTR5	MVSPSBR5	MVCHCHR5	MVOTRLR5	MVSPRLR5	MVALLHR5	MVNONHR5	RSNMVR51	RSNMVR52	KNWANYR5	KNWBSTR5
71001	1	2014	0	3	1	N	N	Y	Y	N	N	N	N	N	N	N	N	33	13	1	4
71003	1	2014	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	1	4	0	 
71005	1	2015	0	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	5
71007	1	2013	8	3	1	N	N	N	Y	N	N	N	N	Y	N	N	N	5	88	1	4
71008	1	2013	6	2	5	N	N	N	N	Y	N	N	N	N	N	N	N	11	88	1	3
71010	1	2013	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	2	1	4
71011	1	2014	18	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	6	88	0	 
71013	1	2013	30	3	1	N	N	N	Y	N	N	N	N	N	N	N	N	4	1	1	2
71013	2	2016	4	1	5	Y	 	 	 	 	 	 	 	 	 	 	 	2	4	1	4
71014	1	2014	6	3	5	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
71014	2	2015	5	1	4	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	0	 
71014	3	2016	5	3	4	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	0	 
71014	4	2016	5	3	4	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
71018	1	2014	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	4
71023	1	2014	18	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	6	88	0	 
71024	1	2016	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
71026	1	2014	30	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	4
71027	1	2014	16	2	1	N	N	N	N	N	N	N	N	N	N	N	Y	5	88	0	 
71027	2	2016	12	2	1	N	N	N	N	N	N	N	N	N	N	N	Y	13	88	0	 
71029	1	2015	14	3	10	Y	 	 	 	 	 	 	 	 	 	 	 	2	9	0	 
71032	1	2014	32	1	4	Y	 	 	 	 	 	 	 	 	 	 	 	11	88	1	5
71034	1	2016	0	3	1	N	N	Y	N	Y	N	N	N	N	N	N	N	1	88	0	 
71036	1	2014	12	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
71037	1	2014	0	3	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	1	0	 
71038	1	2013	36	2	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
71039	1	2014	0	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
71041	1	2016	0	2	1	Y	 	 	 	 	 	 	 	 	 	 	 	11	88	0	 
71046	1	2013	0	3	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	2	0	 
71047	1	2014	8	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
71048	1	2013	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	1	0	 
71073	1	2014	26	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
71097	1	2014	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	1	1	5
71112	1	2013	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	1	1	4
