CHILDCODE	MEMIDR4	AGER3	MEMAGER4	AGEMTHR4	MEMSEXR4	RELATER3	RELATER4	THSVILR4	LIVHSER4	YRDIEDR4	CHCSTER3	CHCSTER4	RELHHR4	MRTLSTR4	DISABR4	MTHRHHR4	FTHRHHR4	STRT18R4	GRDE18R4	EDCH18R4	STLL18R4	HSSTRTR4	GRADER4	STILLR4	WHYNOTR4	AGEGRDR4	TYPATDR4	MEMCNSR4
101045	4	22	26	 	1	7	7	 	1	 	 	21	3	0	0	98	98	1	8	0	0	 	 	 	 	 	 	N
101046	0	15	19	 	2	0	0	1	1	 	21	21	2	1	0	98	98	1	7	0	0	 	 	 	 	 	 	N
101046	1	39	43	 	1	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
101046	2	34	38	 	2	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
101046	3	18	22	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
101046	4	13	17	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
101046	5	11	15	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
101046	6	 	25	 	1	 	25	 	1	 	 	21	1	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
101046	7	 	55	 	2	 	26	 	1	 	 	21	6	3	0	98	98	0	 	 	 	 	 	 	 	 	 	N
101046	8	 	2	 	1	 	27	 	1	 	 	21	3	0	0	0	6	 	 	 	 	 	 	 	 	 	 	N
101047	0	15	19	 	1	0	0	1	1	 	21	21	3	0	0	2	1	1	11	1	0	 	 	 	 	 	 	N
101047	1	38	42	 	1	1	1	 	1	 	 	21	1	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
101047	2	35	39	 	2	1	1	 	1	 	 	21	2	1	0	98	98	1	4	0	0	 	 	 	 	 	 	N
101047	3	13	17	 	2	7	7	 	1	 	 	21	3	0	0	2	1	 	 	 	 	1	10	0	20	16	 	N
101048	0	15	19	 	2	0	0	1	1	 	21	21	3	0	0	2	1	1	12	1	0	 	 	 	 	 	 	N
101048	1	36	40	 	1	1	1	 	1	 	 	21	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
101048	2	32	36	 	2	1	1	 	1	 	 	21	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
101048	3	13	17	 	1	7	7	 	1	 	 	21	3	0	0	2	1	 	 	 	 	1	7	0	8	13	 	N
101049	0	15	19	 	1	0	0	1	1	 	21	21	3	0	0	2	1	1	9	0	0	 	 	 	 	 	 	N
101049	1	52	56	 	1	1	1	 	1	 	 	21	1	1	0	98	98	1	5	0	0	 	 	 	 	 	 	N
101049	2	45	49	 	2	1	1	 	1	 	 	21	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
101049	3	21	25	 	1	7	7	 	1	 	 	21	3	0	0	98	1	1	10	0	0	 	 	 	 	 	 	N
101049	4	23	27	 	2	7	7	 	1	 	 	21	3	0	0	98	1	1	10	0	0	 	 	 	 	 	 	N
101050	0	15	19	 	1	0	0	1	1	 	21	21	3	0	0	2	1	1	10	0	0	 	 	 	 	 	 	N
101050	1	53	57	 	1	1	1	 	1	 	 	21	1	1	0	5	98	1	5	0	0	 	 	 	 	 	 	N
101050	2	47	51	 	2	1	1	 	1	 	 	21	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
101050	3	 	27	 	1	7	7	 	3	2008	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
101050	4	21	25	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
101050	5	72	76	 	2	6	6	 	1	 	 	21	6	3	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111001	0	14	18	 	1	0	0	1	1	 	23	23	3	0	0	2	1	1	12	1	1	 	 	 	 	 	 	N
111001	1	47	51	 	1	1	1	 	1	 	 	23	1	1	0	98	98	1	5	0	0	 	 	 	 	 	 	N
111001	2	35	39	 	2	1	1	 	1	 	 	23	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111001	3	20	24	 	1	7	7	 	1	 	 	23	3	1	0	2	1	1	9	0	0	 	 	 	 	 	 	N
111001	4	17	21	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111001	5	 	20	 	2	 	16	 	1	 	 	23	4	1	0	98	98	1	7	0	0	 	 	 	 	 	 	N
111002	0	15	19	 	1	0	0	1	1	 	21	21	3	0	0	2	98	1	12	0	0	 	 	 	 	 	 	N
111002	1	52	56	 	1	1	1	 	3	2010	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111002	2	42	46	 	2	1	1	 	1	 	 	21	1	3	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111002	3	28	32	 	1	7	7	 	1	 	 	21	3	1	0	2	98	1	4	0	0	 	 	 	 	 	 	N
111002	4	25	29	 	2	16	16	 	1	 	 	21	4	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111002	5	 	2	 	1	 	19	 	1	 	 	21	5	0	0	4	3	 	 	 	 	 	 	 	 	 	 	N
111003	0	14	18	 	1	0	0	1	1	 	24	24	3	0	0	2	1	1	13	1	2	 	 	 	 	 	 	N
111003	1	39	43	 	1	1	1	 	1	 	 	24	1	1	0	98	98	1	5	0	0	 	 	 	 	 	 	N
111003	2	35	39	 	2	1	1	 	1	 	 	24	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111003	3	18	22	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111003	4	12	16	 	1	7	7	 	1	 	 	24	3	0	0	2	1	 	 	 	 	1	10	1	 	 	8	N
111004	0	14	18	 	1	0	0	1	1	 	23	23	3	0	0	2	98	1	6	0	0	 	 	 	 	 	 	N
111004	1	55	59	 	1	1	1	 	3	2006	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111004	2	52	56	 	2	1	1	 	1	 	 	23	1	3	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111004	3	21	25	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111004	4	18	22	 	2	7	7	 	1	 	 	23	3	0	0	2	98	1	3	0	0	 	 	 	 	 	 	N
111004	5	18	22	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111005	0	14	18	 	1	0	0	1	1	 	21	21	12	0	0	98	98	1	12	1	1	 	 	 	 	 	 	N
111005	1	42	46	 	1	1	1	 	3	2007	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111005	2	35	39	 	2	1	1	 	3	2004	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111005	3	13	17	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111005	4	5	9	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111005	5	31	35	 	2	2	2	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111005	6	35	39	 	1	13	13	 	1	 	 	21	1	1	0	98	98	1	12	0	0	 	 	 	 	 	 	N
111005	7	30	34	 	2	13	13	 	1	 	 	21	2	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
111005	8	10	14	 	1	14	14	 	1	 	 	21	3	0	0	98	98	 	 	 	 	1	8	1	 	 	1	N
111005	9	6	10	 	1	14	14	 	1	 	 	21	3	0	0	7	6	 	 	 	 	1	4	1	 	 	1	N
111005	28	11	15	 	1	7	7	 	1	 	 	21	7	0	0	98	98	 	 	 	 	1	9	1	 	 	1	N
111006	0	15	19	 	2	0	0	0	1	 	21	21	3	0	0	7	98	1	8	0	0	 	 	 	 	 	 	N
111006	1	57	61	 	1	6	6	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111006	2	47	51	 	2	6	6	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111006	3	32	36	 	1	14	14	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111006	4	27	31	 	2	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111006	5	24	28	 	2	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111006	6	28	32	 	2	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111006	7	 	45	 	2	 	1	 	1	 	 	21	1	3	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111006	8	 	24	 	1	 	7	 	1	 	 	21	3	0	0	7	98	1	11	0	0	 	 	 	 	 	 	N
111006	9	 	15	 	2	 	7	 	1	 	 	21	3	0	0	7	98	 	 	 	 	1	9	1	 	 	3	N
111007	0	14	18	 	1	0	0	1	1	 	23	23	3	0	0	2	1	1	7	0	0	 	 	 	 	 	 	N
111007	1	57	61	 	1	1	1	 	1	 	 	23	1	1	0	98	98	1	5	0	0	 	 	 	 	 	 	N
111007	2	52	56	 	2	1	1	 	1	 	 	23	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111007	3	25	29	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111007	4	17	21	 	1	7	7	 	1	 	 	23	3	1	0	2	1	1	7	0	0	 	 	 	 	 	 	N
111007	5	28	32	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111007	6	21	25	 	2	16	16	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111007	7	10	14	 	2	19	19	 	4	 	 	 	 	 	 	 	 	 	 	 	 	0	6	0	20	 	 	N
111007	8	7	11	 	2	19	19	 	4	 	 	 	 	 	 	 	 	 	 	 	 	1	4	1	 	 	3	N
111007	9	5	9	 	1	19	19	 	4	 	 	 	 	 	 	 	 	 	 	 	 	1	2	1	 	 	1	N
111007	10	 	18	 	2	 	16	 	1	 	 	23	4	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
111008	0	15	19	 	1	0	0	0	1	 	23	23	3	0	0	2	1	1	9	0	0	 	 	 	 	 	 	N
111008	1	38	42	 	1	1	1	 	1	 	 	23	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111008	2	33	37	 	2	1	1	 	1	 	 	23	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111008	3	17	21	 	1	7	7	 	1	 	 	23	3	0	1	2	1	1	11	1	1	 	 	 	 	 	 	N
111009	0	14	18	 	2	0	0	0	1	 	23	23	3	0	0	2	1	1	12	1	1	 	 	 	 	 	 	N
111009	1	39	43	 	1	1	1	 	1	 	 	23	1	1	0	98	98	1	7	0	0	 	 	 	 	 	 	N
111009	2	33	37	 	2	1	1	 	1	 	 	23	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111009	3	16	20	 	2	7	7	 	1	 	 	23	3	0	0	2	1	1	9	0	0	 	 	 	 	 	 	N
111009	4	6	10	 	1	7	7	 	1	 	 	23	3	0	0	2	1	 	 	 	 	1	5	1	 	 	11	N
111009	28	8	12	 	2	7	7	 	1	 	 	23	3	0	0	2	1	 	 	 	 	1	5	1	 	 	11	N
111010	0	14	18	 	2	0	0	1	1	 	23	23	3	0	1	1	98	1	10	0	0	 	 	 	 	 	 	N
111010	1	37	41	 	2	1	1	 	1	 	 	23	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111010	2	19	23	 	2	7	7	 	1	 	 	23	3	0	0	1	98	1	5	0	0	 	 	 	 	 	 	N
111010	3	18	22	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111010	4	17	21	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111010	5	16	20	 	1	7	7	 	1	 	 	23	3	0	0	1	98	1	10	0	0	 	 	 	 	 	 	N
111010	6	73	77	 	1	6	6	 	3	2008	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111010	7	65	69	 	2	6	6	 	1	 	 	23	7	3	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111011	0	14	18	 	2	0	0	0	1	 	23	23	3	1	0	2	1	1	11	1	0	 	 	 	 	 	 	N
111011	1	35	39	 	1	1	1	 	1	 	 	23	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111011	2	30	34	 	2	1	1	 	1	 	 	23	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111011	28	11	15	 	1	7	7	 	1	 	 	23	3	0	0	2	1	 	 	 	 	1	8	1	 	 	8	N
111012	0	14	18	 	2	0	0	0	1	 	21	21	3	0	0	2	1	1	10	1	1	 	 	 	 	 	 	N
111012	1	37	41	 	1	1	1	 	1	 	 	21	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111012	2	35	39	 	2	1	1	 	1	 	 	21	2	1	0	98	98	1	7	0	0	 	 	 	 	 	 	N
111012	3	20	24	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111012	4	18	22	 	1	7	7	 	1	 	 	21	3	0	0	2	1	1	15	1	1	 	 	 	 	 	 	N
111012	5	13	17	 	1	7	7	 	1	 	 	21	3	0	0	2	1	 	 	 	 	1	11	1	 	 	8	N
111013	0	15	19	 	2	0	0	0	1	 	23	23	3	0	0	0	1	1	12	1	1	 	 	 	 	 	 	N
111013	1	41	45	 	1	1	1	 	1	 	 	23	1	1	0	98	98	1	7	0	0	 	 	 	 	 	 	N
111013	2	37	41	 	2	1	1	 	1	 	 	23	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111013	3	19	23	 	1	7	7	 	1	 	 	23	3	0	0	0	1	1	9	0	0	 	 	 	 	 	 	N
111014	0	14	18	 	1	0	0	1	1	 	23	23	3	0	0	2	98	1	12	1	1	 	 	 	 	 	 	N
111014	1	47	51	 	1	1	1	 	3	2012	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111014	2	42	46	 	2	1	1	 	1	 	 	23	12	3	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111014	3	24	28	 	1	7	7	 	1	 	 	23	3	1	0	2	98	1	9	0	0	 	 	 	 	 	 	N
111014	4	19	23	 	1	7	7	 	1	 	 	23	3	1	0	2	98	1	8	0	0	 	 	 	 	 	 	N
111014	5	 	24	 	2	 	16	 	1	 	 	23	4	1	0	98	98	1	8	0	0	 	 	 	 	 	 	N
111014	6	 	2	 	2	 	19	 	1	 	 	23	5	0	0	5	3	 	 	 	 	 	 	 	 	 	 	N
111014	7	 	20	 	2	 	16	 	1	 	 	23	4	0	0	98	98	1	12	0	0	 	 	 	 	 	 	N
111014	8	 	1	 	2	 	19	 	1	 	 	23	5	0	0	7	4	 	 	 	 	 	 	 	 	 	 	N
111015	0	14	18	 	2	0	0	1	1	 	21	21	3	0	0	98	3	1	12	1	0	 	 	 	 	 	 	N
111015	1	67	71	 	1	6	6	 	3	2008	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111015	2	57	61	 	2	6	6	 	1	 	 	21	6	3	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111015	3	43	47	 	1	1	1	 	1	 	 	21	1	3	0	2	98	0	 	 	 	 	 	 	 	 	 	N
111015	4	40	44	 	2	1	1	 	3	2012	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111015	5	19	23	 	1	7	7	 	1	 	 	21	3	0	0	98	3	1	10	0	0	 	 	 	 	 	 	N
111016	0	14	18	 	2	0	0	0	1	 	21	21	2	1	0	98	98	1	7	0	0	 	 	 	 	 	 	N
111016	1	57	61	 	1	5	5	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111016	2	52	56	 	2	5	5	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111016	3	42	46	 	1	1	1	 	3	2013	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111016	4	37	41	 	2	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111016	5	23	27	 	1	14	14	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111016	6	17	21	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111016	7	68	72	 	2	6	6	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111016	28	10	14	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111016	29	8	12	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111016	30	 	26	 	2	 	25	 	1	 	 	21	1	1	0	98	98	1	8	0	0	 	 	 	 	 	 	N
111017	0	16	20	 	1	0	0	1	1	 	21	21	4	0	0	98	98	1	10	1	0	 	 	 	 	 	 	N
111017	1	52	56	 	1	1	1	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111017	2	42	46	 	2	1	1	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111017	3	25	29	 	1	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111017	4	23	27	 	2	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111017	5	19	23	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111017	6	 	35	 	1	 	16	 	1	 	 	21	1	1	0	98	98	1	3	0	0	 	 	 	 	 	 	N
111017	7	 	30	 	2	 	7	 	1	 	 	21	2	1	0	98	98	1	4	0	0	 	 	 	 	 	 	N
111017	8	 	13	 	2	 	15	 	1	 	 	21	3	0	0	7	6	 	 	 	 	1	7	1	 	 	7	N
111017	9	 	11	 	1	 	15	 	1	 	 	21	3	0	0	7	0	 	 	 	 	1	5	1	 	 	11	N
111017	10	 	9	 	2	 	15	 	1	 	 	21	3	0	0	7	0	 	 	 	 	1	3	1	 	 	11	N
111018	0	15	19	 	2	0	0	0	1	 	24	24	3	0	0	3	2	1	15	1	1	 	 	 	 	 	 	N
111018	1	57	61	 	2	6	6	 	1	 	 	24	6	3	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111018	2	39	43	 	1	1	1	 	1	 	 	24	1	1	0	1	98	1	10	0	0	 	 	 	 	 	 	N
111018	3	35	39	 	2	1	1	 	1	 	 	24	2	1	0	98	98	1	5	0	0	 	 	 	 	 	 	N
111018	4	17	21	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111019	0	15	19	 	2	0	0	0	1	 	23	23	3	0	0	4	3	1	12	1	0	 	 	 	 	 	 	N
111019	1	72	76	 	1	6	6	 	1	 	 	23	6	3	0	98	98	1	9	0	0	 	 	 	 	 	 	N
111019	2	65	69	 	2	6	6	 	3	2010	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111019	3	45	49	 	1	1	1	 	1	 	 	23	1	1	0	98	1	1	9	0	0	 	 	 	 	 	 	N
111019	4	33	37	 	2	1	1	 	1	 	 	23	2	1	0	98	98	1	3	0	0	 	 	 	 	 	 	N
111019	5	32	36	 	1	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111019	6	26	30	 	2	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111019	7	18	22	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111019	8	12	16	 	2	7	7	 	1	 	 	23	3	0	0	4	1	 	 	 	 	1	11	1	 	 	3	N
111019	9	7	11	 	2	14	14	 	4	 	 	 	 	 	 	 	 	 	 	 	 	1	4	1	 	 	1	N
111020	0	15	19	 	1	0	0	1	1	 	21	21	3	0	0	2	1	1	3	0	0	 	 	 	 	 	 	N
111020	1	57	61	 	1	1	1	 	1	 	 	21	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111020	2	52	56	 	2	1	1	 	1	 	 	21	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111020	3	25	29	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111020	4	17	21	 	1	7	7	 	1	 	 	21	3	0	0	2	1	1	12	1	1	 	 	 	 	 	 	N
111021	0	15	19	 	2	0	0	1	1	 	23	23	4	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111021	1	57	61	 	1	1	1	 	3	2003	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111021	2	47	51	 	2	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111021	3	20	24	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111021	4	17	21	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111021	5	18	22	 	2	16	16	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111021	6	3	7	 	2	15	15	 	4	 	 	 	 	 	 	 	 	 	 	 	 	1	2	1	 	 	3	N
111021	7	1	5	 	1	15	15	 	4	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	29	 	 	N
111021	8	 	50	 	1	 	26	 	1	 	 	23	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111021	9	 	47	 	2	 	26	 	1	 	 	23	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111021	10	 	21	 	1	 	25	 	1	 	 	23	3	1	0	9	8	1	6	0	0	 	 	 	 	 	 	N
111021	11	 	23	 	1	 	16	 	1	 	 	23	3	1	0	9	8	1	7	0	0	 	 	 	 	 	 	N
111021	12	 	20	 	2	 	14	 	1	 	 	23	4	1	0	98	98	1	7	0	0	 	 	 	 	 	 	N
111021	13	 	1	 	1	 	13	 	1	 	 	23	5	1	0	12	11	 	 	 	 	 	 	 	 	 	 	N
111021	14	 	13	 	1	 	28	 	1	 	 	23	3	0	0	9	8	 	 	 	 	1	8	1	 	 	3	N
111022	0	15	19	 	2	0	0	0	1	 	23	23	4	1	0	98	98	1	8	0	0	 	 	 	 	 	 	N
111022	1	72	76	 	2	6	6	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111022	2	37	41	 	1	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111022	3	30	34	 	2	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111022	4	29	33	 	1	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111022	5	25	29	 	2	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111022	6	14	18	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111022	7	13	17	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	1	9	1	 	 	3	N
111022	8	 	42	 	1	 	13	 	1	 	 	23	1	1	0	10	98	1	5	0	0	 	 	 	 	 	 	N
111022	9	 	38	 	2	 	13	 	1	 	 	23	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111022	10	 	85	 	2	 	5	 	1	 	 	23	6	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111022	11	 	23	 	1	 	25	 	1	 	 	23	3	1	0	9	8	1	17	1	1	 	 	 	 	 	 	N
111023	0	15	19	 	1	0	0	1	1	 	23	23	3	0	0	3	2	1	12	1	1	 	 	 	 	 	 	N
111023	1	77	81	 	2	6	6	 	3	2009	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111023	2	52	56	 	1	1	1	 	1	 	 	23	1	1	0	98	98	1	3	0	0	 	 	 	 	 	 	N
111023	3	42	46	 	2	1	1	 	1	 	 	23	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111023	4	21	25	 	1	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
111023	5	18	22	 	1	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111024	0	15	19	 	1	0	0	1	1	 	23	23	3	0	0	3	2	1	7	0	0	 	 	 	 	 	 	N
111024	1	87	91	 	2	6	6	 	1	 	 	23	6	3	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111024	2	47	51	 	1	1	1	 	1	 	 	23	1	1	0	1	98	0	 	 	 	 	 	 	 	 	 	N
111024	3	42	46	 	2	1	1	 	1	 	 	23	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111024	4	19	23	 	1	7	7	 	1	 	 	23	3	1	0	3	2	1	9	0	0	 	 	 	 	 	 	N
111024	5	14	18	 	1	7	7	 	1	 	 	23	3	0	0	3	2	1	15	1	1	 	 	 	 	 	 	N
111024	6	16	20	 	2	16	16	 	1	 	 	23	4	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
111024	7	 	2	 	1	 	19	 	1	 	 	23	5	0	0	6	4	 	 	 	 	 	 	 	 	 	 	N
111024	8	 	0	6	2	 	19	 	1	 	 	23	5	0	0	6	4	 	 	 	 	 	 	 	 	 	 	N
111025	0	15	19	 	2	0	0	0	1	 	23	23	4	1	0	98	98	1	7	0	0	 	 	 	 	 	 	N
111025	1	42	46	 	1	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111025	2	32	36	 	2	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111025	3	18	22	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111025	4	17	21	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111025	5	 	24	 	1	 	25	 	1	 	 	23	3	1	0	7	6	0	 	 	 	 	 	 	 	 	 	N
111025	6	 	48	 	1	 	26	 	1	 	 	23	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111025	7	 	42	 	2	 	26	 	1	 	 	23	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111025	8	 	3	 	1	 	27	 	1	 	 	23	5	0	0	0	9	 	 	 	 	 	 	 	 	 	 	N
111025	9	 	0	7	1	 	27	 	1	 	 	23	5	0	0	0	9	 	 	 	 	 	 	 	 	 	 	N
111026	0	15	19	 	1	0	0	1	1	 	23	23	3	0	0	3	2	1	10	1	0	 	 	 	 	 	 	N
111026	1	87	91	 	1	6	6	 	3	2006	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111026	2	47	51	 	1	1	1	 	1	 	 	23	1	1	1	98	98	0	 	 	 	 	 	 	 	 	 	N
111026	3	39	43	 	2	1	1	 	1	 	 	23	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
111026	4	22	26	 	1	7	7	 	1	 	 	23	3	1	1	3	2	0	 	 	 	 	 	 	 	 	 	N
111026	5	21	25	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111026	6	14	18	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
111026	7	13	17	 	2	7	7	 	1	 	 	23	3	0	0	3	2	 	 	 	 	1	8	0	17	15	 	N
