PLACEID	PRANIDR5	AVGPRCAN	MINPRCAN	MAXPRCAN
906	13	1200	 	 
906	14	-88	 	 
907	1	0	 	 
907	2	950	 	 
907	3	1500	 	 
907	4	300	 	 
907	5	-88	 	 
907	6	100	 	 
907	7	50	 	 
907	8	150	 	 
907	9	25	 	 
907	10	20	 	 
907	11	1200	 	 
907	12	-88	 	 
907	13	1200	 	 
907	14	-88	 	 
908	1	-88	 	 
908	2	800	 	 
908	3	-88	 	 
908	4	600	 	 
908	5	-88	 	 
908	6	120	 	 
908	7	100	 	 
908	8	250	 	 
908	9	25	 	 
908	10	25	 	 
908	11	20	 	 
908	12	-88	 	 
908	13	1000	 	 
908	14	-88	 	 
909	1	-88	 	 
909	2	1500	 	 
909	3	-88	 	 
909	4	300	 	 
909	5	-77	350	500
909	6	100	 	 
909	7	80	 	 
909	8	180	 	 
909	9	20	 	 
909	10	20	 	 
909	11	15	 	 
909	12	-88	 	 
909	13	2000	 	 
909	14	-88	 	 
910	1	-88	 	 
910	2	800	 	 
910	3	0	 	 
910	4	400	 	 
910	5	0	 	 
910	6	120	 	 
910	7	100	 	 
910	8	400	 	 
910	9	20	 	 
910	10	20	 	 
910	11	15	 	 
910	12	-88	 	 
910	13	1200	 	 
910	14	0	 	 
911	1	-88	 	 
911	2	400	 	 
911	3	1500	 	 
911	4	400	 	 
911	5	-88	 	 
911	6	100	 	 
911	7	60	 	 
911	8	150	 	 
911	9	30	 	 
911	10	15	 	 
911	11	10	 	 
911	12	-88	 	 
911	13	1500	 	 
911	14	-88	 	 
912	1	-88	 	 
912	2	600	 	 
912	3	-88	 	 
912	4	500	 	 
912	5	-88	 	 
912	6	100	 	 
912	7	80	 	 
912	8	150	 	 
912	9	20	 	 
912	10	20	 	 
912	11	18	 	 
912	12	-88	 	 
912	13	1200	 	 
912	14	200	 	 
1001	1	-88	 	 
1001	2	-88	 	 
1001	3	-88	 	 
1001	4	-88	 	 
1001	5	-88	 	 
1001	6	-88	 	 
1001	7	-88	 	 
1001	8	-88	 	 
1001	9	-88	 	 
1001	10	-88	 	 
1001	11	-88	 	 
1001	12	-88	 	 
1001	13	-88	 	 
1001	14	-88	 	 
