childid	id	age	sex	relate	still	yrschool	disabled	support	grading
IN031026	4	13	1	5	1	24	2	2	6
IN031027	1	65	2	3	2	24	2	2	6
IN031027	2	35	1	4	2	25	2	2	15
IN031027	3	32	1	1	2	25	2	1	12
IN031027	4	25	2	1	2	25	2	1	10
IN031027	28	2	1	5	 	 	2	 	0
IN031028	1	65	1	3	2	0	2	2	0
IN031028	2	45	2	4	2	0	2	2	0
IN031028	3	35	1	1	2	24	2	1	7
IN031028	4	28	2	1	2	25	2	1	9
IN031028	5	12	1	5	1	23	2	2	4
IN031028	6	10	1	5	1	23	2	2	4
IN031029	1	40	1	1	2	0	2	1	0
IN031029	2	35	2	1	2	0	2	1	0
IN031029	3	13	2	5	1	23	2	2	2
IN031029	4	11	2	5	1	24	2	2	6
IN031030	1	33	1	1	2	23	2	1	4
IN031030	2	20	2	1	2	23	2	1	5
IN031030	3	11	1	5	1	24	2	2	6
IN031031	1	45	1	1	2	25	2	1	10
IN031031	2	26	2	1	2	25	2	1	10
IN031031	3	7	2	5	1	23	2	2	2
IN031032	1	62	2	3	2	0	2	2	0
IN031032	2	42	1	1	2	23	2	1	4
IN031032	3	36	2	1	2	0	2	1	0
IN031032	4	17	2	5	2	25	2	2	9
IN031032	5	16	2	5	2	25	2	2	9
IN031032	6	15	2	5	1	25	2	2	8
IN031032	7	7	1	5	1	23	2	2	2
IN031033	1	75	2	3	2	0	2	2	0
IN031033	2	36	1	1	2	25	2	1	10
IN031033	3	28	1	4	2	25	2	1	10
IN031033	4	26	2	1	2	25	2	2	10
IN031033	5	6	1	5	1	22	2	2	0
IN031033	28	4	2	5	 	 	2	 	0
IN031034	1	64	2	3	2	0	2	2	0
IN031034	2	34	1	1	2	0	2	1	0
IN031034	3	29	2	1	2	23	2	2	5
IN031034	4	5	2	5	1	22	2	2	0
IN031035	1	60	2	3	2	0	2	2	0
IN031035	2	45	1	1	2	25	2	1	10
IN031035	3	30	2	1	2	24	2	2	7
IN031035	4	28	1	4	2	24	2	2	7
IN031035	5	11	2	5	1	23	2	2	3
IN031035	6	6	2	5	1	23	2	2	2
IN031036	1	38	1	1	2	24	2	1	7
IN031036	2	30	2	1	2	23	2	1	5
IN031036	3	10	2	5	1	23	2	2	4
IN031037	1	26	2	1	2	0	2	1	0
IN031038	1	70	1	3	2	25	2	1	15
IN031038	2	50	2	3	2	0	2	2	0
IN031038	3	42	1	4	2	25	2	2	15
IN031038	4	40	1	4	2	25	2	2	12
IN031038	5	38	1	1	2	25	2	1	15
IN031038	6	36	1	4	2	25	2	2	15
IN031038	7	34	2	4	2	25	2	2	10
IN031038	8	32	2	4	2	25	2	2	10
IN031038	9	30	2	1	2	25	2	2	10
IN031038	10	28	2	4	2	25	2	2	12
IN031038	11	16	1	6	1	25	2	2	10
IN031038	12	16	1	6	1	25	2	2	10
IN031038	13	13	1	6	1	24	2	2	6
IN031038	14	12	2	6	1	23	2	2	3
IN031038	15	10	2	5	1	23	2	2	4
IN031038	16	9	1	6	1	23	2	2	3
IN031038	17	7	2	6	1	22	2	2	0
IN031039	1	30	2	1	2	25	2	1	10
IN031039	2	13	2	5	1	24	2	2	6
IN031039	3	11	2	5	1	24	2	2	6
IN031039	4	10	1	5	1	23	2	2	3
IN031040	1	62	1	3	2	25	2	2	10
IN031040	2	55	2	3	2	24	2	2	7
IN031040	3	41	1	1	2	25	2	1	15
IN031040	4	35	2	1	2	25	2	1	15
IN031040	5	12	2	5	1	24	2	2	6
IN031041	1	35	1	1	2	25	2	1	10
IN031041	2	30	2	1	2	0	2	2	0
IN031041	3	11	2	5	1	23	2	2	3
IN031041	4	7	2	5	1	23	2	2	2
IN031042	1	75	2	3	2	23	2	2	3
IN031042	2	39	1	1	2	25	2	1	10
IN031042	3	38	2	1	2	25	2	2	9
IN031042	4	11	1	5	1	23	2	2	4
IN031043	1	44	1	1	2	25	2	1	15
IN031043	2	33	2	1	2	25	2	2	15
IN031043	3	13	2	5	1	25	2	2	9
IN031044	1	36	1	1	2	25	2	1	13
IN031044	2	32	2	1	2	25	2	2	15
IN031044	3	13	1	5	1	24	2	2	6
IN031045	1	36	1	1	2	23	2	1	2
IN031045	2	30	1	4	2	23	2	1	4
IN031045	3	30	2	1	2	0	2	2	0
IN031045	4	28	2	4	2	0	2	2	0
IN031045	5	11	1	5	1	23	2	2	3
