CHILDID	ACTIDR3	ACTR3	ACTOWNR3	ACTMTHR3	ACTDAYHR3	ACTHRSR3	PYMRECR3
IN151020	1	6	1	2	10	6	1
IN151020	2	2	1	10	20	1	0
IN151021	1	1	1	6	18	7	0
IN151022	1	2	1	10	20	1	0
IN151023	1	6	1	2	15	4	1
IN151024	1	2	1	2	30	4	0
IN151024	2	6	2	1	1	15	1
IN151025	1	6	1	2	10	5	1
IN151026	1	6	1	2	10	4	1
IN151026	2	2	1	2	24	2	0
IN151027	1	2	1	7	20	2	0
IN151028	1	2	1	3	12	3	0
IN151028	2	1	1	2	5	8	0
IN151028	3	1	2	2	6	8	1
IN151028	4	7	1	1	30	5	1
IN151029	1	1	2	8	22	8	1
IN151029	2	2	1	11	25	3	0
IN151030	1	4	1	8	20	10	1
IN151030	2	2	1	11	27	4	0
IN151030	3	1	2	5	8	8	1
IN151031	1	1	2	5	4	8	1
IN151032	1	2	1	12	20	1	0
IN151033	1	1	1	2	10	8	1
IN151033	2	2	1	12	20	2	0
IN151034	1	1	2	5	18	8	1
IN151034	2	2	1	12	25	4	0
IN151035	1	2	1	6	27	2	0
IN151035	2	1	1	8	5	8	1
IN151036	1	2	1	1	5	3	0
IN151036	2	1	2	12	5	6	1
IN151037	1	4	2	3	30	13	1
IN151037	2	2	1	9	30	1	0
