CHILDCODE	ASSTIDR5	ASSETR5	TOTASSR5	ASACTR5	NMOWNR5	VLASTR5
61012	2	 	 	 	 	 
61012	3	 	 	 	 	 
61013	1	 	 	 	 	 
61013	2	 	 	 	 	 
61013	3	 	 	 	 	 
61014	1	 	 	 	 	 
61014	2	 	 	 	 	 
61014	3	 	 	 	 	 
61015	1	40	4	26	4	2000
61015	2	88	 	 	 	 
61015	3	88	 	 	 	 
61016	1	 	 	 	 	 
61016	2	 	 	 	 	 
61016	3	 	 	 	 	 
61017	1	5	1	26	1	2000
61017	2	40	1	26	1	2000
61017	3	88	 	 	 	 
61018	1	5	2	26	2	2000
61018	2	40	2	26	2	3000
61018	3	88	 	 	 	 
61019	1	5	1	26	1	2000
61019	2	88	 	 	 	 
61019	3	88	 	 	 	 
61020	1	 	 	 	 	 
61020	2	 	 	 	 	 
61020	3	 	 	 	 	 
61021	1	 	 	 	 	 
61021	2	 	 	 	 	 
61021	3	 	 	 	 	 
61024	1	 	 	 	 	 
61024	2	 	 	 	 	 
61024	3	 	 	 	 	 
61025	1	 	 	 	 	 
61025	2	 	 	 	 	 
61025	3	 	 	 	 	 
61026	1	5	1	26	1	500
61026	2	15	1	12	1	1200
61026	3	24	1	23	1	20000
61028	1	 	 	 	 	 
61028	2	 	 	 	 	 
61028	3	 	 	 	 	 
61029	1	 	 	 	 	 
61029	2	 	 	 	 	 
61029	3	 	 	 	 	 
61030	1	 	 	 	 	 
61030	2	 	 	 	 	 
61030	3	 	 	 	 	 
61031	1	 	 	 	 	 
61031	2	 	 	 	 	 
61031	3	 	 	 	 	 
61032	1	 	 	 	 	 
61032	2	 	 	 	 	 
61032	3	 	 	 	 	 
61033	1	40	2	24	2	1500000
61033	2	40	4	24	4	100000
61033	3	88	 	 	 	 
61034	1	 	 	 	 	 
61034	2	 	 	 	 	 
61034	3	 	 	 	 	 
61035	1	 	 	 	 	 
61035	2	 	 	 	 	 
61035	3	 	 	 	 	 
61036	1	9	9	2	9	10000
61036	2	13	5	7	5	3000
61036	3	88	 	 	 	 
61037	1	40	6	26	6	20000
61037	2	1	3	11	3	50
61037	3	88	 	 	 	 
61038	1	 	 	 	 	 
61038	2	 	 	 	 	 
61038	3	 	 	 	 	 
61039	1	 	 	 	 	 
61039	2	 	 	 	 	 
61039	3	 	 	 	 	 
61040	1	1	2	11	2	40
61040	2	3	2	11	2	260
61040	3	88	 	 	 	 
61041	1	 	 	 	 	 
61041	2	 	 	 	 	 
61041	3	 	 	 	 	 
61042	1	 	 	 	 	 
61042	2	 	 	 	 	 
61042	3	 	 	 	 	 
61043	1	12	1	8	0	 
61043	2	88	 	 	 	 
61043	3	88	 	 	 	 
61044	1	 	 	 	 	 
61044	2	 	 	 	 	 
61044	3	 	 	 	 	 
61046	1	21	1	21	1	3000
61046	2	88	 	 	 	 
61046	3	88	 	 	 	 
61047	1	 	 	 	 	 
61047	2	 	 	 	 	 
61047	3	 	 	 	 	 
61048	1	1	2	11	2	3
61048	2	3	1	11	1	50
61048	3	88	 	 	 	 
61049	1	1	2	11	2	30
61049	2	24	1	23	1	50000
61049	3	88	 	 	 	 
61050	1	1	3	11	3	150
61050	2	88	 	 	 	 
61050	3	88	 	 	 	 
61052	1	13	1	7	1	500
61052	2	88	 	 	 	 
61052	3	88	 	 	 	 
61055	1	 	 	 	 	 
61055	2	 	 	 	 	 
61055	3	 	 	 	 	 
61056	1	 	 	 	 	 
61056	2	 	 	 	 	 
61056	3	 	 	 	 	 
61057	1	1	2	11	1	5
61057	2	3	1	11	1	5
61057	3	88	 	 	 	 
61076	1	 	 	 	 	 
61076	2	 	 	 	 	 
61076	3	 	 	 	 	 
61079	1	3	1	11	1	50
61079	2	1	2	11	2	10
61079	3	88	 	 	 	 
61104	1	5	1	11	1	5000
61104	2	2	2	11	2	4000
61104	3	40	1	11	1	12000
71001	1	 	 	 	 	 
71001	2	 	 	 	 	 
71001	3	 	 	 	 	 
71002	1	 	 	 	 	 
71002	2	 	 	 	 	 
71002	3	 	 	 	 	 
71003	1	 	 	 	 	 
71003	2	 	 	 	 	 
71003	3	 	 	 	 	 
71004	1	 	 	 	 	 
71004	2	 	 	 	 	 
71004	3	 	 	 	 	 
71005	1	 	 	 	 	 
71005	2	 	 	 	 	 
71005	3	 	 	 	 	 
71007	1	25	1	23	1	300000
71007	2	2	5	11	5	1000
71007	3	3	5	11	5	2000
71008	1	40	1	23	1	50000
71008	2	40	1	23	1	5000
71008	3	88	 	 	 	 
71009	1	3	1	11	1	1400
71009	2	5	1	11	1	2500
71009	3	40	1	23	1	3000
71010	1	 	 	 	 	 
71010	2	 	 	 	 	 
71010	3	 	 	 	 	 
71011	1	1	2	11	2	20
71011	2	8	2	11	2	60
71011	3	88	 	 	 	 
71013	1	 	 	 	 	 
71013	2	 	 	 	 	 
71013	3	 	 	 	 	 
71014	1	5	1	11	1	2000
71014	2	1	12	11	12	200
71014	3	3	1	11	1	900
71015	1	5	1	11	1	5000
71015	2	3	1	11	1	2000
71015	3	40	1	11	1	1500
71018	1	24	1	23	0	 
71018	2	23	30	23	0	 
71018	3	40	1	23	0	 
71019	1	3	1	11	1	1000
71019	2	5	1	11	1	1000
71019	3	1	4	11	4	300
71020	1	30	1	30	1	20000
71020	2	3	1	11	1	4000
71020	3	5	1	11	1	700
71021	1	 	 	 	 	 
71021	2	 	 	 	 	 
71021	3	 	 	 	 	 
71023	1	3	1	11	1	1500
71023	2	5	1	11	1	1200
71023	3	1	3	11	1	40
71024	1	 	 	 	 	 
71024	2	 	 	 	 	 
