CHILDCODE	MEMIDR4	AGER3	MEMAGER4	MEAGMTR4	MEMSEXR4	RELATER3	RELATER4	THSCOMR4	LIVHSER4	YRDIEDR4	RELHHR4	MRTLSTR4	DISABR4	MTHRHHR4	FTHRHHR4	STRT18R4	GRDE18R4	STLL18R4	EDCH18R4	HSSTRTR4	GRADER4	STILLR4	TYPATDR4	WHYNOTR4	AGEGRDR4	EDCH17R4	MEMCNSR4
11026	5	17	21	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11028	0	15	19	 	1	0	0	1	1	 	3	6	0	2	1	1	12	1	1	 	 	 	 	 	 	 	N
11028	1	39	43	 	1	1	1	 	1	 	1	3	0	98	98	1	5	0	0	 	 	 	 	 	 	 	N
11028	2	37	41	 	2	1	1	 	1	 	2	3	0	98	98	1	9	0	0	 	 	 	 	 	 	 	N
11028	3	14	18	 	2	7	7	 	1	 	3	6	0	2	1	1	10	0	0	 	 	 	 	 	 	 	N
11029	0	15	19	 	1	0	0	1	1	 	3	6	0	2	98	1	9	1	1	 	 	 	 	 	 	 	N
11029	1	35	39	 	1	1	1	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11029	2	38	42	 	2	1	1	 	1	 	2	3	0	98	98	1	10	0	0	 	 	 	 	 	 	 	N
11029	3	14	18	 	2	7	7	 	1	 	3	6	0	2	98	1	8	0	0	 	 	 	 	 	 	 	N
11029	17	10	14	 	2	7	7	 	1	 	3	6	0	2	98	 	 	 	 	1	8	1	3	 	 	0	N
11030	0	15	19	 	1	0	0	1	2	 	 	 	 	 	 	 	 	 	 	1	12	1	3	 	 	1	N
11030	1	43	47	 	1	1	1	 	1	 	 	 	 	 	 	1	9	0	0	 	 	 	 	 	 	 	N
11030	2	41	45	 	2	1	1	 	1	 	 	 	 	 	 	1	12	0	0	 	 	 	 	 	 	 	N
11030	3	18	22	 	1	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11030	17	11	15	 	1	7	7	 	1	 	 	 	 	 	 	 	 	 	 	1	10	1	3	 	 	1	N
11031	0	15	19	 	2	0	0	1	2	 	3	6	0	3	2	 	 	 	 	1	12	1	3	 	 	1	 
11031	1	85	88	 	2	6	6	 	3	2012	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11031	2	42	46	 	1	1	1	 	1	 	1	3	1	98	98	1	7	0	0	 	 	 	 	 	 	 	N
11031	3	38	42	 	2	1	1	1	1	 	2	3	0	98	98	1	1	0	0	 	 	 	 	 	 	 	N
11031	4	17	21	 	2	7	7	 	1	 	3	6	1	3	2	1	9	0	0	 	 	 	 	 	 	 	N
11031	5	13	17	 	1	7	7	 	1	 	3	6	0	3	2	 	 	 	 	1	9	0	 	1	15	0	N
11031	6	5	9	 	2	7	7	 	1	 	3	 	 	3	2	 	 	 	 	1	3	1	3	 	 	1	N
11032	0	14	18	 	2	0	0	1	2	 	3	6	0	1	98	 	 	 	 	1	12	0	 	 	 	1	N
11032	1	53	57	 	2	1	1	 	1	 	1	5	0	98	98	1	5	0	0	 	 	 	 	 	 	 	N
11032	2	24	28	 	1	7	9	 	1	 	3	6	0	1	98	1	9	0	0	 	 	 	 	 	 	 	N
11033	0	15	19	 	2	0	0	1	2	 	3	6	0	2	1	 	 	 	 	1	12	1	3	 	 	1	N
11033	1	48	52	 	1	1	1	 	1	 	1	3	0	98	98	1	14	0	0	 	 	 	 	 	 	 	N
11033	2	43	47	 	2	1	1	 	1	 	2	3	0	98	98	1	10	0	0	 	 	 	 	 	 	 	N
11033	3	20	24	 	1	7	7	 	1	 	3	6	1	2	1	0	 	 	 	 	 	 	 	 	 	 	N
11033	4	18	22	 	2	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11033	17	9	12	 	2	7	7	 	1	 	3	 	0	2	1	 	 	 	 	1	6	1	3	 	 	1	N
11034	0	14	18	 	1	0	0	1	2	 	3	6	0	2	1	 	 	 	 	1	12	1	3	 	 	1	N
11034	1	40	44	 	1	1	1	 	1	 	1	3	0	98	98	1	12	0	0	 	 	 	 	 	 	 	N
11034	2	37	41	 	2	1	1	 	1	 	2	3	0	98	98	1	11	0	0	 	 	 	 	 	 	 	N
11034	17	10	14	 	1	7	7	 	1	 	3	6	0	2	1	 	 	 	 	1	8	1	3	 	 	1	N
11035	0	15	19	 	1	0	0	1	1	 	3	6	0	1	2	1	9	0	0	 	 	 	 	 	 	 	N
11035	1	39	43	 	2	1	1	 	1	 	1	3	0	98	98	1	4	0	0	 	 	 	 	 	 	 	N
11035	2	38	42	 	1	1	1	 	1	 	2	1	0	98	98	1	8	0	0	 	 	 	 	 	 	 	N
11035	3	18	22	 	2	7	7	 	1	 	3	6	0	1	2	1	14	0	1	 	 	 	 	 	 	 	N
11037	0	15	19	 	2	0	0	1	2	 	3	6	0	2	98	 	 	 	 	1	12	1	1	 	 	1	 
11037	1	37	41	 	1	1	1	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11037	2	35	39	 	2	1	1	 	1	 	2	3	0	98	98	1	7	0	0	 	 	 	 	 	 	 	N
11037	17	11	15	 	1	7	7	 	1	 	3	6	0	2	98	 	 	 	 	1	9	1	3	 	 	0	N
11037	18	61	65	 	2	6	6	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11037	19	5	9	 	1	7	7	 	1	 	3	 	 	2	98	 	 	 	 	1	3	1	3	 	 	0	N
11038	0	15	19	 	2	0	0	1	1	 	3	6	0	3	4	1	12	1	1	 	 	 	 	 	 	 	Y
11038	1	98	-88	 	1	18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11038	2	68	72	 	2	6	6	 	1	 	6	4	0	98	98	1	5	0	0	 	 	 	 	 	 	 	N
11038	3	43	47	 	2	1	1	 	1	 	2	3	0	98	98	1	9	0	0	 	 	 	 	 	 	 	N
11038	4	42	46	 	1	1	1	 	1	 	1	3	0	2	98	1	9	0	0	 	 	 	 	 	 	 	N
11038	5	22	26	 	2	7	7	 	1	 	3	6	0	3	4	1	14	0	0	 	 	 	 	 	 	 	N
11038	6	21	25	 	1	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11039	0	15	19	 	2	0	0	1	1	 	3	3	0	2	1	1	8	0	0	 	 	 	 	 	 	 	N
11039	1	57	61	 	1	1	1	 	1	 	1	3	0	98	98	1	5	0	0	 	 	 	 	 	 	 	N
11039	2	54	58	 	2	1	1	 	1	 	2	3	0	98	98	1	4	0	0	 	 	 	 	 	 	 	N
11039	3	29	33	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11039	4	22	26	 	2	7	7	 	1	 	3	5	0	2	1	1	5	0	0	 	 	 	 	 	 	 	N
11039	5	20	24	 	1	7	7	 	1	 	3	3	0	2	1	1	8	0	0	 	 	 	 	 	 	 	N
11039	6	 	22	 	2	 	16	 	1	 	4	3	0	98	98	1	12	0	 	 	 	 	 	 	 	 	N
11039	7	 	4	 	2	 	15	 	1	 	5	 	 	4	98	 	 	 	 	 	 	 	 	 	 	 	N
11039	8	 	2	 	1	 	15	 	1	 	5	 	 	6	5	 	 	 	 	 	 	 	 	 	 	 	N
11039	9	 	0	4	1	 	15	 	1	 	5	 	 	6	5	 	 	 	 	 	 	 	 	 	 	 	N
11039	10	 	0	5	1	 	27	 	1	 	5	 	 	0	98	 	 	 	 	 	 	 	 	 	 	 	N
11040	0	15	19	 	1	0	0	1	1	 	3	6	0	2	98	1	9	0	0	 	 	 	 	 	 	 	N
11040	1	37	41	 	1	1	1	 	3	2005	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11040	2	40	44	 	2	1	1	 	1	 	1	4	0	98	98	1	9	0	0	 	 	 	 	 	 	 	N
11040	3	18	22	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11040	4	6	10	 	1	7	7	 	1	 	3	 	0	2	98	 	 	 	 	1	4	1	3	 	 	0	N
11041	0	15	20	 	2	0	0	0	1	 	2	3	0	98	98	1	12	0	0	 	 	 	 	 	 	 	N
11041	1	41	46	 	1	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11041	2	37	42	 	2	1	1	77	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11041	3	18	23	 	1	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11041	4	4	9	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11041	5	 	29	 	1	 	24	 	1	 	3	3	0	8	7	1	13	0	 	 	 	 	 	 	 	 	N
11041	6	 	3	 	1	 	27	 	1	 	3	 	 	0	5	 	 	 	 	 	 	 	 	 	 	 	N
11041	7	 	51	 	1	 	28	 	1	 	1	3	0	98	98	1	4	1	 	 	 	 	 	 	 	 	N
11041	8	 	48	 	2	 	28	 	1	 	2	1	0	98	98	1	5	0	 	 	 	 	 	 	 	 	N
11041	9	 	24	 	1	 	29	 	1	 	3	6	0	8	7	1	14	1	 	 	 	 	 	 	 	 	N
