CHILDCODE	IMEVIDR4	RKEVR4	LOSS10R4	LOSS11R4	LOSS12R4	LOSS13R4
71009	3	88	 	 	 	 
71010	1	88	 	 	 	 
71010	2	88	 	 	 	 
71010	3	88	 	 	 	 
71011	1	45	2	 	 	 
71011	2	88	 	 	 	 
71011	3	88	 	 	 	 
71013	1	12	 	 	1	 
71013	2	13	 	 	 	1
71013	3	37	1	 	 	 
71015	1	88	 	 	 	 
71015	2	88	 	 	 	 
71015	3	88	 	 	 	 
71019	1	88	 	 	 	 
71019	2	88	 	 	 	 
71019	3	88	 	 	 	 
71020	1	34	 	 	 	2
71020	2	88	 	 	 	 
71020	3	88	 	 	 	 
71021	1	1	 	 	 	1
71021	2	13	1	 	1	 
71021	3	39	 	 	 	1
71023	1	88	 	 	 	 
71023	2	88	 	 	 	 
71023	3	88	 	 	 	 
71024	1	88	 	 	 	 
71024	2	88	 	 	 	 
71024	3	88	 	 	 	 
71025	1	41	 	2	 	 
71025	2	88	 	 	 	 
71025	3	88	 	 	 	 
71026	1	88	 	 	 	 
71026	2	88	 	 	 	 
71026	3	88	 	 	 	 
71027	1	88	 	 	 	 
71027	2	88	 	 	 	 
71027	3	88	 	 	 	 
71028	1	12	 	 	 	2
71028	2	13	 	 	 	1
71028	3	41	 	 	2	 
71031	1	16	 	 	4	3
71031	2	14	4	 	 	 
71031	3	88	 	 	 	 
71032	1	13	3	 	 	 
71032	2	88	 	 	 	 
71032	3	88	 	 	 	 
71033	1	37	2	2	2	2
71033	2	38	1	2	 	 
71033	3	88	 	 	 	 
71034	1	88	 	 	 	 
71034	2	88	 	 	 	 
