FORMNO	CHILDID	SASSID	SASSET	NUMSRNT	NUMSASS	VALSASS	DECSASS
R2INDX	ET140095	1	1	0	3	30	1
R2INDX	ET140096	1	27	0	2	30000	1
R2INDX	ET140097	1	30	-88	-88	-88	88
R2INDX	ET150002	1	1	0	2	12	1
R2INDX	ET150005	1	23	0	7	23	1
R2INDX	ET150006	1	30	-88	-88	-88	88
R2INDX	ET150007	1	30	-88	-88	-88	88
R2INDX	ET150014	1	30	0	4	9	2
R2INDX	ET150016	1	30	-88	-88	-88	88
R2INDX	ET150018	1	23	0	8	10.5	2
R2INDX	ET150019	1	1	0	1	12	1
R2INDX	ET150022	1	30	-88	-88	-88	88
R2INDX	ET150023	1	1	0	1	10	1
R2INDX	ET150026	1	1	0	2	10	1
R2INDX	ET150028	1	1	0	3	12	1
R2INDX	ET150031	1	23	0	4	4	1
R2INDX	ET150035	1	13	0	10	102	1
R2INDX	ET150037	1	1	0	1	20	1
R2INDX	ET150044	1	1	0	2	15	1
R2INDX	ET150045	1	30	0	7	45	1
R2INDX	ET150047	1	1	0	3	30	2
R2INDX	ET150048	1	23	0	4	8	1
R2INDX	ET150052	1	1	0	2	16	2
R2INDX	ET150054	1	30	0	6	15	1
R2INDX	ET150055	1	1	0	7	52	1
R2INDX	ET150056	1	1	0	2	25	0
R2INDX	ET150057	1	1	0	4	40	1
R2INDX	ET150058	1	1	0	5	33	1
R2INDX	ET150059	1	1	0	2	25	2
R2INDX	ET150061	1	1	0	4	40	1
R2INDX	ET150062	1	30	-88	-88	-88	88
R2INDX	ET150063	1	1	0	4	45	3
R2INDX	ET150066	1	1	0	1	10	1
R2INDX	ET150072	1	30	-88	-88	-88	88
R2INDX	ET150074	1	1	0	1	10	1
R2INDX	ET150075	1	1	3	3	40	16
R2INDX	ET150079	1	1	0	1	8	1
R2INDX	ET150080	1	23	0	8	76.5	1
R2INDX	ET150080	2	25	0	1	600	1
R2INDX	ET150081	1	1	0	2	20	1
R2INDX	ET150083	1	1	0	1	12	2
R2INDX	ET150086	1	1	0	2	10	1
R2INDX	ET150090	1	1	0	1	9	1
R2INDX	ET150091	1	1	0	3	15	1
R2INDX	ET150094	1	1	0	2	4	1
R2INDX	ET150095	1	1	0	1	10	1
R2INDX	ET150096	1	15	0	20	150	5
R2INDX	ET150098	1	1	0	1	4	1
