FORMNO	CHILDID	ACTID	ACTYEST	WHOACT	CHOICE
R2INDX	ET030048	2	10	6	1
R2INDX	ET030051	1	1	10	0
R2INDX	ET030051	2	2	10	1
R2INDX	ET030051	3	10	10	1
R2INDX	ET030052	1	1	10	0
R2INDX	ET030052	2	2	2	1
R2INDX	ET030052	3	12	12	1
R2INDX	ET030052	4	10	3	1
R2INDX	ET030053	1	1	10	0
R2INDX	ET030053	2	10	11	1
R2INDX	ET030054	1	1	10	0
R2INDX	ET030054	2	10	10	1
R2INDX	ET030054	3	2	1	1
R2INDX	ET030055	1	1	10	1
R2INDX	ET030055	2	2	1	1
R2INDX	ET030055	3	17	7	1
R2INDX	ET030056	1	1	10	0
R2INDX	ET030056	2	10	1	1
R2INDX	ET030056	3	2	1	0
R2INDX	ET030057	1	1	10	0
R2INDX	ET030057	2	10	10	1
R2INDX	ET030057	3	12	12	1
R2INDX	ET030058	1	1	12	1
R2INDX	ET030058	2	10	12	1
R2INDX	ET030058	3	2	12	1
R2INDX	ET030059	1	1	11	0
R2INDX	ET030059	2	2	11	0
R2INDX	ET030059	3	10	2	1
R2INDX	ET030059	4	12	2	1
R2INDX	ET030060	1	1	10	0
R2INDX	ET030060	2	2	1	0
R2INDX	ET030060	3	24	12	0
R2INDX	ET030061	1	1	10	0
R2INDX	ET030061	2	2	6	0
R2INDX	ET030061	3	10	9	1
R2INDX	ET030062	1	1	1	0
R2INDX	ET030062	2	2	2	0
R2INDX	ET030062	3	24	12	1
R2INDX	ET030063	1	10	2	1
R2INDX	ET030063	2	9	2	1
R2INDX	ET030064	1	1	10	0
R2INDX	ET030064	2	10	12	1
R2INDX	ET030065	1	1	10	1
R2INDX	ET030065	2	12	12	1
R2INDX	ET030066	1	1	10	0
R2INDX	ET030066	2	2	6	0
R2INDX	ET030066	3	10	10	1
R2INDX	ET030067	1	1	2	0
R2INDX	ET030067	2	2	1	0
R2INDX	ET030067	3	24	12	1
R2INDX	ET030068	1	1	9	0
R2INDX	ET030068	2	2	6	0
R2INDX	ET030068	3	10	6	1
R2INDX	ET030068	4	12	1	1
R2INDX	ET030069	1	18	6	1
R2INDX	ET030070	1	1	9	0
R2INDX	ET030070	2	2	1	0
R2INDX	ET030070	3	10	11	1
R2INDX	ET030070	4	12	6	1
R2INDX	ET030071	1	10	11	1
R2INDX	ET030071	2	20	1	1
R2INDX	ET030072	1	1	5	0
R2INDX	ET030072	2	10	11	1
R2INDX	ET030072	3	12	8	1
R2INDX	ET030072	4	2	8	0
R2INDX	ET030073	1	1	10	0
R2INDX	ET030073	2	2	1	0
R2INDX	ET030073	3	10	11	1
R2INDX	ET030073	4	12	2	1
R2INDX	ET030074	1	1	5	0
R2INDX	ET030074	2	10	10	1
R2INDX	ET030075	1	1	9	0
R2INDX	ET030075	2	12	8	1
R2INDX	ET030075	3	2	8	1
R2INDX	ET030077	1	1	10	0
R2INDX	ET030077	2	10	10	1
R2INDX	ET030078	1	10	10	1
R2INDX	ET030078	2	12	6	1
R2INDX	ET030079	1	1	5	0
R2INDX	ET030079	2	2	1	1
R2INDX	ET030079	3	10	11	1
R2INDX	ET030079	4	11	6	1
R2INDX	ET030079	5	12	6	1
R2INDX	ET030080	1	1	6	0
R2INDX	ET030080	2	2	6	0
R2INDX	ET030080	3	10	6	1
R2INDX	ET030081	1	1	10	0
R2INDX	ET030081	2	10	10	1
R2INDX	ET030081	3	2	7	0
R2INDX	ET030081	4	9	7	1
R2INDX	ET030082	1	1	9	0
R2INDX	ET030082	2	2	1	0
R2INDX	ET030082	3	24	10	1
R2INDX	ET030083	1	10	10	1
R2INDX	ET030083	2	12	2	1
R2INDX	ET030084	1	1	10	0
R2INDX	ET030084	2	2	1	0
