CHILDCODE	MOVEIDR5	CNTRYR5	DSTRCTR5	TYPRESR5	YRMOVER5	MTHSTYR5	MVALNER5	MVFTHRR5	MVMTHRR5	MVSIBLR5	MVSPSER5	MVSPPTR5	MVSPSBR5	MVCHCHR5	MVOTRLR5	MVSPRLR5	MVNONHR5	RSNMVR51	RSNMVR52	KNWANYR5	KNWBSTR5
158052	1	51	 	4	2016	7	Y	 	 	 	 	 	 	 	 	 	 	23	88	1	1
158052	2	51	 	4	2016	0	Y	 	 	 	 	 	 	 	 	 	 	27	2	1	4
158056	1	51	 	1	2014	26	N	N	N	Y	N	N	N	N	N	N	N	1	88	0	 
158056	2	51	 	2	2016	0	N	N	N	Y	N	N	N	N	N	N	N	1	88	0	 
158057	1	51	 	2	2015	11	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	4
158057	2	51	 	2	2016	0	N	Y	Y	Y	N	N	N	N	N	N	N	1	22	1	4
168001	1	51	 	2	2014	7	N	N	N	Y	N	N	N	N	N	N	N	5	1	1	2
168001	2	51	 	2	2016	4	N	N	N	Y	N	N	N	N	N	N	N	1	88	1	2
168001	3	51	 	2	2016	0	Y	 	 	 	 	 	 	 	 	 	 	23	88	1	1
168005	1	51	 	4	2014	12	N	N	N	N	Y	N	Y	N	N	N	N	1	88	0	 
