CHILDCODE	EDCHSTR5	GRDER5	CMPGRDR5	TYSCR5	SMESCHR5	PROVR5	DSSCR5	COD_MOD	ANEXO	NMSCSCR5	NIV_MOD	D_NIV_MOD	GESTION	D_GESTION	GES_DEP	D_GES_DEP	COD_ENAHO	TYSCR5_C	NMSCLSR5_C
18044	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18044	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18044	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18044	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18045	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18045	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18045	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18045	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18046	13	15	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18046	14	15	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18046	15	15	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18046	16	15	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18047	13	13	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18047	14	14	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18047	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18047	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18048	13	13	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18048	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18048	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18048	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18049	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18049	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18049	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18049	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18050	13	15	 	1	0	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18050	14	15	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18050	15	15	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18050	16	15	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
28001	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28001	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28001	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28001	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
