CHILDCODE	HHDCIDR4	EVMDDCR5	MADDECR5	WHOPRVR5
48007	5	1	1	1
48007	6	1	1	1
48007	7	1	1	1
48007	8	0	1	1
48007	9	0	1	1
48008	1	0	1	6
48008	2	1	1	1
48008	3	0	1	1
48008	4	1	1	1
48008	5	1	1	1
48008	6	0	1	6
48008	7	0	1	6
48008	8	0	1	6
48008	9	0	1	6
48009	1	1	0	3
48009	2	1	1	3
48009	3	0	1	4
48009	4	1	1	1
48009	5	1	1	1
48009	6	1	1	1
48009	7	1	1	1
48009	8	0	1	1
48009	9	1	1	1
48010	1	0	1	3
48010	2	0	1	3
48010	3	1	1	1
48010	4	0	1	1
48010	5	1	1	1
48010	6	0	1	1
48010	7	0	1	1
48010	8	0	1	1
48010	9	0	1	1
48011	1	 	 	88
48011	2	 	 	88
48011	3	 	 	88
48011	4	 	 	88
48011	5	 	 	88
48011	6	 	 	88
48011	7	 	 	88
48011	8	 	 	88
48011	9	 	 	88
48013	1	1	1	3
48013	2	1	1	3
48013	3	1	1	1
48013	4	1	1	1
48013	5	1	1	1
48013	6	0	1	1
48013	7	0	1	1
48013	8	0	1	1
48013	9	0	1	1
48014	1	1	1	3
48014	2	1	1	1
48014	3	0	0	2
48014	4	1	1	1
48014	5	1	1	1
48014	6	0	1	1
48014	7	1	1	1
48014	8	0	1	1
48014	9	1	1	1
48015	1	1	1	6
48015	2	1	1	6
48015	3	1	1	6
48015	4	1	1	6
48015	5	1	1	6
48015	6	1	1	6
48015	7	1	1	6
48015	8	1	1	6
48015	9	1	1	6
48016	1	1	1	3
48016	2	1	1	1
48016	3	0	1	1
48016	4	1	1	1
48016	5	1	1	1
48016	6	1	1	1
48016	7	1	1	1
48016	8	0	1	1
48016	9	1	1	1
48017	1	0	1	3
48017	2	1	1	1
48017	3	0	1	1
48017	4	1	1	1
48017	5	1	1	1
48017	6	0	1	1
48017	7	1	1	1
48017	8	0	1	1
48017	9	0	1	1
48018	1	0	1	6
48018	2	1	1	1
48018	3	1	1	1
48018	4	0	1	1
48018	5	0	1	1
48018	6	1	1	6
48018	7	1	1	6
48018	8	0	1	6
48018	9	1	1	6
48019	1	1	1	4
48019	2	1	1	3
48019	3	1	1	1
48019	4	1	1	1
48019	5	1	1	1
48019	6	1	1	1
48019	7	1	1	1
48019	8	0	1	1
48019	9	0	1	1
48020	1	1	1	2
48020	2	1	1	1
48020	3	1	1	1
48020	4	1	1	1
48020	5	1	1	1
48020	6	1	1	2
48020	7	1	1	2
48020	8	1	1	1
48020	9	1	1	1
48021	1	0	1	6
48021	2	1	1	6
48021	3	0	1	6
48021	4	0	1	6
48021	5	1	1	6
48021	6	0	1	6
48021	7	1	1	6
48021	8	1	1	6
48021	9	1	1	6
48022	1	1	1	2
48022	2	1	1	6
48022	3	1	1	3
48022	4	1	1	1
48022	5	1	1	6
48022	6	1	1	6
48022	7	1	1	6
48022	8	0	1	6
48022	9	1	1	6
48023	1	0	1	6
48023	2	1	1	1
48023	3	1	1	1
48023	4	1	1	6
48023	5	1	1	1
48023	6	1	1	6
48023	7	1	1	2
48023	8	1	1	6
48023	9	1	1	6
48024	1	0	1	6
48024	2	1	1	6
48024	3	1	1	1
48024	4	1	1	1
48024	5	0	1	1
48024	6	0	0	1
48024	7	1	1	1
48024	8	0	1	6
48024	9	1	1	6
48025	1	1	1	6
48025	2	1	1	1
48025	3	1	1	6
48025	4	1	1	6
48025	5	1	1	6
48025	6	1	1	6
48025	7	1	1	6
48025	8	1	1	6
48025	9	1	1	6
48026	1	0	1	3
48026	2	1	1	3
48026	3	1	1	3
48026	4	1	1	1
48026	5	1	1	1
48026	6	0	1	1
48026	7	1	1	1
48026	8	0	1	1
48026	9	0	1	1
58002	1	0	1	1
58002	2	1	1	1
58002	3	0	1	1
58002	4	1	1	1
58002	5	1	1	1
58002	6	0	1	1
58002	7	1	1	1
58002	8	0	1	1
58002	9	1	1	6
58003	1	1	1	7
58003	2	1	1	7
58003	3	1	1	1
58003	4	0	1	1
58003	5	1	1	1
58003	6	1	1	1
58003	7	1	1	7
58003	8	0	1	1
58003	9	0	1	1
58004	1	0	1	1
58004	2	1	1	1
58004	3	1	1	1
58004	4	1	1	1
58004	5	1	1	1
58004	6	0	1	1
58004	7	1	1	1
58004	8	0	1	1
58004	9	0	1	1
58007	1	0	1	3
58007	2	0	1	3
58007	3	1	1	1
58007	4	1	1	1
58007	5	0	1	1
58007	6	1	1	1
58007	7	1	1	1
58007	8	0	1	1
58007	9	0	1	1
