CHILDCODE	LANGIDR5	LNCNSPR5	LNSPKR5	LNREADR5	LNWRTER5
158036	1	1	1	1	1
158036	2	8	5	4	4
158036	3	2	2	2	4
158036	4	5	5	5	4
158037	1	1	2	2	2
158038	1	1	1	1	1
158039	1	1	2	2	2
158040	1	1	2	3	2
158040	2	2	4	4	4
158041	1	1	2	1	2
158042	1	1	2	2	2
158042	2	8	2	2	4
158043	1	1	2	2	2
158044	1	1	1	2	2
158044	2	8	3	4	4
158045	1	1	1	1	1
158046	1	1	2	2	2
158048	1	1	1	1	2
158048	2	8	3	4	4
158050	1	1	1	2	2
158051	1	1	1	1	1
158051	2	14	2	2	2
158052	1	1	1	1	1
158053	1	14	1	2	2
158053	2	1	1	1	1
158054	1	14	1	2	2
158054	2	1	1	2	2
158055	1	14	3	5	5
158055	2	1	3	5	5
158056	1	1	2	2	3
158056	2	8	4	4	4
158057	1	1	2	2	2
158057	2	8	4	4	4
168001	1	2	1	3	2
168001	2	1	2	2	2
168001	3	8	4	4	5
168002	1	2	1	2	1
168005	1	2	2	2	3
168005	2	1	1	1	1
168006	1	2	1	2	2
168006	2	1	1	1	1
168007	1	1	2	2	2
168007	2	2	2	2	2
168008	1	2	1	1	1
168008	2	1	2	2	2
168009	1	2	2	3	3
168009	2	1	2	2	3
168010	1	1	1	1	1
168011	1	1	2	3	2
168011	2	8	3	3	3
168011	3	2	2	3	2
168012	1	1	2	2	2
168012	2	2	2	2	2
168013	1	2	2	2	2
168013	2	1	2	2	2
168015	1	2	2	3	2
168016	1	2	2	3	2
168016	2	1	1	1	1
168017	1	2	2	2	3
168017	2	1	1	1	1
168018	1	1	2	2	2
168018	2	2	3	3	3
168020	1	2	1	3	3
168020	2	1	3	2	2
168022	1	2	1	2	4
168022	2	1	2	2	2
168022	3	8	4	5	5
168024	1	1	2	2	2
168024	2	8	4	4	4
168025	1	2	1	4	4
168025	2	1	2	3	3
178001	1	1	1	1	1
178001	2	2	2	2	2
178002	1	2	3	2	3
178002	2	1	1	1	1
178003	1	1	1	1	1
178004	1	1	1	2	2
178004	2	8	4	4	4
178006	1	2	3	3	4
178006	2	1	1	1	1
178007	1	1	1	1	2
178009	1	2	3	5	5
178009	2	1	1	1	1
178010	1	1	2	3	2
178011	1	1	3	3	3
178015	1	1	2	2	2
178016	1	1	1	1	1
178016	2	2	3	3	4
178019	1	2	2	2	3
178019	2	1	1	1	1
178019	3	8	3	3	3
178020	1	1	1	1	1
178021	1	2	2	4	3
178021	2	1	1	1	1
