CHILDID	PASSID	ASSETR3	NUMOWNR3	VALASTR3	ASTACTR3
VN061006	1	25	1	4000	24
VN061008	1	25	1	10000	27
VN061009	1	24	1	17000	23
VN061012	1	25	1	5000	40
VN061013	1	1	2	10	11
VN061014	1	1	5	30	11
VN061014	2	6	0	0	11
VN061014	3	25	1	100	11
VN061015	1	40	1	1500	40
VN061015	2	40	20	300	40
VN061015	3	40	4	10	40
VN061016	1	8	2	4000	11
VN061017	1	3	1	50	12
VN061017	2	25	1	500	11
VN061017	3	6	0	0	11
VN061017	4	40	4	25000	23
VN061019	1	1	3	15	11
VN061019	2	3	2	10	11
VN061019	3	26	3	1000	21
VN061019	4	22	2	300	22
VN061019	5	30	1	500	11
VN061020	1	8	3	250	30
VN061021	1	40	3	3000	40
VN061021	2	40	40	1200	40
