PLACEID	LCPRIDR5	ITEMPRC1	ITEMVND1	ITEMINF1
601	16	3.5	1	4
601	17	3	1	4
601	18	0	16	4
601	19	.899999976158142	1	4
601	20	10.5	1	4
601	21	1	1	4
601	23	.25	1	4
601	24	4	16	4
601	25	1	1	4
601	27	9.80000019073486	1	4
601	28	12	1	4
601	29	10	1	4
601	30	3	1	4
601	32	14	1	4
601	33	5.5	1	4
601	34	1	1	4
601	35	2	1	4
601	36	5	1	4
601	37	1	1	4
601	38	0	16	4
601	39	.25	1	4
601	40	2	1	4
601	41	2.5	2	4
601	42	6	16	4
601	43	1.20000004768372	16	4
601	44	2	16	4
601	45	5	16	4
601	46	36.5	1	4
601	61	5	1	4
601	70	8	1	4
701	1	1	1	4
701	2	50	16	3
701	3	15	16	3
701	4	10	16	3
701	5	20	16	3
701	6	20	16	3
701	7	.0500000007450581	16	2
701	8	.0299999993294477	16	2
701	9	.119999997317791	16	2
701	10	.119999997317791	16	2
701	11	1.70000004768372	1	4
701	12	3	1	4
701	13	4.5	1	4
701	15	1	1	4
701	16	3	1	4
701	17	2.79999995231628	1	4
701	18	0	16	88
701	19	1.20000004768372	1	4
701	20	0	16	88
701	21	1.20000004768372	1	4
701	23	.200000002980232	1	4
701	24	1	1	4
701	25	1	1	4
701	27	8	1	4
701	28	10	16	4
701	29	0	16	1
701	30	2.20000004768372	1	4
701	32	10	1	4
701	33	6	1	4
701	34	1	1	4
701	35	1.5	1	4
701	36	4	1	4
701	37	1	1	4
701	38	0	16	88
701	39	.5	1	4
701	40	1.5	1	4
701	41	2	1	4
701	42	0	16	88
701	43	3	1	4
701	44	0	16	88
701	45	0	16	88
701	46	36	1	4
701	61	5	1	4
701	70	6.5	1	4
702	1	1.29999995231628	16	5
702	2	35	16	5
702	3	22	16	5
702	4	26	16	5
702	5	30	16	5
702	6	30	16	5
702	7	1	9	7
702	8	.5	9	7
702	9	.5	9	7
702	10	.899999976158142	9	7
702	11	1.20000004768372	1	5
702	12	3	1	5
702	13	4	1	5
702	15	1	1	5
702	16	3.09999990463257	1	5
702	17	2.90000009536743	1	5
702	18	0	16	5
702	19	1.20000004768372	1	5
702	20	13	1	5
702	21	1	1	5
702	23	.200000002980232	1	5
702	24	6	1	5
702	25	1.79999995231628	1	5
702	27	9	1	5
702	28	12	1	5
702	29	8	1	5
702	30	2.29999995231628	1	5
702	32	18	1	5
702	33	7	1	5
702	34	1.20000004768372	1	5
702	35	2.5	1	5
702	36	4.5	1	5
702	37	1.20000004768372	1	5
702	38	1.20000004768372	1	5
702	39	.5	1	5
702	40	1.5	1	5
702	41	1.5	1	5
702	42	4	1	5
702	43	1.60000002384186	1	5
702	44	3	1	5
702	45	0	16	5
702	46	38.5	1	5
702	61	7	1	5
702	70	7	1	5
703	1	1.5	16	6
703	2	60	16	3
703	3	40	16	6
703	4	40	16	6
703	5	50	1	6
703	6	50	1	6
703	7	0	16	88
703	8	.400000005960464	9	1
703	9	.400000005960464	9	1
703	10	0	16	88
703	11	2.5	1	3
703	12	3	1	3
703	13	4	1	3
703	15	1	1	3
703	16	3	1	3
703	17	2.5	1	3
703	18	0	15	88
703	19	1.20000004768372	1	3
703	20	12	1	3
703	21	1	1	3
703	23	.200000002980232	1	3
703	24	5	1	3
703	25	1	1	3
703	27	8.5	1	3
703	28	12	1	3
703	29	6	1	3
703	30	2.20000004768372	1	3
703	32	12	1	3
703	33	6.5	1	3
703	34	1	1	3
703	35	2	1	3
703	36	4.5	1	3
703	37	1.39999997615814	1	3
703	38	1.39999997615814	1	3
703	39	.5	1	3
703	40	1.5	1	3
703	41	1.5	1	3
703	42	5	1	3
703	43	2	1	3
703	44	3	1	3
703	45	4	1	3
703	46	38.7999992370605	1	3
703	61	5	1	3
703	70	7	1	3
707	1	1.5	16	6
707	2	40	16	6
707	3	25	16	6
707	4	25	16	6
707	5	30	16	6
707	6	30	16	6
707	7	0	16	88
707	8	.5	1	4
707	9	.5	1	4
707	10	.200000002980232	1	4
707	11	1.79999995231628	1	4
707	12	2.5	1	4
707	13	4	1	4
707	15	1	1	4
707	16	3.29999995231628	1	4
707	17	2.79999995231628	1	4
707	18	0	16	88
707	19	1	1	4
707	20	10.5	1	1
707	21	1	1	4
707	23	.200000002980232	1	4
707	24	5	1	7
707	25	1	1	4
707	27	7	1	4
707	28	12	1	4
707	29	8	1	4
707	30	2.5	1	4
707	32	18	1	4
707	33	6.59999990463257	1	4
707	34	1	1	4
707	35	2	1	4
707	36	5	1	4
707	37	1	1	4
707	38	1	1	4
707	39	.5	1	4
707	40	2	1	4
707	41	2	1	4
707	42	4.59999990463257	1	4
707	43	1.20000004768372	1	4
707	44	2.5	1	4
707	45	6	16	4
707	46	38	1	4
707	61	5	1	4
707	70	6	1	4
708	1	1.5	1	1
708	2	80	16	2
708	3	30	16	2
708	4	30	16	2
708	5	60	16	2
708	6	60	16	2
708	7	0	16	88
708	8	.5	16	2
708	9	2	16	2
708	10	0	16	88
708	11	2	16	2
708	12	3.20000004768372	1	1
708	13	4.80000019073486	1	1
708	15	1.20000004768372	1	1
708	16	3.29999995231628	1	1
708	17	2.79999995231628	1	1
708	18	0	16	88
708	19	1.20000004768372	1	1
708	20	16	1	1
708	21	1	1	1
708	23	.200000002980232	1	1
708	24	0	16	88
708	25	1.79999995231628	1	1
708	27	9	16	2
708	28	12	16	2
708	29	8	16	2
708	30	2.29999995231628	1	1
708	32	12	16	2
708	33	7.5	1	1
708	34	10	1	1
708	35	1.79999995231628	1	1
708	36	4	1	1
708	37	1	1	1
708	38	1.5	16	1
708	39	.5	1	1
708	40	2.5	16	2
708	41	2	16	2
708	42	5	16	2
708	43	2	16	2
708	44	3	16	2
708	45	16	16	2
708	46	39.5	1	1
708	61	6	1	1
708	70	9	16	2
709	1	1.5	1	2
709	2	50	16	1
709	3	15	16	1
709	4	15	16	1
709	5	35	16	1
709	6	40	16	1
709	7	.5	10	1
709	8	.0299999993294477	10	1
709	9	.119999997317791	10	1
709	10	.119999997317791	10	1
709	11	1.5	1	2
709	12	2.5	1	2
709	13	4	1	2
709	15	1	1	2
709	16	3	1	2
709	17	2.79999995231628	1	2
709	18	0	16	88
709	19	1	1	2
709	20	12	1	2
709	21	1	1	2
709	23	.300000011920929	1	2
709	24	0	16	88
709	25	1	1	2
709	27	8.5	1	2
709	28	9	14	3
709	29	8	14	3
709	30	2	1	2
709	32	10	1	2
709	33	6	1	2
709	34	1	1	2
709	35	1.5	1	2
709	36	4	1	2
709	37	1	1	2
709	38	0	16	88
709	39	.5	1	2
709	40	10	14	3
709	41	1.5	14	3
709	42	2.5	14	3
709	43	1.5	14	3
709	44	3	14	3
709	45	4	14	3
709	46	38	1	2
709	61	5	1	2
709	70	6	14	3
710	1	1.20000004768372	1	5
710	2	30	1	5
710	3	20	1	5
710	4	20	1	5
710	5	25	1	5
710	6	25	1	5
710	7	.5	10	2
710	8	.529999971389771	10	2
710	9	.119999997317791	1	2
710	10	.360000014305115	10	2
710	11	1.20000004768372	1	5
710	12	3	1	5
710	13	4	1	5
710	15	1.20000004768372	1	5
710	16	3	1	5
710	17	2.5	1	5
710	18	0	16	5
710	19	1.20000004768372	1	5
710	20	15	1	5
710	21	1	1	5
710	23	.200000002980232	1	5
710	24	4	1	5
710	25	1	1	5
710	27	8	1	5
710	28	10	1	5
710	29	6	1	5
710	30	2.20000004768372	1	5
710	32	15	1	5
710	33	6	1	5
710	34	1	1	5
710	35	2	1	5
710	36	4.5	1	5
710	37	1.39999997615814	1	5
710	38	1.39999997615814	1	5
710	39	.5	1	5
710	40	1.5	1	5
710	41	1.20000004768372	1	5
710	42	4	1	5
710	43	3	1	5
710	44	2.5	1	5
710	45	6	1	5
710	46	38.5	1	5
710	61	5.80000019073486	1	5
710	70	7	1	5
711	1	1.5	1	2
711	2	30	1	2
711	3	10	16	3
711	4	10	16	3
711	5	20	16	3
711	6	20	16	3
711	7	1	16	4
711	8	.5	16	4
711	9	1	16	4
711	10	.5	16	4
711	11	0	16	88
711	12	2.79999995231628	1	2
711	13	3.20000004768372	1	2
711	15	1	1	2
711	16	3.20000004768372	1	2
711	17	2.5	1	2
711	18	0	16	88
711	19	1.20000004768372	1	2
711	20	0	16	88
711	21	1	1	2
711	23	.200000002980232	1	2
711	24	0	16	88
711	25	1	1	2
711	27	8.5	16	2
711	28	0	16	88
711	29	7	16	2
711	30	2	1	2
711	32	12	1	2
711	33	7	1	2
711	34	1	1	2
711	35	0	16	88
711	36	4	16	2
711	37	1	1	2
711	38	0	16	88
711	39	.5	1	2
711	40	1.5	16	2
711	41	1	16	2
711	42	2	16	2
711	43	1.5	1	2
711	44	0	16	88
711	45	0	16	88
711	46	37.5	2	2
711	61	5	1	2
