childid	actidr3	actr3	actownr3	actmnyr3	acthpyr3
PE091026	3	3	1	0	5
PE091027	1	1	1	0	4
PE091027	2	2	1	0	4
PE091028	1	2	1	0	4
PE091029	1	2	1	0	5
PE091030	1	2	1	5	5
PE091030	2	1	1	5	5
PE091032	1	2	1	0	5
PE091033	1	2	1	0	 
PE091034	1	2	1	0	5
PE091034	2	1	1	0	4
PE091035	1	2	1	0	4
PE091035	2	3	1	0	4
PE091036	1	2	1	0	5
PE091037	1	1	1	0	4
PE091037	2	2	1	0	4
PE091037	3	3	1	0	4
PE091038	1	2	1	0	5
PE091039	1	1	1	0	5
PE091039	2	2	1	0	5
PE091040	1	1	1	0	5
PE091041	1	1	1	0	4
PE091041	2	2	1	0	2
PE091042	1	2	1	0	5
PE091042	2	3	1	0	5
PE091043	1	2	1	0	4
PE091043	2	1	1	0	4
PE091043	3	1	1	0	2
PE091043	4	3	1	0	4
PE091044	1	2	1	0	5
PE091045	1	1	1	0	5
PE091045	2	4	1	0	5
PE091046	1	2	1	5	5
PE091046	2	3	1	0	5
PE091047	1	1	1	0	 
PE091048	1	1	1	0	4
PE091048	2	2	1	0	4
PE091049	1	2	1	0	5
PE091050	1	1	1	0	2
PE091051	1	1	1	0	4
PE091051	2	2	1	0	4
PE091052	1	2	1	0	4
PE091053	1	2	1	0	5
PE091054	1	2	1	0	5
PE091055	1	2	1	0	4
PE091056	1	2	1	0	5
PE091056	2	2	1	0	5
PE091057	1	1	1	0	4
PE091057	2	2	1	0	4
PE091059	1	2	1	0	5
PE091060	1	2	1	0	5
PE091060	2	2	1	0	5
PE091060	3	3	1	0	5
PE091060	4	2	1	0	5
PE091060	5	2	1	0	5
PE091061	1	2	1	0	5
PE091062	1	2	1	0	5
PE091062	2	1	1	0	5
PE091063	1	2	1	0	5
PE091063	2	2	1	0	5
PE091064	1	2	1	0	5
PE091064	2	1	1	0	5
PE091064	3	3	1	0	5
PE091065	1	2	1	0	5
PE091065	2	1	1	5	5
PE091066	1	2	1	0	5
PE091066	2	2	1	0	5
PE091067	1	1	1	0	4
PE091067	2	2	1	0	4
PE091068	1	2	1	0	5
PE091068	2	1	1	0	5
PE091069	1	1	1	0	4
PE091069	2	2	1	0	2
PE091071	1	2	1	0	5
PE091071	2	1	1	0	5
PE091073	1	1	1	0	4
PE091074	1	2	1	0	5
PE091074	2	1	1	0	1
PE091074	3	3	1	0	4
PE091075	1	2	1	0	5
PE091075	2	3	1	0	5
PE091076	1	1	1	0	4
PE091076	2	2	1	0	4
PE091077	1	2	1	0	4
PE091077	2	1	1	0	5
PE091078	1	2	1	0	5
PE091079	1	1	1	0	4
PE091079	2	2	1	0	4
PE091081	1	2	1	0	4
PE091081	2	1	1	0	4
PE091082	1	6	2	5	4
PE091082	2	2	1	0	2
PE091082	3	2	1	0	4
PE091083	1	2	1	0	5
PE091085	1	2	1	0	3
PE091087	1	2	1	0	4
PE091087	2	1	1	0	4
PE091088	1	2	1	0	5
PE091088	2	1	1	0	4
PE091089	1	2	1	0	5
PE091090	1	2	1	0	5
PE091091	1	1	1	0	5
PE091091	2	2	1	0	5
PE091092	1	1	1	5	5
PE091092	2	2	1	0	4
PE091093	1	1	1	0	4
PE091093	2	2	1	0	4
PE091094	1	1	1	0	5
PE091094	2	2	1	0	5
PE091095	1	1	1	0	 
PE091095	2	1	1	0	 
PE091096	1	1	1	0	4
PE091096	2	2	1	0	4
