childid	foodid	foodcode	foodnum	foodamt	foodcost
PE168007	4	9	9	2	.5
PE168008	1	1	6	3	1.20000004768372
PE168008	2	3	6	1	3
PE168009	1	1	6	2	1
PE168010	1	1	4	6	1.5
PE168010	2	3	4	2	3
PE168011	1	8	6	1	1.5
PE168011	2	1	6	6	1.20000004768372
PE168012	1	1	6	4	1
PE168012	2	8	6	1	1
PE168012	3	4	11	3	5
PE168012	4	8	2	23	2
PE168012	5	6	2	23	1
PE168012	6	5	2	1	4.5
PE168012	7	10	140	3	.5
PE168012	8	9	140	3	.300000011920929
PE168013	1	10	160	4	.5
PE168013	2	9	160	4	.5
PE168015	1	1	6	6	1.20000004768372
PE168015	2	3	6	1	2
PE168015	3	10	180	1	.5
PE168015	4	9	180	1	.300000011920929
PE168016	1	8	4	1	2
PE168016	2	1	4	6	1
PE168017	1	1	6	6	.800000011920929
PE168017	2	3	6	1	3
PE168018	1	1	12	3	1.20000004768372
PE168018	2	3	12	500	2
PE168019	1	1	5	3	1
PE168019	2	1	5	.5	3
PE168019	3	10	140	3	.5
PE168019	4	9	140	3	.5
PE168020	1	1	6	12	1.20000004768372
PE168020	2	8	6	2	1.5
PE168021	1	10	160	1	.5
PE168021	2	9	160	0	.5
PE168022	1	9	180	1	.5
PE168022	2	10	180	1	.5
PE168023	1	10	140	1	.5
PE168023	2	9	140	1	.300000011920929
PE168024	1	10	140	3	.5
PE168024	2	9	140	3	.400000005960464
PE168024	3	1	10	6	1
PE168025	1	1	6	6	1
PE168025	2	3	6	2	3
PE178001	1	10	180	2	3.5
PE178002	1	1	4	4	2.20000004768372
PE178002	2	3	4	3	2
PE178002	3	10	360	2	3
PE178003	1	10	180	1	.5
PE178004	1	10	72	4	1
PE178006	1	10	180	2	.5
PE178007	1	10	14	2	1
PE178007	2	9	14	2	.100000001490116
PE178009	1	3	4	3	.800000011920929
PE178009	2	1	4	1	2.20000004768372
PE178009	3	10	180	2	2.5
PE178010	1	10	190	2	1.5
PE178011	1	1	2	3	2.20000004768372
PE178011	2	3	2	6	1
PE178011	3	10	360	2	2
PE178013	1	10	180	1	2.5
PE178015	1	1	4	4	2.20000004768372
PE178015	2	3	4	4	1
PE178015	3	10	180	4	1
PE178016	1	10	160	1	1
PE178019	1	1	4	7	2
PE178019	2	3	4	4	1
PE178019	3	10	180	1	3
PE178020	1	1	4	4	2.20000004768372
PE178020	2	8	4	4	1
PE178020	3	10	160	1	1.5
PE178021	1	1	4	7	2
PE178021	2	3	4	1	2
PE178021	3	10	180	4	3
PE178022	1	10	180	1	1
PE178024	1	10	160	1	3
PE178025	1	3	2	3	2
PE178025	2	1	2	9	2.20000004768372
PE178025	3	10	180	2	3
PE178026	1	1	4	4	2
PE178026	2	3	4	1	4
PE178027	1	10	180	1	3
PE178028	1	10	280	2	2
PE178029	1	1	6	8	2
