CHILDCODE	ASSTIDR5	ASSETR5	NUMASSR5	ASACTR5	NMOWNR5	VLASTR5
61021	2	 	 	 	 	 
61021	3	 	 	 	 	 
61022	1	 	 	 	 	 
61022	2	 	 	 	 	 
61022	3	 	 	 	 	 
61023	1	4	1	11	1	300
61023	2	1	6	11	6	240
61023	3	88	 	 	 	 
61024	1	1	2	11	2	40
61024	2	4	1	11	1	200
61024	3	88	 	 	 	 
61025	1	 	 	 	 	 
61025	2	 	 	 	 	 
61025	3	 	 	 	 	 
61026	1	1	11	11	11	475
61026	2	4	2	11	2	200
61026	3	88	 	 	 	 
61027	1	1	13	11	13	845
61027	2	4	11	10	11	1000
61027	3	88	 	 	 	 
61029	1	1	13	11	13	430
61029	2	4	2	11	2	210
61029	3	88	 	 	 	 
61031	1	1	4	11	4	120
61031	2	4	1	11	1	80
61031	3	88	 	 	 	 
61033	1	1	8	11	8	160
61033	2	4	1	11	1	60
61033	3	88	 	 	 	 
61034	1	1	11	11	9	670
61034	2	4	8	11	8	380
61034	3	88	 	 	 	 
61036	1	 	 	 	 	 
61036	2	 	 	 	 	 
61036	3	 	 	 	 	 
61037	1	1	8	11	3	120
61037	2	4	6	11	0	 
61037	3	88	 	 	 	 
61038	1	1	9	11	8	470
61038	2	4	1	11	1	380
61038	3	88	 	 	 	 
61039	1	1	9	11	9	700
61039	2	4	5	11	5	600
61039	3	88	 	 	 	 
61043	1	1	12	11	11	550
61043	2	4	7	11	7	250
61043	3	88	 	 	 	 
61044	1	1	8	11	8	300
61044	2	4	1	11	1	110
61044	3	88	 	 	 	 
61046	1	1	1	11	1	260
61046	2	4	1	11	1	150
61046	3	88	 	 	 	 
61049	1	4	1	11	1	300
61049	2	1	12	11	12	720
61049	3	88	 	 	 	 
61050	1	5	11	11	11	200
61050	2	1	3	11	3	400
61050	3	88	 	 	 	 
61051	1	 	 	 	 	 
61051	2	 	 	 	 	 
61051	3	 	 	 	 	 
61052	1	4	2	11	2	300
61052	2	1	11	11	10	300
61052	3	88	 	 	 	 
61054	1	1	5	11	5	300
61054	2	88	 	 	 	 
61054	3	88	 	 	 	 
61056	1	 	 	 	 	 
61056	2	 	 	 	 	 
61056	3	 	 	 	 	 
61057	1	 	 	 	 	 
61057	2	 	 	 	 	 
61057	3	 	 	 	 	 
61058	1	1	6	11	6	240
61058	2	4	1	11	1	90
61058	3	88	 	 	 	 
61059	1	1	13	11	13	625
61059	2	4	1	11	1	260
61059	3	88	 	 	 	 
71001	1	1	5	11	5	260
71001	2	4	1	11	1	90
71001	3	88	 	 	 	 
71002	1	 	 	 	 	 
71002	2	 	 	 	 	 
71002	3	 	 	 	 	 
71003	1	2	1	11	1	8000
71003	2	1	11	11	1	298
71003	3	4	1	11	1	60
71004	1	13	8	7	8	385
71004	2	88	 	 	 	 
71004	3	88	 	 	 	 
71006	1	30	1	26	1	20000
71006	2	30	1	12	1	15000
71006	3	30	1	12	1	4000
71007	1	4	7	11	7	350
71007	2	1	11	11	11	800
71007	3	2	1	11	1	8000
71008	1	1	4	11	3	100
71008	2	4	1	11	0	 
71008	3	88	 	 	 	 
71009	1	4	1	11	1	250
71009	2	1	4	11	4	360
71009	3	3	1	11	1	300
71010	1	 	 	 	 	 
71010	2	 	 	 	 	 
71010	3	 	 	 	 	 
71012	1	1	4	11	4	200
71012	2	4	1	11	1	100
71012	3	88	 	 	 	 
71013	1	1	3	11	3	210
71013	2	4	1	11	1	160
71013	3	88	 	 	 	 
71014	1	1	7	11	7	470
71014	2	4	1	11	1	100
71014	3	88	 	 	 	 
71015	1	2	3	11	3	210
71015	2	4	1	11	1	150
71015	3	88	 	 	 	 
71016	1	1	3	11	3	240
71016	2	4	2	11	2	300
71016	3	88	 	 	 	 
71017	1	 	 	 	 	 
71017	2	 	 	 	 	 
71017	3	 	 	 	 	 
71018	1	1	2	11	2	130
71018	2	4	1	11	0	 
71018	3	88	 	 	 	 
71019	1	 	 	 	 	 
71019	2	 	 	 	 	 
71019	3	 	 	 	 	 
71020	1	 	 	 	 	 
71020	2	 	 	 	 	 
71020	3	 	 	 	 	 
71021	1	1	5	11	5	350
71021	2	4	1	11	1	120
71021	3	88	 	 	 	 
71022	1	4	7	11	7	600
71022	2	1	6	11	6	450
71022	3	88	 	 	 	 
71024	1	1	7	11	7	390
71024	2	4	1	11	1	50
71024	3	88	 	 	 	 
71025	1	1	5	11	5	350
71025	2	4	2	11	2	250
71025	3	88	 	 	 	 
71026	1	4	1	11	1	150
71026	2	1	2	11	2	120
71026	3	88	 	 	 	 
71028	1	4	5	11	5	450
71028	2	1	8	11	8	500
71028	3	88	 	 	 	 
71029	1	1	4	11	4	235
71029	2	88	 	 	 	 
71029	3	88	 	 	 	 
71030	1	12	1	26	1	60
71030	2	88	 	 	 	 
71030	3	88	 	 	 	 
71031	1	 	 	 	 	 
71031	2	 	 	 	 	 
71031	3	 	 	 	 	 
71032	1	 	 	 	 	 
71032	2	 	 	 	 	 
71032	3	 	 	 	 	 
71033	1	1	6	11	6	420
71033	2	4	5	11	5	300
71033	3	88	 	 	 	 
71034	1	2	1	24	1	7000
71034	2	15	5	12	5	1580
71034	3	88	 	 	 	 
71035	1	1	6	11	2	250
71035	2	4	2	11	2	180
71035	3	88	 	 	 	 
71037	1	1	5	11	5	330
71037	2	4	3	11	3	300
71037	3	88	 	 	 	 
71038	1	1	6	11	6	420
71038	2	4	2	11	2	300
71038	3	88	 	 	 	 
71039	1	1	6	11	6	300
71039	2	4	1	11	1	100
71039	3	88	 	 	 	 
71040	1	 	 	 	 	 
71040	2	 	 	 	 	 
71040	3	 	 	 	 	 
71042	1	 	 	 	 	 
71042	2	 	 	 	 	 
71042	3	 	 	 	 	 
