CHILDCODE	SPPGIDR5	SUPKNDR5	SUPWHOR5	SUPSRTR5	SUPENDR5	SUPFRQR5	SUPRIDR5
91024	3	17	6	1999	9999	6	90
91025	1	1	5	1996	9999	6	70
91025	2	20	33	2008	9999	7	70
91025	3	5	13	2003	9999	1	1
91025	4	8	6	2000	9999	5	2
91025	5	17	6	2003	9999	6	70
91026	1	1	5	2000	9999	1	70
91026	2	20	33	2008	9999	7	70
91026	3	8	6	1999	9999	6	70
91027	1	1	5	2002	9999	1	70
91027	2	17	6	2002	9999	3	70
91027	3	20	33	2008	9999	7	70
91028	1	1	5	2000	9999	1	70
91028	2	3	39	2008	9999	6	70
91028	3	5	13	2007	9999	1	70
91029	1	1	5	1998	9999	1	70
91029	2	17	6	2000	9999	3	70
91029	3	5	13	2008	9999	1	0
91029	4	8	6	2004	9999	5	0
91029	5	20	33	2008	9999	7	70
91030	1	1	5	1998	9999	1	70
91030	2	17	6	2002	9999	6	70
91030	3	20	33	2008	9999	7	70
91031	1	1	5	1998	9999	1	70
91031	2	17	6	2000	9999	6	70
91031	3	20	33	2008	9999	7	70
91032	1	20	33	2008	9999	7	70
91032	2	8	6	2000	9999	5	2
91033	1	1	5	2000	9999	1	70
91033	2	3	39	2000	9999	6	70
91033	3	20	33	2008	9999	7	70
91034	1	17	6	2004	9999	1	70
91034	2	5	13	2007	9999	1	5
91034	3	8	6	1998	9999	5	5
91035	1	1	5	1996	9999	4	70
91035	2	20	33	2008	9999	7	70
91035	3	8	13	2006	9999	7	1
91035	4	17	6	1999	9999	5	70
91036	1	1	5	1986	9999	4	70
91036	2	20	33	2008	9999	7	70
91036	3	17	6	1999	9999	5	70
91036	4	7	6	2000	9999	6	70
91037	1	1	5	2000	9999	1	70
91037	2	20	33	2008	9999	7	70
91038	1	1	5	1999	9999	1	70
91038	2	17	6	2000	9999	1	70
91038	3	20	33	2008	9999	7	70
91040	1	20	33	2008	9999	7	70
91040	2	5	13	2002	9999	1	2
91040	3	1	5	2000	9999	1	70
91041	1	1	5	1986	9999	3	70
91041	2	5	13	2000	9999	7	2
91041	3	20	33	2008	9999	7	70
91041	4	17	6	1999	9999	5	70
91042	1	1	5	1998	9999	1	70
91042	2	17	6	2006	9999	1	70
91042	3	8	6	2004	9999	5	0
91043	1	20	33	2008	9999	7	0
91044	1	1	5	1997	9999	6	70
91044	2	20	33	2008	9999	7	70
91044	3	8	6	1992	9999	5	2
91044	4	17	6	1998	9999	6	70
91046	1	1	5	1999	9999	1	70
91046	2	17	6	2005	9999	5	70
91046	3	25	39	2006	9999	7	70
91046	4	20	33	2008	9999	7	70
91047	1	17	6	1998	9999	5	70
91047	2	20	33	2008	9999	7	70
91047	3	1	5	1986	9999	4	70
91048	1	25	39	2008	9999	6	70
91048	2	20	33	2008	9999	7	70
91048	3	1	5	1996	9999	5	70
91048	4	8	6	1999	9999	5	3
91048	5	5	13	2004	2008	7	2
91049	1	1	5	2007	9999	6	70
91049	2	20	33	2008	9999	7	70
91049	3	8	6	2009	9999	8	0
91050	1	1	5	2006	9999	6	70
91050	2	8	6	2008	9999	9	0
91050	3	20	33	2008	9999	7	80
91050	4	17	6	2006	9999	6	70
101006	1	1	5	1999	9999	1	70
101006	2	17	6	2004	9999	6	70
101006	3	5	13	2007	9999	1	21
101006	4	8	6	2007	9999	9	0
101011	1	17	6	2006	9999	2	70
101012	1	5	13	1998	9999	1	2
101012	2	8	6	2000	9999	7	80
101013	1	 	 	 	 	 	 
101014	1	 	 	 	 	 	 
101016	1	17	6	2006	9999	2	70
101017	1	 	 	 	 	 	 
101018	1	5	13	2002	9999	1	2
101018	2	7	5	2000	9999	1	80
101021	1	17	6	2002	9999	8	80
101022	1	5	13	2008	9999	1	2
101022	2	17	6	2002	9999	2	80
101027	1	8	6	2000	9999	7	0
101029	2	17	6	2003	9999	2	80
101029	3	20	8	2009	9999	77	80
101032	1	20	8	2002	2008	2	15
101032	2	31	36	2005	9999	1	1
101037	1	23	15	1987	9999	6	16
101044	1	5	36	1992	9999	1	80
101045	1	5	13	2003	9999	1	2
101045	2	17	6	2006	9999	2	80
111003	1	17	6	2009	9999	3	80
111004	1	1	5	1998	9999	4	17
111004	2	17	6	2006	9999	5	80
111005	1	8	6	1998	9999	2	2
111005	2	5	13	1999	9999	1	1
111006	1	8	6	2005	9999	5	0
111006	2	17	6	2008	9999	3	80
111008	1	8	6	1998	9999	2	2
111008	2	17	6	2006	9999	2	70
111009	1	8	6	1997	9999	1	2
111009	2	17	6	1997	9999	5	70
111012	1	1	5	2000	9999	2	1
111012	2	17	6	1998	9999	3	80
111013	1	17	6	2008	9999	3	80
111016	1	1	5	2003	9999	3	1
111016	2	8	6	1999	9999	5	2
111017	1	1	5	2000	2007	7	19
111017	2	5	13	2008	9999	1	19
111018	1	1	5	2004	9999	1	70
111018	2	17	6	2006	9999	2	70
111019	1	5	13	2007	9999	8	1
111021	1	8	6	1993	9999	5	2
111021	2	1	5	2006	9999	3	1
111021	3	5	13	2008	9999	1	1
111021	4	17	6	2006	9999	7	2
111022	1	8	6	2008	9999	5	10
111022	2	17	6	2008	9999	2	80
111025	1	5	6	2008	9999	5	80
111025	2	5	13	2008	9999	8	2
111027	1	8	5	2004	2007	5	0
111028	1	1	5	1999	9999	1	70
111028	2	17	6	2005	9999	3	80
111030	1	8	6	2007	9999	5	8
111030	2	1	5	2007	9999	4	7
111031	1	1	5	2002	9999	2	1
111031	2	8	6	2001	9999	5	2
111031	3	5	13	2008	9999	1	1
111032	1	1	5	1998	9999	2	1
111032	2	17	6	2006	9999	2	70
111032	3	10	5	2006	9999	3	1
111034	1	1	5	1980	9999	1	1
111034	2	1	5	1990	9999	1	2
111034	3	17	6	2000	9999	5	80
111036	1	17	6	2008	9999	5	80
111037	1	1	5	1985	9999	6	1
111037	2	8	6	1985	9999	7	2
111042	1	17	6	2009	9999	6	80
111042	2	8	6	2008	9999	3	0
111043	1	17	6	2008	9999	1	80
111045	1	8	6	2008	9999	5	11
111048	1	17	6	2009	9999	5	80
111048	2	5	13	2008	9999	8	80
121002	1	1	5	1996	9999	2	70
121002	2	17	6	2000	9999	1	70
121003	1	28	36	2008	9999	9	70
121007	1	28	36	2007	9999	9	70
121008	1	8	6	2007	9999	9	7
121008	2	18	6	2004	9999	5	70
121009	1	1	5	1990	9999	1	0
121009	2	1	5	2000	9999	1	70
121010	1	8	6	2008	9999	7	0
121011	1	1	5	1996	9999	1	70
121012	1	1	5	1999	9999	1	70
121014	1	7	57	2007	2007	1	70
121014	2	17	36	2008	2009	3	80
121015	1	1	5	1999	9999	7	70
121015	2	5	5	2004	9999	1	70
121015	3	26	11	2006	9999	9	70
121018	1	1	5	2001	9999	1	70
121018	2	26	15	2007	9999	9	70
121018	3	5	5	2001	9999	1	70
121020	1	8	6	2008	9999	5	0
121020	2	17	6	2007	9999	5	21
121021	1	26	15	2007	9999	9	70
121022	1	1	5	2005	9999	7	70
121023	1	1	5	2007	9999	1	70
121024	1	18	6	2002	9999	6	70
121027	1	5	13	2009	9999	1	18
121028	1	26	15	2008	9999	8	70
121030	1	5	13	2008	9999	1	0
121039	1	23	11	1998	9999	7	80
121043	1	1	5	1998	9999	1	80
121043	2	20	11	2005	9999	1	2
121043	3	17	6	2002	9999	1	70
121046	1	17	6	2009	9999	5	70
121053	1	8	6	2008	9999	2	70
121055	1	28	36	2007	9999	9	70
121055	2	27	15	2008	9999	77	70
131001	1	17	6	2000	9999	2	70
131001	2	5	15	2009	9999	7	1
131002	1	5	58	2004	9999	9	2
131002	2	17	6	2003	9999	7	80
131004	1	5	15	2005	9999	9	2
131004	2	3	5	2005	2008	2	80
131005	1	5	13	2007	9999	7	2
131005	2	8	6	1995	9999	5	2
131005	3	17	6	2004	9999	7	70
131006	1	16	15	2008	9999	88	70
131006	2	23	6	2008	2009	8	4
131007	1	17	6	2005	9999	5	80
131008	1	5	6	2003	9999	7	70
131008	2	17	6	2004	9999	6	0
131009	1	5	58	2001	9999	9	2
131009	2	17	6	2006	9999	1	2
131010	1	17	6	2009	9999	5	70
131010	2	8	6	2004	9999	5	0
131011	1	17	6	2000	9999	2	70
131011	2	5	15	2006	9999	7	2
131012	1	1	5	1998	9999	1	80
131012	2	17	6	2002	9999	5	70
131013	1	5	13	2008	9999	9	0
131013	2	8	6	2008	9999	8	0
131013	3	17	6	2007	9999	7	0
131015	1	1	5	2005	9999	1	80
131016	1	17	6	1998	9999	5	70
131016	2	1	5	1998	9999	2	1
131017	1	5	58	2002	9999	9	2
131017	2	8	6	1990	9999	5	2
131017	3	17	6	2006	9999	7	2
131018	1	17	6	2000	9999	6	70
131020	1	17	6	2003	9999	4	70
131021	1	17	6	2004	9999	5	80
131022	1	5	58	2007	9999	9	1
131022	2	17	6	2004	9999	2	1
131023	1	17	6	2000	9999	2	70
131024	1	17	6	2000	9999	7	70
131024	2	5	13	2006	9999	1	4
131025	1	5	13	2005	9999	6	2
131025	2	17	6	2002	9999	5	70
131026	1	7	6	2001	9999	6	70
131026	2	17	6	2002	9999	6	70
131026	3	5	13	2004	9999	5	70
131027	1	5	58	2002	9999	9	90
131027	2	17	6	2008	9999	7	70
131027	3	8	6	2008	9999	7	22
131028	1	5	13	2004	9999	7	0
