CHILDCODE	LANDIDR5	LNDTYPR5	TOTLNDR5	UNTLNDR5	PRIRRR5	TOTLIVR5	UNTLIVR5
191026	2	N	 	 	 	 	 
191027	1	Y	0	 	 	175	17
191027	2	N	 	 	 	 	 
191029	1	Y	.5	4	5	74	17
191029	2	N	 	 	 	 	 
191030	1	Y	1	4	5	130	17
191030	2	N	 	 	 	 	 
191031	1	N	 	 	 	 	 
191031	2	Y	0	 	 	175	17
191032	1	Y	3	4	5	300	17
191032	2	N	 	 	 	 	 
191033	1	Y	1.5	4	1	200	17
191033	2	N	 	 	 	 	 
191034	1	Y	0	 	 	200	17
191034	2	N	 	 	 	 	 
191036	1	N	 	 	 	 	 
191036	2	Y	0	 	 	25	17
191037	1	Y	2	4	5	89	17
191037	2	N	 	 	 	 	 
191038	1	N	 	 	 	 	 
191038	2	Y	0	 	 	100	17
191039	1	N	 	 	 	 	 
191039	2	Y	0	 	 	24	17
191040	1	Y	6	4	5	500	17
191040	2	N	 	 	 	 	 
191042	1	Y	4	4	5	400	17
191042	2	N	 	 	 	 	 
191043	1	Y	0	 	 	500	17
191043	2	N	 	 	 	 	 
191044	1	Y	0	 	 	363	17
191044	2	N	 	 	 	 	 
191045	1	Y	2	4	4	500	17
191045	2	N	 	 	 	 	 
191046	1	Y	0	 	 	800	17
191046	2	N	 	 	 	 	 
191047	1	N	 	 	 	 	 
191047	2	Y	0	 	 	9	15
191048	1	N	 	 	 	 	 
191048	2	Y	0	 	 	70	17
191049	1	Y	0	 	 	175	17
191049	2	N	 	 	 	 	 
191050	1	Y	0	 	 	375	17
191050	2	N	 	 	 	 	 
191051	1	Y	2	4	5	150	17
191051	2	N	 	 	 	 	 
201001	1	N	 	 	 	 	 
201001	2	Y	0	 	 	16	17
201003	1	Y	5	4	5	500	17
201003	2	N	 	 	 	 	 
201005	1	N	 	 	 	 	 
201005	2	Y	0	 	 	12	17
201006	1	Y	2	4	5	2500	17
201006	2	Y	2	4	1	0	 
201009	1	N	 	 	 	 	 
201009	2	Y	0	 	 	16	17
201010	1	N	 	 	 	 	 
201010	2	N	 	 	 	 	 
201011	1	Y	1	4	5	400	17
201011	2	Y	2	4	5	0	 
201012	1	Y	2	4	5	400	17
201012	2	Y	.5	4	5	0	 
201013	1	N	 	 	 	 	 
201013	2	Y	0	 	 	12	17
201015	1	Y	3	4	5	400	17
201015	2	N	 	 	 	 	 
201017	1	N	 	 	 	 	 
201017	2	Y	0	 	 	9	17
201018	1	Y	2	4	5	800	17
201018	2	Y	1	4	4	0	 
201019	1	N	 	 	 	 	 
201019	2	Y	0	 	 	30	17
201020	1	N	 	 	 	 	 
201020	2	Y	0	 	 	6	17
201021	1	N	 	 	 	 	 
201021	2	Y	0	 	 	6	17
201022	1	N	 	 	 	 	 
201022	2	Y	0	 	 	175	17
201023	1	N	 	 	 	 	 
201023	2	Y	0	 	 	15	17
201025	1	N	 	 	 	 	 
201025	2	N	 	 	 	 	 
201027	1	Y	0	 	 	400	17
201027	2	N	 	 	 	 	 
201028	1	N	 	 	 	 	 
201028	2	Y	0	 	 	65	17
201029	1	Y	4	4	5	1200	17
201029	2	Y	2	4	5	0	 
201030	1	N	 	 	 	 	 
201030	2	Y	0	 	 	20	17
201031	1	N	 	 	 	 	 
201031	2	Y	0	 	 	16	17
201032	1	Y	3	4	5	.5	4
201032	2	N	 	 	 	 	 
201035	1	Y	5	4	1	.5	4
201035	2	N	 	 	 	 	 
201036	1	Y	3	4	1	1400	17
201036	2	N	 	 	 	 	 
201037	1	Y	1	4	5	400	17
201037	2	N	 	 	 	 	 
201038	1	Y	2	4	5	.5	4
201038	2	N	 	 	 	 	 
201039	1	Y	.5	4	5	0	 
201039	2	Y	0	 	 	12	17
201040	1	Y	0	 	 	175	17
201040	2	N	 	 	 	 	 
201042	1	Y	3	4	5	900	17
201042	2	Y	1	4	5	0	 
201044	1	N	 	 	 	 	 
201044	2	Y	0	 	 	12	17
201046	1	Y	3	4	1	2100	17
201046	2	N	 	 	 	 	 
201047	1	Y	4	4	5	.5	4
201047	2	N	 	 	 	 	 
201048	1	N	 	 	 	 	 
201048	2	Y	0	 	 	20	17
201049	1	N	 	 	 	 	 
201049	2	N	 	 	 	 	 
201050	1	Y	3	4	5	1500	17
201050	2	N	 	 	 	 	 
