placeid	rsid	module	section	ageres	sexres	capac	livres
PE03C09	10	1	1	45	1	8	45
PE03C09	11	1	1	40	2	8	40
PE03C09	12	1	1	60	2	8	60
PE03C09	13	1	5	48	2	7	48
PE03C09	14	1	5	36	2	7	36
PE03C09	15	1	5	28	2	7	28
PE03C09	16	1	5	34	2	7	34
PE03C09	17	1	5	44	2	7	44
PE03C09	18	2	1	36	2	4	5
PE03C09	19	2	1	52	1	4	25
PE03C09	20	2	4	27	2	3	1
PE03C09	21	2	5	38	2	2	15
PE04C01	1	1	1	42	2	1	42
PE04C01	2	1	1	26	1	1	26
PE04C01	3	1	1	38	1	1	14
PE04C01	4	1	1	38	1	1	3
PE04C01	5	1	1	31	2	1	31
PE04C01	6	1	1	42	1	2	5
PE04C01	7	2	1	45	1	4	45
PE04C01	8	2	2	37	2	4	37
PE04C01	9	2	4	35	2	3	35
PE04C01	10	1	5	24	2	7	24
PE04C01	11	1	5	40	2	7	40
PE04C01	12	1	4	33	1	8	33
PE04C01	13	1	5	32	1	7	5
PE04C01	14	1	5	40	1	7	8
PE04C01	15	1	5	47	2	7	12
PE04C01	16	1	5	46	2	7	13
PE04C01	17	2	5	48	2	2	48
PE04C01	18	2	5	55	1	2	12
PE04C02	1	1	1	50	1	4	8
PE04C02	2	1	1	50	1	1	16
PE04C02	3	1	1	45	1	1	16
PE04C02	4	2	3	47	2	8	16
PE04C02	5	2	3	46	2	8	25
PE04C02	6	2	3	39	2	4	23
PE04C02	7	1	1	63	1	8	20
PE04C02	8	1	1	84	1	8	22
PE04C02	9	2	3	28	2	8	7
PE04C02	10	2	4	31	1	3	0
PE04C02	11	2	4	26	1	3	3
PE04C02	12	1	3	33	2	3	0
PE04C02	13	2	5	52	1	1	9
PE04C02	14	1	3	37	2	8	12
PE04C02	15	1	5	47	2	7	12
PE04C02	16	1	5	31	2	7	31
PE04C02	17	1	5	25	1	7	25
PE04C02	18	1	5	32	1	7	5
PE04C02	19	1	5	40	1	7	8
PE04C02	20	1	5	46	2	7	13
PE04C02	21	1	5	40	2	7	14
PE04C03	1	2	4	30	1	3	4
PE04C03	2	1	1	32	1	1	32
PE04C03	3	1	1	44	1	1	23
PE04C03	4	1	1	24	1	2	1
PE04C03	5	1	1	39	1	2	1
PE04C03	6	1	2	22	2	4	22
PE04C03	7	2	3	44	2	4	11
PE04C03	8	2	3	45	2	4	45
PE04C03	9	2	3	38	1	4	0
PE04C03	10	2	4	36	2	3	0
PE04C03	11	2	4	37	1	3	4
PE04C03	12	1	5	27	2	7	9
PE04C03	13	1	5	27	2	7	27
PE04C03	14	1	5	37	1	7	37
PE04C03	15	1	5	39	2	4	39
PE04C03	16	1	5	45	2	7	9
PE04C03	17	1	3	56	1	8	24
PE04C03	18	2	5	44	1	1	44
PE04C03	19	1	5	39	1	7	39
PE04C03	20	1	5	47	2	7	12
