FORMNO	CHILDID	SASSID	SASSET	NUMSASS	VALSASS	DECSASS
R2INDX	IN040094	2	88	88	-88	88
R2INDX	IN040094	3	88	88	-88	88
R2INDX	IN040095	1	88	88	-88	88
R2INDX	IN040095	2	88	88	-88	88
R2INDX	IN040095	3	88	88	-88	88
R2INDX	IN040096	1	1	8	450	2
R2INDX	IN040096	2	4	2	200	2
R2INDX	IN040096	3	88	88	-88	88
R2INDX	IN040097	1	1	4	200	1
R2INDX	IN040097	2	88	88	-88	88
R2INDX	IN040097	3	88	88	-88	88
R2INDX	IN040098	1	1	5	200	4
R2INDX	IN040098	2	4	2	300	4
R2INDX	IN040098	3	88	88	-88	88
R2INDX	IN040099	1	30	4	200	1
R2INDX	IN040099	2	88	88	-88	88
R2INDX	IN040099	3	88	88	-88	88
R2INDX	IN040100	1	1	7	300	1
R2INDX	IN040100	2	88	88	-88	88
R2INDX	IN040100	3	88	88	-88	88
R2INDX	IN050001	1	88	88	-88	88
R2INDX	IN050001	2	88	88	-88	88
R2INDX	IN050001	3	88	88	-88	88
R2INDX	IN050002	1	1	2	100	2
R2INDX	IN050002	2	88	88	-88	88
R2INDX	IN050002	3	88	88	-88	88
R2INDX	IN050003	1	88	88	-88	88
R2INDX	IN050003	2	88	88	-88	88
R2INDX	IN050003	3	88	88	-88	88
R2INDX	IN050004	1	1	2	60	80
R2INDX	IN050004	2	88	88	-88	88
R2INDX	IN050004	3	88	88	-88	88
R2INDX	IN050005	1	88	88	-88	88
R2INDX	IN050005	2	88	88	-88	88
R2INDX	IN050005	3	88	88	-88	88
R2INDX	IN050006	1	88	88	-88	88
R2INDX	IN050006	2	88	88	-88	88
R2INDX	IN050006	3	88	88	-88	88
R2INDX	IN050007	1	88	88	-88	88
R2INDX	IN050007	2	88	88	-88	88
R2INDX	IN050007	3	88	88	-88	88
R2INDX	IN050008	1	1	5	200	3
R2INDX	IN050008	2	88	88	-88	88
R2INDX	IN050008	3	88	88	-88	88
R2INDX	IN050009	1	1	3	50	1
R2INDX	IN050009	2	88	88	-88	88
R2INDX	IN050009	3	88	88	-88	88
R2INDX	IN050011	1	88	88	-88	88
R2INDX	IN050011	2	88	88	-88	88
R2INDX	IN050011	3	88	88	-88	88
R2INDX	IN050014	1	13	10	1500	80
R2INDX	IN050014	2	88	88	-88	88
R2INDX	IN050014	3	88	88	-88	88
R2INDX	IN050016	1	1	6	200	80
R2INDX	IN050016	2	88	88	-88	88
R2INDX	IN050016	3	88	88	-88	88
R2INDX	IN050017	1	88	88	-88	88
R2INDX	IN050017	2	88	88	-88	88
R2INDX	IN050017	3	88	88	-88	88
R2INDX	IN050019	1	14	3	1000	80
R2INDX	IN050019	2	88	88	-88	88
R2INDX	IN050019	3	88	88	-88	88
R2INDX	IN050020	1	1	2	80	88
R2INDX	IN050020	2	88	88	-88	88
R2INDX	IN050020	3	88	88	-88	88
R2INDX	IN050023	1	88	88	-88	88
R2INDX	IN050023	2	88	88	-88	88
R2INDX	IN050023	3	88	88	-88	88
R2INDX	IN050025	1	25	1	1000	80
R2INDX	IN050025	2	88	88	-88	88
R2INDX	IN050025	3	88	88	-88	88
R2INDX	IN050030	1	23	3	700	80
R2INDX	IN050030	2	88	88	-88	88
R2INDX	IN050030	3	88	88	-88	88
R2INDX	IN050031	1	88	88	-88	88
R2INDX	IN050031	2	88	88	-88	88
R2INDX	IN050031	3	88	88	-88	88
R2INDX	IN050032	1	88	88	-88	88
R2INDX	IN050032	2	88	88	-88	88
R2INDX	IN050032	3	88	88	-88	88
R2INDX	IN050033	1	88	88	-88	88
R2INDX	IN050033	2	88	88	-88	88
R2INDX	IN050033	3	88	88	-88	88
R2INDX	IN050034	1	88	88	-88	88
R2INDX	IN050034	2	88	88	-88	88
R2INDX	IN050034	3	88	88	-88	88
R2INDX	IN050035	1	88	88	-88	88
R2INDX	IN050035	2	88	88	-88	88
R2INDX	IN050035	3	88	88	-88	88
R2INDX	IN050037	1	1	1	30	80
R2INDX	IN050037	2	88	88	-88	88
R2INDX	IN050037	3	88	88	-88	88
R2INDX	IN050040	1	9	4	300	1
R2INDX	IN050040	2	88	88	-88	88
R2INDX	IN050040	3	88	88	-88	88
R2INDX	IN050042	1	88	88	-88	88
R2INDX	IN050042	2	88	88	-88	88
R2INDX	IN050042	3	88	88	-88	88
R2INDX	IN050043	1	1	4	280	2
R2INDX	IN050043	2	88	88	-88	88
R2INDX	IN050043	3	88	88	-88	88
R2INDX	IN050046	1	1	5	300	2
R2INDX	IN050046	2	88	88	-88	88
R2INDX	IN050046	3	88	88	-88	88
R2INDX	IN050047	1	88	88	-88	88
R2INDX	IN050047	2	88	88	-88	88
R2INDX	IN050047	3	88	88	-88	88
R2INDX	IN050048	1	1	3	150	2
