CHILDCODE	ACTIDR5	ACTR5	ACTMTHR5	ACTDYMTR5	ACTWEKR5	ACTDAYHR5	ACTHRSR5	PYMRECR5	ERNCSHR5	HWPAIDR5	PDPCPRR5	ERNKNDR5	HWKINDR5	PDPCKNR5	PRFACTR5	MTHPRFR5	ACTOWNR5
21043	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21044	1	12	10	25	 	 	9	1	300	2	 	 	 	 	1	12	3
21044	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21044	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21045	1	13	6	30	 	 	9	1	7500	4	 	 	 	 	1	6	3
21045	2	12	6	20	 	 	8	1	300	2	 	 	 	 	1	6	3
21045	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21046	1	12	5	10	 	 	8	1	150	2	 	 	 	 	1	5	3
21046	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21046	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21047	1	5	9	24	 	 	8	1	120	2	 	 	 	 	0	0	3
21047	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21047	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21048	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21048	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21048	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21049	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21049	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21049	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21050	1	12	1	26	 	 	8	1	300	2	 	 	 	 	1	1	3
21050	2	11	2	26	 	 	8	1	300	2	 	 	 	 	1	2	3
21050	3	19	2	18	 	 	4	1	120	2	 	 	 	 	1	1	4
31002	1	13	12	26	 	 	9	1	30000	4	 	 	 	 	1	12	1
31002	2	19	12	22	 	 	3	0	 	 	 	 	 	 	1	10	2
31002	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31005	1	19	12	30	 	 	12	1	3500	4	 	 	 	 	1	12	7
31005	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31005	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31006	1	13	9	30	 	 	12	1	10000	4	 	 	 	 	1	9	1
31006	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31006	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31007	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31007	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31007	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31009	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31009	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31009	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31010	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31010	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31010	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31011	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31011	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31011	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31012	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31012	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
