CHILDCODE	LANGIDR5	LNCNSPR5	LNSPKR5	LNREADR5	LNWRTER5
61013	2	7	4	2	2
61014	1	1	1	1	1
61014	2	7	3	3	2
61014	3	5	4	4	4
61015	1	1	1	1	1
61015	2	7	3	3	3
61016	1	1	1	1	1
61016	2	7	4	2	1
61017	1	1	1	1	1
61017	2	7	3	3	3
61019	1	1	1	1	1
61019	2	7	3	2	2
61020	1	1	1	1	1
61020	2	7	4	3	3
61021	1	1	1	2	2
61022	1	1	1	4	4
61023	1	1	1	1	1
61023	2	7	4	4	4
61024	1	1	1	1	1
61024	2	5	3	1	1
61024	3	7	4	1	1
61025	1	1	1	1	1
61025	2	7	4	2	2
61025	3	5	4	4	4
61026	1	1	1	3	4
61027	1	1	1	1	1
61027	2	7	4	3	3
61027	3	5	4	4	4
61028	1	1	1	1	1
61028	2	7	5	4	4
61029	1	1	1	1	1
61029	2	7	3	2	2
61029	3	5	3	2	3
61031	1	1	1	3	3
61032	1	1	1	2	2
61032	2	7	5	4	4
61033	1	1	1	1	1
61033	2	7	2	1	1
61033	3	5	3	2	1
61034	1	1	1	1	1
61034	2	7	4	1	1
61034	3	5	5	2	3
61035	1	1	1	1	1
61035	2	7	2	2	2
61035	3	5	3	3	3
61036	1	1	1	2	2
61036	2	6	2	5	5
61037	1	1	1	2	2
61037	2	7	4	2	2
61037	3	5	3	4	4
61037	4	6	4	4	5
61038	1	1	1	1	1
61038	2	5	3	2	2
61038	3	7	2	2	2
61039	1	1	1	2	2
61039	2	7	5	2	2
61040	1	1	1	2	2
61041	1	1	1	1	1
61041	2	5	3	2	2
61041	3	7	3	2	2
61042	1	1	1	1	1
61043	1	1	1	1	1
61043	2	7	3	2	2
61043	3	5	4	2	2
61044	1	1	1	1	1
61044	2	7	4	4	4
61045	1	1	2	2	2
61045	2	7	5	4	4
61045	3	5	4	5	5
61046	1	1	1	1	1
61046	2	7	4	4	4
61048	1	1	1	1	1
61048	2	7	1	1	1
61049	1	1	1	1	1
61049	2	7	4	2	2
61049	3	5	5	4	4
61050	1	1	1	1	1
61050	2	7	3	1	2
61050	3	5	4	3	3
71001	1	1	1	1	1
71001	2	7	3	1	2
71001	3	5	4	4	4
71002	1	1	1	1	1
71002	2	4	3	5	5
71002	3	7	5	2	2
71003	1	1	1	1	1
71004	1	4	1	5	5
71004	2	1	2	2	2
71005	1	1	1	1	1
71005	2	7	4	2	1
71005	3	5	5	4	5
71006	1	1	1	1	1
71007	1	1	1	1	1
71007	2	7	3	1	2
71007	3	5	4	1	1
71009	1	1	1	1	1
71009	2	5	1	1	1
71009	3	7	2	1	1
71010	1	1	1	1	1
71010	2	7	1	1	1
71011	1	1	1	1	2
71011	2	7	5	4	3
71012	1	1	1	1	2
