CHILDID	PREID	AGEPRESC	PRESCDUR	PRESCTYP	PAYPRESC	PRESCCRE	DAYSPRES	HRSPRESC	PRESCVIS
VN040096	1	55	1	3	1	2	5	4	1
VN040097	1	63	1	3	1	2	5	4	1
VN040098	1	51	1	3	1	4	5	4	1
VN040100	1	67	1	3	1	2	5	4	1
VN040106	1	48	3	3	1	2	5	4	1
VN040108	1	64	1	3	1	2	4	4	1
VN040113	1	48	4	3	1	3	5	3	1
VN040118	1	46	3	3	1	3	5	3	1
VN040119	1	52	3	3	1	3	5	4	1
VN040122	1	59	3	3	1	2	5	4	1
VN040129	1	52	3	3	1	2	5	4	1
VN040143	1	61	1	3	1	2	5	3	1
VN040145	1	52	4	3	1	2	5	4	1
VN040151	1	58	1	3	1	2	5	4	1
VN040164	1	58	1	3	1	2	5	4	1
VN040171	1	63	1	3	1	3	5	4	1
VN040174	1	64	1	3	1	2	5	4	1
VN050001	1	59	1	3	1	2	5	9	1
VN050002	1	55	1	3	1	2	5	4	1
VN050003	1	54	1	3	1	2	5	3	1
VN050004	1	52	1	3	1	2	5	3	1
VN050005	1	39	4	3	1	2	5	4	1
VN050006	1	36	4	3	1	2	5	9	1
VN050007	1	43	3	3	1	2	5	3	1
VN050008	1	53	1	3	1	2	5	4	1
VN050010	1	48	4	3	1	2	5	4	1
VN050011	1	60	1	3	1	2	5	4	1
VN050012	1	44	3	3	1	2	5	8	1
VN050013	1	55	3	3	1	2	5	4	1
VN050014	1	59	1	3	1	2	5	4	1
VN050016	1	51	1	3	1	2	5	3	1
VN050017	1	57	1	3	1	2	5	4	1
VN050021	1	57	1	3	1	2	5	4	1
VN050022	1	38	3	3	1	2	5	3	1
VN050023	1	55	1	3	1	2	5	4	1
VN050024	1	36	3	3	1	2	5	8	1
VN050025	1	43	4	3	1	2	5	4	1
VN050026	1	61	1	1	1	2	6	3	1
VN050027	1	36	4	3	1	2	5	4	1
VN050029	1	49	4	3	1	2	5	8	1
VN050031	1	45	3	3	1	2	5	8	1
VN050033	1	36	3	3	1	2	5	4	1
VN050034	1	60	1	3	1	2	1	4	1
VN050035	1	62	1	3	1	3	5	4	1
VN050036	1	36	4	3	1	2	5	8	1
VN050037	1	60	1	3	1	2	5	4	1
VN050038	1	47	3	3	1	2	5	4	1
VN050040	1	58	1	3	1	2	5	9	1
VN050041	1	50	3	3	1	2	5	3	1
VN050042	1	60	1	3	1	2	5	4	1
VN050043	1	60	1	3	1	2	5	4	1
VN050044	1	55	1	3	1	2	5	4	1
VN050045	1	59	1	3	1	2	5	4	1
VN050046	1	47	3	3	1	2	5	8	1
VN050047	1	36	4	3	1	2	5	8	1
VN050048	1	61	1	3	1	2	5	4	1
VN050049	1	49	4	3	1	2	5	4	1
VN050050	1	48	4	3	1	2	5	4	1
VN050052	1	55	1	3	1	2	5	3	1
VN050053	1	55	1	3	1	1	5	4	1
VN050054	1	59	1	3	1	2	5	4	1
VN050055	1	45	3	3	1	3	5	3	1
VN050057	1	53	1	3	1	2	5	4	1
VN050059	1	53	1	3	1	2	5	3	1
VN050060	1	-77	1	3	1	3	5	4	1
VN050065	1	44	1	3	1	2	5	3	1
VN050066	1	61	1	3	1	2	5	3	1
VN050068	1	56	1	3	1	2	5	3	1
VN050069	1	56	1	3	1	2	5	4	1
