CHILDID	SASSID	SASSET	NUMSASS	VALSASS	DECSASS
VN130058	1	3	1	5	2
VN130058	2	1	4	50	2
VN130060	1	25	1	50	2
VN130060	2	23	13	100	2
VN130061	1	1	4	60	3
VN130063	1	1	5	50	1
VN130063	2	3	1	50	1
VN130063	3	25	1	400	1
VN130064	1	3	1	5	2
VN130064	2	1	3	0	2
VN130066	1	25	1	200	2
VN130066	2	23	2	20	2
VN130067	1	1	6	10	2
VN130067	2	3	1	10	2
VN130067	3	6	1	200	2
VN130068	1	25	1	150	1
VN130068	2	3	1	5	1
VN130068	3	1	4	8	2
VN130069	1	6	1	400	1
VN130069	2	1	6	100	2
VN130070	1	6	1	200	2
VN130070	2	3	1	10	2
VN130070	3	1	5	100	2
VN130071	1	5	1	800	1
VN130071	2	3	1	40	1
VN130071	3	1	3	2	1
VN130072	1	22	10	50	3
VN130074	1	1	3	20	2
VN130074	2	3	1	30	2
VN130074	3	25	1	100	2
VN130075	1	1	4	100	4
VN130075	2	5	1	300	4
VN130076	1	25	1	200	2
VN130076	2	15	4	300	2
VN130077	1	3	1	100	2
VN130077	2	1	5	100	2
VN130079	1	13	3	70	1
VN130080	1	3	1	0	1
VN130080	2	5	1	300	1
VN130080	3	1	5	10	1
VN130083	1	23	10	1000	4
VN130085	1	1	4	50	2
VN130087	1	23	3	30	2
VN130088	1	1	3	2	2
VN130089	1	3	1	30	1
VN130089	2	1	3	15	1
VN130090	1	25	1	1000	1
VN130091	1	3	1	10	2
VN130091	2	1	6	50	2
VN130092	1	3	1	200	3
VN130092	2	1	7	40	3
VN130093	1	1	6	10	3
VN130095	1	1	4	10	1
VN130095	2	3	1	10	1
VN130098	1	25	1	2000	2
VN130099	1	1	5	70	2
VN130099	2	5	1	300	2
VN130099	3	3	1	70	2
VN130100	1	5	1	260	1
VN130100	2	3	1	50	1
VN130100	3	1	4	20	1
VN130103	1	1	5	20	2
VN130103	2	3	1	20	2
VN130103	3	5	1	100	2
VN140003	1	23	1	200	2
VN140004	1	5	1	400	1
VN140004	2	3	1	100	1
VN140004	3	1	4	20	1
VN140005	1	25	1	500	5
VN140005	2	30	1	100	5
VN140009	1	3	1	100	4
VN140009	2	4	1	200	4
VN140010	1	1	3	5	1
VN140011	1	5	1	400	2
VN140011	2	30	1	25	2
VN140011	3	3	1	10	2
VN140012	1	30	6	50	1
VN140015	1	5	1	300	1
VN140019	1	30	3	5000	1
VN140020	1	8	3	1000	2
VN140021	1	5	3	600	2
VN140021	2	3	2	2000	2
VN140022	1	23	2	100	3
VN140022	2	25	1	6000	2
VN140023	1	8	2	50	1
VN140023	2	30	2	10	1
VN140025	1	13	3	10	1
VN140026	1	30	1	200	1
VN140027	1	1	4	20	3
VN140027	2	3	1	30	3
VN140027	3	5	1	100	3
VN140028	1	31	1	6000	1
VN140028	2	30	1	3000	1
VN140028	3	30	3	1000	1
VN140029	1	1	3	1	2
VN140029	2	3	1	10	2
VN140029	3	2	1	100	2
VN140031	1	1	2	5	2
VN140031	2	5	1	20	2
VN140031	3	3	1	10	2
VN140033	1	23	3	200	4
VN140034	1	30	2	50	1
VN140034	2	23	1	50	1
VN140037	1	5	1	100	1
VN140037	2	3	1	10	1
VN140037	3	1	3	20	1
VN140038	1	5	1	200	1
VN140038	2	30	1	200	1
VN140038	3	3	1	50	1
VN140044	1	3	1	200	1
VN140051	1	23	4	1500	3
VN140053	1	5	1	500	1
VN140053	2	3	1	20	1
VN140053	3	1	3	50	1
VN140055	1	1	3	200	2
VN140055	2	3	1	20	2
VN140055	3	5	2	500	2
VN140056	1	30	3	700	1
VN140056	2	5	1	300	1
VN140056	3	3	1	100	1
VN140057	1	5	1	300	2
VN140057	2	3	1	10	2
VN140057	3	1	4	100	2
VN140058	1	8	1	8000	1
VN140059	1	4	1	10000	1
VN140061	1	25	1	500	2
VN140062	1	25	2	10000	1
VN140063	1	25	1	300	2
VN140063	2	3	1	70	2
VN140063	3	1	2	50	2
VN140064	1	25	1	300	4
VN140066	1	30	2	600	1
VN140066	2	5	1	400	1
VN140066	3	30	1	300	1
VN140069	1	30	2	500	2
VN140069	2	5	1	500	2
VN140069	3	3	1	550	2
VN140072	1	30	5	100	1
VN140072	2	30	1	100	1
VN140074	1	30	1	600	1
VN140074	2	5	1	200	1
VN140074	3	3	1	30	1
VN140077	1	30	2	200	1
VN140077	2	5	2	500	1
VN140077	3	3	1	300	1
VN140078	1	25	2	700	2
VN140078	2	30	2	200	2
VN140078	3	23	1	30	2
VN140079	1	25	1	700	17
VN140079	2	23	1	100	17
VN140080	1	1	5	100	2
VN140080	2	3	1	200	2
VN140080	3	5	1	200	2
VN140081	1	5	2	50	1
VN140081	2	3	1	40	1
VN140081	3	1	2	40	1
VN140083	1	25	1	300	1
VN140083	2	30	2	150	1
VN140083	3	23	1	20	1
VN140085	1	5	1	300	2
VN140085	2	30	1	200	2
VN140085	3	3	1	20	2
VN140088	1	1	3	100	1
