placeid	rsid	module	sectin11	sectin12	sectin13	sectin14	module2	sectin21	sectin22	sectin23	sectin24	ageres	sexres	capac	livres
ET5171	9	1	5	 	 	 	2	 	 	 	 	30	2	8	30
ET5171	10	1	5	 	 	 	2	 	 	 	 	23	2	8	7
ET5171	11	1	5	 	 	 	2	 	 	 	 	22	2	8	6
ET5171	12	1	5	 	 	 	2	 	 	 	 	35	2	8	10
ET5171	13	1	5	 	 	 	2	 	 	 	 	17	2	8	3
ET5171	14	1	5	 	 	 	2	 	 	 	 	40	2	8	40
ET5171	15	1	5	 	 	 	2	 	 	 	 	20	2	8	20
ET5171	16	1	5	 	 	 	2	 	 	 	 	20	2	8	2
ET5171	17	1	5	 	 	 	2	 	 	 	 	34	2	8	31
ET5171	18	1	5	 	 	 	2	 	 	 	 	35	2	8	27
ET5171	19	1	5	 	 	 	2	 	 	 	 	26	2	8	4
ET5171	20	1	5	 	 	 	2	 	 	 	 	20	2	8	4
ET5171	21	1	5	 	 	 	2	 	 	 	 	28	2	8	10
ET5171	22	1	5	 	 	 	2	 	 	 	 	66	2	8	6
ET5171	23	1	5	 	 	 	2	 	 	 	 	50	2	8	27
ET5171	24	1	5	 	 	 	2	 	 	 	 	55	2	8	55
ET5171	25	1	5	 	 	 	2	 	 	 	 	38	2	8	20
ET5171	26	1	5	 	 	 	2	 	 	 	 	39	2	8	24
ET5171	27	1	5	 	 	 	2	 	 	 	 	35	2	8	24
ET5171	28	1	5	 	 	 	2	 	 	 	 	21	2	8	21
ET5171	29	1	5	 	 	 	2	 	 	 	 	20	2	8	20
ET5171	30	1	5	 	 	 	2	 	 	 	 	15	2	8	20
ET5171	31	1	5	 	 	 	2	 	 	 	 	18	2	8	20
ET5171	32	1	5	 	 	 	2	 	 	 	 	26	1	8	2
ET5171	33	1	5	 	 	 	2	 	 	 	 	47	1	8	25
ET5171	34	1	5	 	 	 	2	 	 	 	 	50	1	1	37
ET5171	35	1	5	 	 	 	2	 	 	 	 	36	1	6	7
ET5171	36	1	5	 	 	 	2	 	 	 	 	23	1	6	23
ET5171	37	1	5	 	 	 	2	 	 	 	 	27	2	1	5
ET2062	9	1	5	 	 	 	2	 	 	 	 	27	2	8	27
ET2062	10	1	5	 	 	 	2	 	 	 	 	28	1	8	28
ET2062	11	1	5	 	 	 	2	 	 	 	 	60	1	8	60
ET2062	12	1	5	 	 	 	2	 	 	 	 	19	2	8	19
ET2062	13	1	5	 	 	 	2	 	 	 	 	62	1	8	62
ET2062	14	1	 	 	 	 	2	3	 	 	 	25	2	8	25
ET2062	15	1	5	6	 	 	2	 	 	 	 	30	1	8	30
ET2062	16	1	5	 	 	 	2	 	 	 	 	38	1	8	33
ET2062	17	1	5	 	 	 	2	 	 	 	 	42	1	8	42
ET2062	18	1	 	 	 	 	2	3	 	 	 	50	1	8	50
ET2062	19	1	5	 	 	 	2	 	 	 	 	19	2	8	19
ET2062	20	1	5	 	 	 	2	 	 	 	 	37	1	10	37
ET2062	21	1	5	 	 	 	2	 	 	 	 	40	2	8	40
ET2062	22	1	5	 	 	 	2	 	 	 	 	20	2	8	20
ET2071	1	1	1	2	3	4	2	1	4	 	 	35	1	8	35
ET2071	2	1	2	6	 	 	2	1	 	 	 	35	1	4	1
ET2071	3	1	2	4	 	 	2	3	 	 	 	43	1	10	1
ET2071	4	1	1	3	4	6	2	1	4	 	 	43	1	1	43
ET2071	5	1	1	3	 	 	2	4	 	 	 	34	1	8	30
ET2071	6	1	 	 	 	 	2	2	 	 	 	22	2	3	4
ET2071	7	1	 	 	 	 	2	2	 	 	 	23	2	3	1
ET2071	8	1	5	 	 	 	2	 	 	 	 	33	1	3	2
ET2071	9	1	5	 	 	 	2	 	 	 	 	29	1	3	8
ET2071	10	1	5	 	 	 	2	 	 	 	 	25	2	3	2
ET2071	11	1	5	 	 	 	2	 	 	 	 	33	2	2	33
ET2071	12	1	5	 	 	 	2	 	 	 	 	35	2	2	34
ET2071	13	1	5	 	 	 	2	 	 	 	 	32	1	8	32
ET2071	14	1	5	 	 	 	2	 	 	 	 	35	2	 	35
ET2071	15	1	5	 	 	 	2	 	 	 	 	42	1	8	42
ET2071	16	1	5	 	 	 	2	 	 	 	 	32	2	8	32
ET2071	17	1	5	 	 	 	2	 	 	 	 	31	1	8	10
ET2071	18	1	5	 	 	 	2	 	 	 	 	23	1	8	4
ET2071	19	1	5	 	 	 	2	 	 	 	 	39	1	4	2
ET2071	20	1	5	 	 	 	2	 	 	 	 	26	1	4	1
ET2071	21	1	5	 	 	 	2	 	 	 	 	32	1	8	5
ET2071	22	1	5	 	 	 	2	 	 	 	 	24	1	8	24
ET2071	23	1	5	 	 	 	2	 	 	 	 	22	1	8	22
ET2071	24	1	5	 	 	 	2	 	 	 	 	50	1	8	20
ET2071	25	1	5	 	 	 	2	 	 	 	 	42	1	8	42
ET2071	26	1	5	 	 	 	2	 	 	 	 	30	1	8	30
ET2071	27	1	5	 	 	 	2	 	 	 	 	45	1	8	45
ET2071	28	1	5	 	 	 	2	 	 	 	 	38	1	8	38
ET2071	29	1	5	 	 	 	2	 	 	 	 	28	2	8	10
ET2071	30	1	5	 	 	 	2	 	 	 	 	22	2	8	4
ET4142	1	1	5	 	 	 	2	 	 	 	 	30	2	8	7
ET4142	2	1	5	 	 	 	2	 	 	 	 	60	2	8	30
