FORMNO	CHILDID	ACTID	ACTYEST	ACTSUPER	ACTCARE	CHOICE
R28YRS	ET041008	4	2	0	0	1
R28YRS	ET041009	1	1	1	0	0
R28YRS	ET041009	2	5	1	0	0
R28YRS	ET041009	3	2	0	0	0
R28YRS	ET041009	4	10	0	1	1
R28YRS	ET041010	1	1	1	0	0
R28YRS	ET041010	2	2	0	0	2
R28YRS	ET041010	3	5	1	0	2
R28YRS	ET041010	4	22	0	1	1
R28YRS	ET041011	1	5	1	0	1
R28YRS	ET041011	2	1	0	0	1
R28YRS	ET041011	3	7	0	0	1
R28YRS	ET041012	1	1	1	0	0
R28YRS	ET041012	2	2	0	0	0
R28YRS	ET041012	3	6	0	0	0
R28YRS	ET041012	4	10	0	0	1
R28YRS	ET041012	5	5	1	0	2
R28YRS	ET041013	1	1	1	0	0
R28YRS	ET041013	2	10	0	0	0
R28YRS	ET041013	3	2	0	0	0
R28YRS	ET041013	4	9	0	0	0
R28YRS	ET041014	1	17	0	1	1
R28YRS	ET041014	2	1	1	0	0
R28YRS	ET041014	3	5	1	1	1
R28YRS	ET041014	4	2	0	0	0
R28YRS	ET041015	1	1	1	0	1
R28YRS	ET041015	2	2	1	0	1
R28YRS	ET041015	3	5	1	0	1
R28YRS	ET041015	4	10	0	0	1
R28YRS	ET041016	1	5	1	0	1
R28YRS	ET041017	1	5	1	0	1
R28YRS	ET041017	2	2	0	0	1
R28YRS	ET041017	3	1	0	0	0
R28YRS	ET041017	4	10	0	0	1
R28YRS	ET041018	1	2	0	0	2
R28YRS	ET041018	2	1	1	0	0
R28YRS	ET041018	3	5	1	0	2
R28YRS	ET041019	1	1	1	0	1
R28YRS	ET041019	2	5	1	0	1
R28YRS	ET041019	3	2	1	0	1
R28YRS	ET041019	4	9	0	0	1
R28YRS	ET041019	5	10	0	1	1
R28YRS	ET041020	1	1	1	0	1
R28YRS	ET041020	2	2	1	1	1
R28YRS	ET041020	3	5	1	1	1
R28YRS	ET041020	4	10	0	0	1
R28YRS	ET041021	1	1	0	0	0
R28YRS	ET041021	2	5	0	1	1
R28YRS	ET041021	3	10	0	1	0
R28YRS	ET041021	4	17	0	1	0
R28YRS	ET041021	5	3	0	1	1
R28YRS	ET041022	1	5	0	0	1
R28YRS	ET041022	2	23	0	0	0
R28YRS	ET041023	1	1	0	1	2
R28YRS	ET041023	2	5	1	1	0
R28YRS	ET041023	3	10	0	1	1
R28YRS	ET041023	4	3	0	1	1
R28YRS	ET041023	5	2	0	0	1
R28YRS	ET041024	1	10	0	0	1
R28YRS	ET041024	2	5	1	0	1
R28YRS	ET041024	3	1	1	0	1
R28YRS	ET041025	1	1	0	0	1
R28YRS	ET041025	2	5	0	0	0
R28YRS	ET041025	3	10	0	0	1
R28YRS	ET041025	4	2	0	0	1
R28YRS	ET041026	1	1	0	0	1
R28YRS	ET041026	2	2	0	0	1
R28YRS	ET041026	3	3	1	1	1
R28YRS	ET041026	4	5	1	1	1
R28YRS	ET041027	1	1	0	1	0
R28YRS	ET041027	2	2	0	1	0
R28YRS	ET041027	3	5	0	0	0
