CHILDCODE	PLOTIDR4	PLTUSER4	SZPLTR4	LUPLTR4	PLTDSCR4	PLTTRNR4	PLTCLLR4	PLTCRTR4	SEENCTR4	PLTINCR4	PLTVINR4	PLTSPTR4	CRPRN1R4	CRPRN2R4	CRPDR1R4	CRPDR2R4	PLTIRRR4	PLTPRIR4
20082	1	1	20	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20082	2	7	6	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
20083	1	1	30	17	3	0	88	0	 	 	 	 	 	 	 	 	 	 
20083	2	8	30	17	3	0	88	0	 	0	 	0	 	 	 	 	 	 
20083	3	7	6	17	3	0	88	0	 	 	 	0	 	 	 	 	 	 
20084	1	1	24	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20085	1	1	9	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20086	1	1	180	17	1	1	1	1	Y	 	 	 	 	 	 	 	 	 
20086	2	7	220	17	1	1	1	1	Y	 	 	0	 	 	 	 	 	 
20087	1	1	40	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20087	2	7	6	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
20088	1	1	22	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20088	2	7	30	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
20089	1	1	42	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
20089	2	7	150	17	1	1	1	1	N	 	 	0	 	 	 	 	 	 
20090	1	1	40	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
20090	2	7	150	17	1	1	1	1	N	 	 	0	 	 	 	 	 	 
20091	1	1	30	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
20091	2	7	35	17	1	1	1	1	N	 	 	0	 	 	 	 	 	 
20092	1	4	60	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20092	2	11	4	17	2	0	88	0	 	0	 	0	 	 	 	 	 	 
20093	1	1	36	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20093	2	7	6	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
20094	1	1	44	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20095	1	1	30	17	3	0	88	0	 	 	 	 	 	 	 	 	 	 
20096	1	1	16	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20096	2	7	6	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
20097	1	1	15	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20097	2	7	4	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
20098	1	1	58	17	1	1	1	0	 	 	 	 	 	 	 	 	 	 
20098	2	7	300	17	1	1	1	0	 	 	 	500	 	 	 	 	 	 
20099	1	4	200	17	1	1	1	1	Y	 	 	 	 	 	 	 	 	 
20099	2	7	50	17	1	1	1	1	Y	 	 	0	 	 	 	 	 	 
20100	1	1	16	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
30001	1	1	16	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
30002	1	1	16	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
30002	2	7	3	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
30003	1	1	36	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
30003	2	7	6	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
30004	1	1	30	17	1	3	0	0	 	 	 	 	 	 	 	 	 	 
30005	1	1	16	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
30006	1	1	36	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
30007	1	4	6	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
30008	1	1	59	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
30008	2	7	100	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
30008	3	8	164	17	2	0	88	0	 	0	 	0	 	 	 	 	 	 
30009	1	1	6	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
30010	1	1	12	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
30011	1	4	12	17	2	88	88	0	 	 	 	 	 	 	 	 	 	 
30011	2	7	5	17	2	88	88	0	 	 	 	0	 	 	 	 	 	 
30012	1	1	8	2	2	88	88	0	 	 	 	 	 	 	 	 	 	 
30013	1	1	150	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
30013	2	7	30	17	1	1	1	1	N	 	 	0	 	 	 	 	 	 
30014	1	1	25	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
30015	1	1	8	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
30015	2	7	2	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
30016	1	1	17	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
30018	1	1	10	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
30018	2	8	2	17	2	0	88	0	 	0	 	0	 	 	 	 	 	 
30019	1	1	80	17	3	0	88	0	 	 	 	 	 	 	 	 	 	 
30019	2	20	175	17	1	1	1	1	N	0	 	8400	 	 	 	 	 	 
30020	1	1	12	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
30021	1	1	18	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
30022	1	1	5	17	3	0	88	0	 	 	 	 	 	 	 	 	 	 
30023	1	1	250	17	1	1	0	0	 	 	 	 	 	 	 	 	 	 
30024	1	1	40	17	1	1	1	1	Y	 	 	 	 	 	 	 	 	 
30024	2	1	4	17	1	1	1	1	Y	 	 	 	 	 	 	 	 	 
30025	1	1	40	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
30025	2	8	25	17	2	0	88	0	 	0	 	1000	 	 	 	 	 	 
30026	1	1	10	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
30027	1	1	12	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
30028	1	1	60	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
30028	2	7	20	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
30029	1	1	40	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
30029	2	7	8	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
30032	1	1	9	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
30034	1	1	30	17	1	1	1	1	Y	 	 	 	 	 	 	 	 	 
30034	2	7	134	17	1	1	1	1	Y	 	 	0	 	 	 	 	 	 
30035	1	1	16	17	2	88	88	0	 	 	 	 	 	 	 	 	 	 
30036	1	1	24	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
30036	2	7	4	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
30037	1	1	48	17	3	0	88	0	 	 	 	 	 	 	 	 	 	 
30038	1	1	106	17	1	1	0	0	 	 	 	 	 	 	 	 	 	 
30039	1	1	39	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
