PLACEID	ANFDIDR4	ITEM	PRICE	ACCOUNT
8205	3	HUEVO	0,25	2
8206	1	POLLO	8	1
8206	2	RES	10	1
8206	3	HUEVOS	0,3	2
8207	1	LECHE	2	3
8207	2	QUESO	15	1
8207	3	CARNE DE RES	14	1
8209	1	CARNE DE RES	14	1
8209	2	CARNE DE CHANCHO	16	1
8209	3	POLLO	10	1
8210	1	HUEVOS	1	2
8210	2	GALLINA	12	1
8211	1	POLLO	9	1
8211	2	HUEVOS	4,8	1
8211	3	CARNE DE RES	10	1
8212	1	POLLO	8	1
8212	2	CARNE DE RES	8	1
8212	3	HUEVOS	5	1
8213	1	CARNE DE GALLINA	12	1
8213	2	HUEVO	0,3	2
8213	3	LECHE	1	3
8215	1	GALLINA	20	2
8215	2	HEVOS	0,4	2
8215	3	LECHE	1,5	3
8216	1	PESCADO	6	1
8216	2	POLLO	7,5	1
8216	3	HUEVO	0,4	2
8217	1	POLLO	7,5	1
8217	2	HUEVOS	5	1
8217	3	CARNE DE RES	10	1
8219	1	POLLO	8	1
8219	2	CARNE	12	1
8219	3	LECHE	3	2
8220	1	POLLO	7	1
8220	2	PESCADO	7	1
8220	3	CARNE DE RES	10	1
8223	1	CARNE DE ALPACA	8	1
8223	2	POLLO	8	1
8223	3	HUEVOS	5,5	1
8226	1	POLLO	9	1
8226	2	CARNE	10	1
8226	3	HUEVOS	5,5	1
8227	1	POLLO	9,5	1
8227	2	HUEVO	5,5	1
8227	3	MENUDENCIA DE RES	7	1
8228	1	POLLO	10	1
8228	2	RES	12	1
8228	3	PESCADO	10	1
8232	1	CARNE	15	1
8232	2	POLLO	12	2
8232	3	PESCADO	10	1
8236	1	CARNE	14	1
8236	2	LECHE	1	3
8236	3	HUEVOS	0,33	2
8237	1	QUESO	10	4
8237	2	LECHE	1	3
8237	3	CARNE DE RES	12	1
8239	1	POLLO	10	1
8239	2	HUEVOS	5	1
8239	3	LECHE	3	1
8248	1	POLLO	10	1
8248	2	LECHE	3	3
8248	3	CARNE	12	1
8250	1	GALLINA	20	2
8250	2	CERDO	80	2
8250	3	HUEVO	4	1
8251	1	PESCADO	9	1
8251	2	POLLO	9	1
8251	3	CARNE DE RES	10	1
8254	1	POLLO	8	1
8254	2	LECHE	2,8	4
8254	3	HUEVOS	5,2	1
8255	1	CARNE DE POLLO	8	1
8255	2	HUEVOS	5,5	1
8255	3	CARNE DE RES	14	1
8257	1	POLLO	9,5	1
8257	2	LECHE	3	2
8257	3	PESCADO	7,5	1
8258	1	LECHE	3	4
8258	2	HUEVOS	5	1
8258	3	POLLO	9	1
8259	1	POLLO	8,5	1
8259	2	PESCADO JUREL	9,5	1
8259	3	CARNE DE RES	12	1
8260	1	POLLO	6,2	1
8260	2	LECHE	3	4
8260	3	HUEVO	5,5	1
8261	1	POLLO	7,2	1
8261	2	CARNE	11,8	1
8261	3	PESCADO	9,7	1
8264	1	CARNE DE RES	11	1
8264	2	LECHE	2	3
