CHILDCODE	NONFODR4	PURITMR4	SPYRR4	SPNMR4
10014	5	Y	350	 
10014	6	Y	200	 
10014	7	Y	600	1
10014	8	N	 	 
10014	9	N	 	 
10014	10	N	 	 
10014	11	N	 	 
10014	12	Y	5000	1
10014	13	N	 	 
10014	14	N	 	 
10014	15	Y	1000	1
10014	16	Y	900	1
10014	17	Y	500	1
10014	18	Y	2000	1
10014	19	N	 	 
10014	20	N	 	 
10014	21	Y	1600	1
10014	22	N	 	 
10014	23	Y	3500	1
10014	24	N	 	 
10014	25	N	 	 
10014	26	N	 	 
10014	27	N	 	 
10014	28	N	 	 
10014	29	N	 	 
10014	30	N	 	 
10014	31	N	 	 
10015	1	Y	2000	 
10015	2	Y	2000	 
10015	3	Y	2000	2
10015	4	N	 	 
10015	5	Y	200	 
10015	6	Y	200	 
10015	7	Y	500	2
10015	8	N	 	 
10015	9	N	 	 
10015	10	Y	1000	2
10015	11	N	 	 
10015	12	N	 	 
10015	13	N	 	 
10015	14	N	 	 
10015	15	Y	2000	4
10015	16	Y	300	4
10015	17	Y	70000	0
10015	18	N	 	 
10015	19	N	 	 
10015	20	N	 	 
10015	21	Y	170	1
10015	22	N	 	 
10015	23	Y	10000	0
10015	24	N	 	 
10015	25	N	 	 
10015	26	Y	2000	1
10015	27	N	 	 
10015	28	N	 	 
10015	29	N	 	 
10015	30	N	 	 
10015	31	N	 	 
10016	1	Y	1500	 
10016	2	Y	1800	 
10016	3	N	 	 
10016	4	Y	3000	1
10016	5	Y	400	 
10016	6	Y	250	 
10016	7	N	 	 
10016	8	Y	300	1
10016	9	N	 	 
10016	10	N	 	 
10016	11	N	 	 
10016	12	N	 	 
10016	13	Y	4800	2
10016	14	N	 	 
10016	15	Y	800	2
10016	16	N	 	 
10016	17	Y	300	0
10016	18	Y	1000	1
10016	19	N	 	 
10016	20	N	 	 
10016	21	Y	3000	1
10016	22	Y	500	2
10016	23	N	 	 
10016	24	N	 	 
10016	25	N	 	 
10016	26	Y	1000	1
10016	27	Y	500	1
10016	28	N	 	 
10016	29	N	 	 
10016	30	N	 	 
10016	31	N	 	 
10017	1	Y	1000	 
10017	2	Y	1000	 
10017	3	Y	250	2
10017	4	N	 	 
10017	5	Y	200	 
10017	6	Y	200	 
10017	7	Y	400	2
10017	8	N	 	 
10017	9	N	 	 
10017	10	N	 	 
10017	11	N	 	 
10017	12	N	 	 
10017	13	N	 	 
10017	14	N	 	 
10017	15	N	 	 
10017	16	N	 	 
10017	17	N	 	 
10017	18	Y	200	2
10017	19	N	 	 
10017	20	N	 	 
10017	21	Y	840	1
10017	22	N	 	 
10017	23	N	 	 
10017	24	N	 	 
10017	25	N	 	 
10017	26	N	 	 
10017	27	N	 	 
10017	28	N	 	 
10017	29	N	 	 
10017	30	N	 	 
10017	31	N	 	 
10018	1	Y	1000	 
10018	2	Y	800	 
10018	3	Y	1300	4
10018	4	Y	1000	88
10018	5	Y	200	 
10018	6	Y	100	 
10018	7	Y	100	4
10018	8	Y	150	88
10018	9	N	 	 
10018	10	N	 	 
10018	11	Y	4500	88
10018	12	Y	7500	4
10018	13	Y	1600	88
10018	14	N	 	 
10018	15	Y	1500	1
10018	16	N	 	 
10018	17	N	 	 
10018	18	N	 	 
10018	19	N	 	 
10018	20	N	 	 
10018	21	Y	1700	1
10018	22	N	 	 
10018	23	N	 	 
10018	24	N	 	 
10018	25	N	 	 
10018	26	N	 	 
10018	27	N	 	 
10018	28	N	 	 
10018	29	N	 	 
10018	30	N	 	 
10018	31	N	 	 
10019	1	Y	1500	 
10019	2	Y	3000	 
10019	3	Y	1000	88
10019	4	Y	1000	4
10019	5	Y	300	 
10019	6	Y	200	 
10019	7	Y	250	88
10019	8	Y	200	4
10019	9	N	 	 
10019	10	N	 	 
10019	11	Y	8000	4
10019	12	Y	12000	88
10019	13	N	 	 
10019	14	N	 	 
10019	15	Y	3000	1
10019	16	N	 	 
10019	17	Y	300	0
10019	18	Y	1500	1
10019	19	N	 	 
10019	20	N	 	 
10019	21	Y	2040	1
10019	22	N	 	 
10019	23	N	 	 
10019	24	N	 	 
10019	25	N	 	 
10019	26	N	 	 
10019	27	N	 	 
10019	28	N	 	 
10019	29	N	 	 
10019	30	N	 	 
10019	31	N	 	 
10020	1	Y	5000	 
10020	2	Y	2000	 
10020	3	Y	1500	88
10020	4	Y	2000	4
10020	5	Y	500	 
10020	6	Y	300	 
10020	7	Y	500	88
10020	8	Y	1000	4
10020	9	Y	2000	4
10020	10	Y	1000	88
10020	11	N	 	 
10020	12	Y	10000	88
10020	13	N	 	 
10020	14	N	 	 
10020	15	Y	1000	1
10020	16	Y	600	1
10020	17	N	 	 
10020	18	N	 	 
10020	19	N	 	 
10020	20	N	 	 
10020	21	Y	3000	0
10020	22	N	 	 
10020	23	N	 	 
10020	24	N	 	 
10020	25	N	 	 
10020	26	N	 	 
