CHILDCODE	NREGIDR4	MEMREGR4	NEG1DYR4	NEG1WGR4	NEG2DYR4	NEG2WGR4
70049	3	3	48	3360	17	1190
70050	1	2	20	2500	30	3000
70050	2	1	25	3000	20	2000
70051	1	3	24	2160	0	0
70052	1	3	0	0	40	3400
70053	1	2	70	7000	0	0
70054	1	1	7	650	0	0
70055	1	3	60	4200	0	0
70056	1	6	60	2800	12	760
70056	2	5	2	160	0	0
70057	1	3	45	5400	7	700
70057	2	4	45	5400	0	0
70061	1	3	96	9600	0	0
70061	2	2	48	5280	0	0
70062	1	2	50	5000	0	0
70063	1	2	30	3250	18	1440
70068	1	4	60	4800	0	0
70068	2	6	35	3500	0	0
70071	1	2	25	2500	25	2500
70072	1	3	50	4000	0	0
70072	3	5	40	3200	0	0
70074	1	2	24	2472	0	0
70075	1	8	20	2000	25	3660
70075	2	6	30	3580	20	2000
70077	1	2	20	1600	10	800
70077	2	1	3	300	0	0
70078	1	0	69	8280	0	0
70079	1	2	54	4860	0	0
70083	1	3	45	3800	15	1200
70083	2	2	12	980	0	0
70085	1	4	60	6000	0	0
70086	1	5	25	2000	20	1800
70087	1	2	10	1200	6	720
70087	2	3	35	4200	7	840
70088	1	2	44	5400	9	1250
70089	1	3	24	2880	0	0
70092	1	1	30	3000	20	2000
70092	2	2	30	3000	20	2000
70093	1	3	48	3840	0	0
70093	2	2	48	3840	0	0
70094	1	2	41	3200	0	0
70094	2	1	65	5200	0	0
70095	1	 	 	 	 	 
70097	1	2	45	3600	0	0
70099	1	3	30	3000	60	4800
80001	1	1	30	1800	0	0
80001	2	2	30	1800	15	900
80005	1	1	24	1680	0	0
80005	2	2	78	5460	0	0
80007	1	3	30	2100	30	2100
80007	2	4	30	2100	30	2100
80007	3	1	30	2100	30	2100
80009	1	2	45	3150	0	0
80010	1	1	14	980	0	0
80010	2	2	48	3360	0	0
80012	1	1	30	2100	0	0
80012	2	2	30	2100	0	0
80014	1	2	0	0	42	3360
80018	1	2	10	800	0	0
80018	2	3	10	800	0	0
80021	1	4	20	1200	0	0
80025	1	1	38	2660	0	0
80025	2	3	38	2660	0	0
80026	1	1	27	70	0	0
80026	2	2	27	70	0	0
80028	1	1	30	2100	0	0
80028	2	3	30	2100	0	0
80029	1	3	18	1080	0	0
80030	1	1	0	0	20	1600
80030	2	2	0	0	20	1600
80031	1	2	25	1500	0	0
80031	2	3	25	1500	0	0
80032	1	3	40	3600	0	0
80032	2	29	40	3600	0	0
80033	1	1	10	500	0	0
80033	2	2	10	500	0	0
80035	1	1	2	100	0	0
80038	1	1	50	3500	0	0
80038	2	2	50	3500	0	0
80038	3	3	50	3500	0	0
80039	1	5	20	1600	0	0
80039	2	2	20	1600	0	0
80040	1	5	23	1610	0	0
80040	2	6	23	1610	0	0
80041	1	2	23	2070	0	0
80041	2	3	23	2070	0	0
80043	1	1	8	480	0	0
80043	2	2	8	480	0	0
80044	1	4	20	1000	30	2550
80044	2	3	20	1000	30	2550
80046	1	2	30	2400	20	1200
80047	1	1	40	3200	0	0
80047	2	29	40	3200	0	0
80048	1	1	35	2800	0	0
80048	2	2	345	2800	0	0
80052	1	3	50	4000	0	0
80052	2	4	50	4000	0	0
80053	1	4	30	2100	0	0
80054	1	3	45	1750	0	0
80054	2	4	45	1750	0	0
80054	3	5	45	1750	0	0
80054	4	7	45	1750	0	0
80054	5	8	45	1750	0	0
80056	1	1	20	1400	0	0
80056	2	2	30	2400	0	0
80057	1	2	40	3200	0	0
80057	2	3	40	3200	0	0
80058	1	2	0	0	20	1400
80058	2	3	10	700	20	1400
80059	1	1	40	2000	0	0
80059	2	2	40	2000	0	0
80059	3	31	40	2000	0	0
80060	1	3	42	3150	0	0
80060	2	4	42	3150	0	0
80061	1	3	43	2195	0	0
80061	2	4	43	2195	0	0
80062	1	1	50	3000	0	0
80062	2	2	50	3000	0	0
80063	1	2	0	0	30	2100
80064	1	1	60	6000	40	4000
80064	2	2	60	6000	40	400
80065	1	1	60	6000	40	4000
80065	2	2	60	6000	40	4000
80065	3	4	40	4000	32	3200
80066	1	1	40	3600	0	0
80066	2	3	40	3600	0	0
80068	1	2	20	1000	0	0
80068	2	5	20	1000	0	0
80069	1	2	24	2400	0	0
80070	1	3	5	300	0	0
80071	1	3	35	2100	0	0
80071	2	29	35	2100	0	0
80072	1	1	60	4200	0	0
80072	2	2	60	4200	0	0
80073	1	5	0	0	30	2100
80073	2	4	40	3400	30	2100
80074	1	1	100	8000	0	0
80075	1	1	35	2625	0	0
80075	2	2	45	3375	0	0
80076	1	2	30	2400	40	4000
80079	1	1	60	3600	0	0
80079	2	4	60	3600	0	0
80080	1	2	33	1980	0	0
80080	2	3	33	1980	0	0
80080	3	4	33	1980	0	0
80082	1	1	20	800	0	0
80082	2	2	20	800	0	0
80083	1	1	50	4000	0	0
80083	2	2	50	4000	0	0
80087	1	3	0	0	30	1500
80089	1	3	0	0	54	2700
80090	1	3	24	1200	0	0
80090	2	4	24	1200	0	0
80093	1	3	50	4250	0	0
80093	2	4	50	4250	0	0
80094	1	1	60	4200	0	0
80094	2	2	60	4200	0	0
80094	3	3	60	4200	0	0
80094	4	4	60	4200	0	0
80096	1	3	29	2320	0	0
80096	2	4	29	2320	0	0
80097	1	1	24	2040	0	0
90002	1	2	0	0	25	1700
90002	2	3	0	0	14	900
90002	3	1	0	0	10	850
90003	2	4	0	0	15	1200
90003	3	5	0	0	10	800
90004	1	2	30	4200	0	0
90006	1	1	17	850	0	0
90006	2	2	17	850	0	0
90009	1	2	0	0	10	850
90009	2	3	0	0	12	1000
90010	1	5	24	2400	0	0
90010	2	7	24	2400	0	0
90011	1	2	0	0	25	1750
90011	2	1	0	0	25	1750
90013	1	3	25	1750	25	1750
90014	1	2	70	3500	0	0
90015	1	1	20	1000	0	0
90015	2	2	20	1000	0	0
90019	1	2	0	0	12	720
90019	2	3	0	0	12	720
90020	1	1	20	1000	0	0
90020	2	3	25	2500	0	0
90022	1	3	18	900	0	0
90023	1	2	26	1300	0	0
90024	1	6	0	0	11	550
90024	2	5	0	0	11	550
90027	1	3	0	0	26	1450
90028	1	1	0	0	0	0
90028	2	4	60	3700	0	0
90029	1	3	0	0	15	3375
90029	2	4	0	0	40	1500
90030	1	9	30	2700	0	0
90030	2	1	0	0	0	0
90030	3	31	0	0	0	0
90032	1	2	61	4880	0	0
90033	1	1	0	0	12	1200
90033	2	2	0	0	12	900
90034	1	4	5	400	0	0
90035	1	1	52	4160	0	0
90035	2	2	52	4160	0	0
90036	1	1	30	1800	0	0
90036	2	2	30	1800	0	0
90037	1	3	12	960	0	0
90037	2	4	24	1920	0	0
90038	1	1	20	1500	30	2000
90039	1	3	50	3750	0	0
90039	2	4	100	7500	0	0
90040	1	2	52	4160	0	0
90040	2	3	78	6240	0	0
90041	1	3	48	3360	0	0
90042	1	3	20	1200	0	0
90042	2	4	20	1200	0	0
90043	1	2	12	840	0	0
90044	1	1	60	7200	40	4800
90044	2	2	60	7200	40	4800
