placeid	anmlfdid	item	price	account
PE80MC95	1	POLLO	5.19999980926514	1
PE80MC95	2	RES	6	1
PE80MC95	3	MENUDENCIA	3.5	1
PE80MC96	1	POLLO	7	1
PE80MC96	2	CARNE	10	1
PE80MC96	3	PESCADO	3	1
PE80MC97	1	POLLO	5.5	1
PE80MC97	2	CARNE DE RES	12	1
PE80MC97	3	PESCADO	3	1
PE80MC98	1	POLLO	5.5	1
PE80MC98	2	PESCADO	3.5	1
PE80MC98	3	CARNE RES	9	1
PE80MC99	1	POLLO	5.19999980926514	1
PE80MC99	2	PESCADO	8	1
PE80MC99	3	VICERAS DE POLLO	2	1
PE81MC01	1	CARNERO	7	1
PE81MC01	2	RES	9	1
PE81MC01	3	POLLO	6.80000019073486	1
PE81MC02	1	POLLO	5	1
PE81MC02	2	PESCADO	2.5	1
PE81MC02	3	HUEVO	3.5	1
PE81MC03	1	POLLO	5.5	1
PE81MC03	2	PESCADO	2.5	1
PE81MC03	3	VICERAS DE RES, MONDONGO, BOFE, ETC	7.5	1
PE81MC04	1	CARNE DE RES	8	1
PE81MC04	2	PESCADO	3	1
PE81MC04	3	LECHE	1.5	3
PE81MC05	1	MENUDENCIA DE POLLO	5	1
PE81MC05	2	POLLO	6.5	1
PE81MC05	3	MENUDENCIA	7	1
PE81MC06	1	POLLO	6	1
PE81MC06	2	CHANCHO	8	1
PE81MC06	3	PESCADO	4	1
PE81MC07	1	POLLO	5.5	1
PE81MC07	2	HUEVOS	3.5	1
PE81MC07	3	PESCADO	3	1
PE81MC08	1	POLLO	5	1
PE81MC08	2	PESCADO	2	1
PE81MC08	3	HUEVOS	3.5	1
PE81MC09	1	POLLO	5.5	1
PE81MC09	2	CARNE	10	1
PE81MC09	3	HUEVO	3.79999995231628	1
PE81MC10	1	POLLO	6	1
PE81MC10	2	RES	13	1
PE81MC10	3	CERDO	8	1
PE81MC11	1	POLLO	5	1
PE81MC11	2	PESCADO	3	1
PE81MC11	3	CARNE DE RES	12	1
PE81MC12	1	CARNE DE RES	8.5	1
PE81MC12	2	POLLO	5.59999990463257	1
PE81MC12	3	PESCADO	3	1
PE81MC13	1	POLLO	8	1
PE81MC13	2	PESCADO	3	1
PE81MC13	3	HUEVO	5	1
PE81MC14	1	POLLO	5.19999980926514	1
PE81MC14	2	HUEVOS	.25	2
PE81MC14	3	PESCADO	3	1
PE81MC15	1	PESCADO	3.5	1
