CHILDCODE	NONFODR4	SPYRR4
61003	4	-88
61003	5	200
61003	6	200
61003	7	-88
61003	8	-88
61004	1	430
61004	2	243
61004	3	-88
61004	4	100
61004	5	335
61004	6	140
61004	7	-88
61004	8	55
61005	1	0
61005	2	415
61005	3	185
61005	4	170
61005	5	0
61005	6	75
61005	7	144
61005	8	125
61007	1	110
61007	2	280
61007	3	-88
61007	4	20
61007	5	70
61007	6	50
61007	7	-88
61007	8	23
61008	1	115
61008	2	66
61008	3	0
61008	4	250
61008	5	73
61008	6	50
61008	7	150
61008	8	104
61009	1	484
61009	2	775
61009	3	-88
61009	4	965
61009	5	85
61009	6	178
61009	7	-88
61009	8	170
61010	1	1845
61010	2	445
61010	3	0
61010	4	135
61010	5	380
61010	6	65
61010	7	21
61010	8	35
61011	1	600
61011	2	100
61011	3	150
61011	4	150
61011	5	70
61011	6	0
61011	7	30
61011	8	33
61012	1	495
61012	2	125
61012	3	-88
61012	4	405
61012	5	364
61012	6	35
61012	7	-88
61012	8	161
61014	1	200
61014	2	300
61014	3	140
61014	4	120
61014	5	70
61014	6	0
61014	7	12
61014	8	10
61015	1	2300
61015	2	1100
61015	3	-88
61015	4	1000
61015	5	560
61015	6	100
61015	7	-88
61015	8	210
61016	1	2820
61016	2	42
61016	3	50
61016	4	315
61016	5	1396
61016	6	75
61016	7	100
61016	8	160
61018	1	300
61018	2	0
61018	3	-88
61018	4	0
61018	5	32
61018	6	24
61018	7	-88
61018	8	0
61019	1	120
61019	2	250
61019	3	60
61019	4	60
61019	5	150
61019	6	86
61019	7	0
61019	8	20
61020	1	200
61020	2	100
61020	3	120
61020	4	210
61020	5	0
61020	6	80
61020	7	40
61020	8	90
61021	1	605
61021	2	990
61021	3	180
61021	4	180
61021	5	140
61021	6	292
61021	7	84
61021	8	84
61022	1	0
61022	2	0
61022	3	110
61022	4	120
61022	5	105
61022	6	0
61022	7	30
61022	8	0
61023	1	300
61023	2	200
61023	3	50
61023	4	-88
61023	5	30
61023	6	25
61023	7	0
61023	8	-88
61024	1	0
61024	2	230
61024	3	-88
61024	4	-88
61024	5	70
61024	6	50
61024	7	-88
61024	8	-88
