CHILDCODE	IMEVIDR4	RKEVR4	LOSS02R4	LOSS03R4	LOSS04R4	LOSS05R4	LOSS06R4	RESEVR41	RESEVR42	RESEVR43
41031	3	10	 	 	 	2	2	7	88	88
41032	1	16	 	 	4	 	 	7	88	88
41032	2	1	 	 	 	3	 	16	7	88
41032	3	47	3	3	3	3	 	1	2	7
41034	1	29	 	4	 	 	 	13	2	1
41034	2	47	 	 	2	4	3	23	2	1
41034	3	88	 	 	 	 	 	 	 	 
41035	1	45	 	 	 	4	4	7	88	88
41035	2	88	 	 	 	 	 	 	 	 
41035	3	88	 	 	 	 	 	 	 	 
41036	1	1	 	 	 	 	4	7	88	88
41036	2	47	3	3	3	4	3	2	1	7
41036	3	38	1	 	 	 	 	10	7	88
41037	1	37	 	 	 	4	 	16	2	1
41037	2	47	 	 	 	2	3	2	18	7
41037	3	23	 	 	 	 	2	18	7	88
41038	1	40	 	4	4	4	4	13	22	18
41038	2	47	 	3	3	3	3	2	1	7
41038	3	42	 	 	 	2	 	15	7	88
41039	1	47	 	 	4	4	4	2	18	7
41039	2	45	 	3	 	 	 	9	7	88
41039	3	88	 	 	 	 	 	 	 	 
41040	1	45	 	 	4	 	 	16	7	88
41040	2	14	 	 	 	 	3	7	88	88
41040	3	29	 	 	 	2	 	1	7	88
41041	1	10	 	 	4	 	 	17	2	88
41041	2	38	 	3	 	 	 	7	88	88
41041	3	14	3	 	 	 	 	7	88	88
41042	1	 	 	 	 	 	 	 	 	 
41042	2	 	 	 	 	 	 	 	 	 
41042	3	 	 	 	 	 	 	 	 	 
41043	1	1	 	 	3	 	 	17	88	88
41043	2	10	 	 	 	2	 	7	88	88
41043	3	13	 	 	 	1	 	88	88	88
41044	1	47	 	 	 	4	4	2	16	7
41044	2	42	 	 	 	2	2	7	88	88
41044	3	38	 	 	2	2	 	2	16	7
41045	1	38	 	3	 	 	 	17	28	88
41045	2	88	 	 	 	 	 	 	 	 
41045	3	88	 	 	 	 	 	 	 	 
41046	1	36	4	 	 	 	 	6	18	7
41046	2	47	 	4	4	 	 	17	6	7
41046	3	41	 	2	 	 	 	2	7	88
41047	1	34	 	 	 	4	 	7	88	88
41047	2	37	 	 	 	3	 	17	7	88
41047	3	88	 	 	 	 	 	 	 	 
41048	1	 	 	 	 	 	 	 	 	 
41048	2	 	 	 	 	 	 	 	 	 
41048	3	 	 	 	 	 	 	 	 	 
41049	1	 	 	 	 	 	 	 	 	 
41049	2	 	 	 	 	 	 	 	 	 
41049	3	 	 	 	 	 	 	 	 	 
41050	1	1	 	 	4	 	 	7	88	88
41050	2	47	 	 	 	2	 	7	88	88
41050	3	25	 	 	2	 	 	7	88	88
51001	1	 	 	 	 	 	 	 	 	 
