CHILDCODE	SPPGIDR4	SUPKNDR4	SUPWHOR4	SUPSRTR4	SUPENDR4	SUPFRQR4	SUPTARR4
101016	1	8	6	1999	9999	4	4
101016	2	7	6	2002	9999	4	4
101016	3	28	6	2002	9999	4	80
101017	1	12	15	1996	9999	7	0
101017	2	28	6	2003	2003	1	80
101018	1	5	13	1999	9999	4	2
101018	2	28	6	2004	9999	6	80
101019	1	28	6	2005	9999	5	80
101019	2	5	13	2002	2006	5	5
101020	1	5	13	2002	9999	4	1
101020	2	12	15	2002	2005	4	0
101020	3	28	6	2004	2004	1	80
101021	1	8	6	2002	9999	8	2
101021	2	28	6	2002	9999	5	80
101022	1	8	6	1996	9999	8	2
101022	2	7	6	2003	2003	4	80
101022	3	28	6	2003	2003	4	80
101022	4	12	15	1993	2003	8	90
101023	1	27	6	2004	9999	5	6
101024	1	7	6	2005	9999	5	80
101025	1	8	6	2005	9999	8	9
101025	2	5	15	1990	9999	4	3
101025	3	7	15	1990	9999	4	3
101027	1	28	6	2000	9999	5	80
101028	1	7	6	2004	9999	4	15
101028	2	14	15	2005	2006	4	15
101028	3	8	6	2003	2005	8	0
101029	1	28	6	2003	9999	9	80
101029	2	19	8	2004	2005	11	0
101029	3	12	15	2005	9999	4	0
101030	1	7	6	2005	9999	6	80
101031	1	7	6	2000	9999	5	80
101031	2	5	13	2005	9999	88	1
101032	1	12	15	2005	9999	4	15
101033	1	5	13	2005	9999	1	5
101033	2	15	5	2005	2005	1	1
101034	1	17	6	2003	2005	4	80
101035	1	7	6	2000	9999	5	80
101036	1	28	6	2005	9999	8	80
101037	1	7	6	1994	9999	8	5
101037	2	28	15	2000	9999	6	80
101038	1	7	15	1996	2004	10	1
101038	2	28	6	2005	9999	9	7
101038	3	8	6	2005	9999	8	2
101041	1	7	6	2003	9999	5	80
101042	1	5	36	2003	9999	88	1
101044	1	15	8	2005	2005	88	2
101044	2	14	15	2005	9999	88	1
101044	3	28	36	2005	9999	77	1
101044	4	7	36	2003	9999	6	1
101044	5	5	15	2004	9999	11	1
101045	1	5	13	1998	9999	4	2
101046	1	7	6	2005	9999	5	80
101046	2	8	6	2005	9999	6	80
101047	1	7	6	2004	9999	5	80
101048	1	28	6	2004	9999	6	80
101049	1	7	28	2003	9999	7	16
101050	1	28	6	2005	9999	6	80
111002	1	30	36	2003	9999	5	1
111002	2	5	13	2003	9999	4	1
111002	3	17	6	2003	9999	4	1
111003	1	1	5	2001	9999	4	1
111003	2	14	6	2004	9999	10	2
111004	1	13	5	2002	9999	7	1
111004	2	26	15	2002	2002	11	1
111005	1	1	5	2003	9999	6	1
111005	2	5	13	2003	9999	4	1
111005	3	14	6	2000	9999	5	1
111006	1	30	15	2003	9999	4	0
111006	2	2	6	2003	9999	4	0
111008	1	30	36	2003	9999	5	1
111008	2	15	36	2003	9999	4	1
111009	1	1	5	2004	9999	5	1
111009	2	5	13	2005	9999	4	2
111010	1	1	5	2005	9999	5	1
111011	1	1	5	2003	9999	4	1
111011	2	17	6	2004	9999	8	80
111012	1	30	36	2005	9999	4	1
111012	2	13	36	2005	9999	4	1
111013	1	1	6	2003	9999	4	1
111013	2	5	13	1996	9999	4	2
111015	1	13	5	20002	9999	4	2
111015	2	28	58	2006	9999	4	2
111015	3	30	5	2004	9999	4	2
111015	4	5	13	2003	9999	4	2
111016	1	13	5	2003	9999	5	1
111016	2	17	6	2002	9999	4	80
111017	1	2	6	2005	9999	5	18
111017	2	14	36	2002	9999	10	17
111018	1	1	5	2002	9999	5	1
111019	1	1	5	2005	9999	4	1
111019	2	13	5	2005	9999	4	1
111019	3	7	6	2000	9999	5	80
111019	4	5	13	2000	9999	4	1
111020	1	13	5	2003	9999	7	1
111020	2	30	5	2003	9999	4	1
111020	3	5	13	2005	9999	4	2
111021	1	1	5	2001	9999	5	1
111021	2	29	5	2004	9999	4	1
111022	1	7	6	2000	2006	4	80
111023	1	1	5	2002	9999	6	1
111023	2	5	13	2005	9999	4	2
111024	1	14	36	2006	9999	4	3
111025	1	1	5	1985	9999	4	1
111025	2	5	13	2004	9999	4	1
111027	1	14	15	2006	9999	6	9
111027	2	28	6	2005	9999	10	80
111028	1	1	5	2003	9999	4	1
111028	2	8	6	1998	9999	8	2
111029	1	1	5	2001	9999	4	1
111029	2	7	6	2002	2005	5	1
111030	1	28	6	2006	9999	6	80
111030	2	8	6	2006	9999	8	0
111031	1	1	5	2003	2005	4	1
111031	2	8	6	1999	9999	8	2
111031	3	5	14	2005	9999	4	1
111032	1	1	5	2002	9999	5	1
111032	2	13	5	2000	9999	4	80
111032	3	14	6	2000	9999	5	80
111032	4	28	36	2002	9999	4	2
111033	1	28	6	2004	9999	4	80
111033	2	8	6	1989	9999	11	2
111033	3	5	13	2002	9999	4	2
111034	1	13	5	2005	2006	4	1
111034	2	28	6	2002	9999	4	80
111034	3	5	13	2005	9999	4	1
111035	1	28	6	2006	9999	4	80
111036	1	13	5	2004	9999	5	3
111036	2	5	40	2003	9999	10	3
111036	3	8	6	1987	9999	12	1
111037	1	1	5	1985	9999	12	1
111038	1	13	5	2006	2006	4	1
111038	2	8	6	2000	9999	11	2
111038	3	28	6	1997	9999	4	80
111038	4	1	5	1997	9999	4	1
111040	1	1	5	2005	9999	5	12
111040	2	28	6	2004	9999	5	80
111040	3	8	6	2004	9999	12	0
111042	1	8	6	2006	9999	11	0
111042	2	2	6	2006	9999	10	0
111043	1	1	5	1998	9999	5	1
111043	2	13	5	1998	9999	4	1
111043	3	7	6	1996	9999	7	80
111043	4	8	6	1995	9999	8	2
111043	5	5	13	1999	9999	4	80
111044	1	28	6	2002	9999	4	80
111045	1	1	5	2003	9999	5	2
111045	2	5	13	2003	9999	4	80
111046	1	28	6	2002	9999	4	80
111046	2	1	5	2005	9999	4	1
111046	3	5	13	1996	9999	4	1
111047	1	1	5	2005	9999	5	4
111047	2	7	6	2003	2005	5	4
111048	1	8	6	1993	2005	8	5
111048	2	13	5	2003	9999	5	1
111048	3	5	13	2001	9999	4	1
111048	4	11	6	2005	9999	7	80
121001	1	1	36	2001	9999	4	80
121002	1	1	5	1995	9999	4	80
121004	1	1	5	1986	9999	4	80
121005	1	1	5	2004	9999	9	80
121005	2	2	6	2003	9999	10	20
121007	1	1	5	1998	-9999	5	80
121007	2	5	1	1997	-9999	10	80
121010	1	1	5	2003	9999	5	80
121010	2	8	6	2002	-9999	8	2
121011	1	1	5	1995	9999	4	80
121012	1	26	55	2000	9999	5	80
121012	2	20	11	2004	2004	11	80
121014	1	31	5	2006	9999	10	1
121014	2	1	5	2002	9999	10	90
121014	3	17	6	2002	9999	5	80
121020	1	17	6	1998	9999	8	80
121020	2	2	6	1998	9999	2	80
121020	3	1	5	1995	9999	3	80
121022	1	1	5	2003	9999	4	80
