CHILDCODE	MEMIDR4	AGER3	MEMAGER4	MEAGMTR4	MEMSEXR4	RELATER3	RELATER4	THSVILR4	BURBRLR4	BRNREGR4	BRNZONR4	LIVHSER4	YRDIEDR4	RELHHR4	MRTLSTR4	DISABR4	MTHRHHR4	FTHRHHR4	HSSTRTR4	GRADER4	STILLR4	TYPATDR4	WHYNOTR4	AGEGRDR4	EDCH18R4	MEMCNSR4
11029	15	10	14	 	1	13	13	 	 	 	 	1	 	5	0	0	1	99	1	8	1	4	 	 	1	N
11029	16	80	-88	 	1	6	6	 	 	 	 	3	2003	 	 	 	 	 	 	 	 	 	 	 	 	N
11029	17	 	24	 	1	 	7	 	 	 	 	1	 	3	0	0	1	99	1	13	0	 	 	 	1	N
11029	18	 	6	 	2	 	15	 	 	 	 	1	 	5	 	0	5	98	1	0	1	1	 	 	0	N
11030	0	15	19	 	2	0	0	0	2	3	304	1	 	7	0	0	98	98	1	10	0	 	 	 	1	N
11030	1	51	55	 	2	13	13	 	 	 	 	1	 	1	4	0	99	99	1	3	0	 	 	 	0	N
11030	2	27	31	 	2	9	9	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11030	3	25	29	 	2	9	9	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11030	4	18	22	 	2	14	14	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11031	0	15	19	 	1	0	0	1	 	 	 	1	 	3	0	0	2	1	1	10	1	4	 	 	1	N
11031	1	60	64	 	1	1	1	 	 	 	 	1	 	1	1	0	99	99	1	5	0	 	 	 	0	N
11031	2	48	52	 	2	1	1	 	 	 	 	1	 	2	1	0	99	99	1	6	0	 	 	 	0	N
11031	3	30	34	 	1	7	7	 	 	 	 	1	 	3	0	0	2	1	1	12	0	 	 	 	0	N
11031	4	28	32	 	1	7	7	 	 	 	 	1	 	3	0	0	2	1	1	8	0	 	 	 	0	N
11031	5	25	29	 	1	7	7	 	 	 	 	1	 	3	0	0	2	1	1	10	0	 	 	 	0	N
