CHILDCODE	CRSPIDR4	GAVCRDR4	WHORCVR4	TKEOUTR4	LOANMTR4	LOANYRR4	AMTCRDR4	INTRTER4	PYBACKR4	PYBCTMR4	NOBACKR4
71010	1	7	1	1	6	2002	1500	18	1	1	 
71010	2	7	1	1	6	2003	2000	18	1	1	 
71010	3	7	1	1	6	2004	3000	18	1	1	 
71010	4	7	1	1	6	2005	3000	18	1	1	 
71010	5	2	1	1	5	2003	6000	7	0	 	 
71011	1	7	17	1	6	2005	4000	18	0	 	 
71012	1	4	1	7	12	2005	3000	100	1	1	 
71012	2	10	2	2	11	2004	200	50	1	1	 
71013	1	8	2	2	3	2004	400	0	1	1	 
71014	1	7	0	14	4	2005	3000	18	0	 	 
71017	1	8	2	10	11	2005	1000	0	0	 	 
71018	1	6	2	1	9	2002	1600	8	1	1	 
71018	2	5	2	2	4	2005	2000	6	0	 	 
71018	3	6	2	1	4	2005	2500	8	0	 	 
71020	1	7	1	19	2	2005	5000	18	1	1	 
71020	2	7	1	19	3	2006	7000	18	0	 	 
71021	1	7	3	2	3	2006	500	18	0	 	 
71021	2	8	1	16	4	2005	500	0	1	1	 
71022	1	7	2	14	7	2002	1500	18	1	1	 
71024	1	7	1	12	6	2005	1500	18	0	 	 
71025	1	7	2	1	7	2005	3000	18	0	 	 
71026	1	6	1	16	8	2005	200	5	0	 	 
71026	2	4	1	16	10	2005	200	5	0	 	 
71027	1	7	1	16	2	2005	5000	18	1	1	 
71027	2	7	1	16	1	2006	5000	18	0	 	 
71027	3	8	1	18	2	2006	1000	0	1	1	 
71028	1	4	1	16	7	2005	400	5	0	 	 
71028	2	9	1	2	8	2003	200	5	1	1	 
71029	1	7	1	16	7	2005	4600	18	0	 	 
71029	2	10	1	7	11	2005	600	50	1	1	 
71029	3	6	1	7	11	2005	1000	0	1	1	 
71030	1	9	2	10	12	2004	200	10	1	1	 
71032	1	10	5	4	6	2006	1600	0	0	 	 
71033	1	6	1	1	6	2003	900	8	1	0	2
71033	2	7	2	1	8	2004	2500	18	1	1	 
71033	3	7	2	1	8	2005	4000	18	0	 	 
71033	4	6	1	1	7	2005	4000	12	0	 	 
